Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
"Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy (Bloody Jack Adventure Series #7)",L. A. Meyer,$8.00 ,9780547551203,Houghton Mifflin Harcourt,5/2/11,468.0,5.50(w) x 8.20(h) x 1.20(d),No Way Out(Bluford (Quality)),Peggy Kern,$198.36,9780545395496,Scholastic Inc.,"Aug. 1st, 2012",140,4.10 x 6.60 x 0.40 inches,0
Wake (Watersong Series #1),Amanda Hocking,$9.99 ,9781250005649,St. Martin's Press,4/16/13,320.0,5.68(w) x 8.04(h) x 0.82(d),Miracle's Boys,Jacqueline Woodson,$8.59,9780142415535,Speak,"Jan. 7th, 2010",133,5.40 x 8.10 x 0.60 inches,0
Obsidian Mirror (Obsidian Mirror Series #1),Catherine Fisher,$9.99 ,9780142426777,Penguin Young Readers Group,3/6/14,400.0,5.40(w) x 8.20(h) x 1.30(d),January(Conspiracy 365),Gabrielle Lord,$118.78,9781610671033,Kane/Miller Book s,"Jan. 1st, 2012",185,5.00 x 7.80 x 0.60 inches,0
The Surrender Tree: Poems of Cuba's Struggle for Freedom,Margarita Engle,$9.99 ,9780312608712,Square Fish,3/16/10,384.0,5.50(w) x 8.20(h) x 1.20(d),Downsiders,Neal Shusterman,$8.69,9780689839696,Simon Pulse,"Feb. 1st, 2001",256,4.24 x 7.08 x 0.70 inches,0
Stop Pretending: What Happened when My Big Sister Went Crazy,Sonya Sones,$6.90 ,9780064462181,HarperCollins Publishers,4/28/06,160.0,5.00(w) x 7.12(h) x 0.36(d),The Endless Steppe,Esther Hautzig,$8.45,9780064405775,HarperCollins,"May. 12th, 1995",256,5.18 x 7.66 x 0.60 inches,0
The Chronicles of Narnia (Boxed Set) (Collector's Edition),C. S. Lewis,$39.28 ,9780064409391,HarperCollins Publishers,8/1/00,,5.25(w) x 7.93(h) x 5.62(d),Trickster's Choice(Aliane),Tamora Pierce,$23.18,9780375814723,Laurel Leaf Library,"Oct. 14th, 2008",422,4.22 x 6.86 x 1.00 inches,0
Disneylanders,Kate Abbott,$13.94 ,9780991295401,Orchard Hill Press,12/4/13,242.0,5.50(w) x 8.50(h) x 0.55(d),Memoirs of a Teenage Amnesiac,Gabrielle Zevin,$10.72,9780312561284,Square Fish,"Jun. 23rd, 2009",284,5.70 x 8.28 x 0.76 inches,0
The Miracle Worker,William Gibson,$9.61 ,9781416590842,Scribner,6/17/08,128.0,5.10(w) x 7.80(h) x 0.40(d),Lioness Rampant(Song of the Lioness (Paperback)),Tamora Pierce,$8.77,9780689878572,Simon Pulse,"Jan. 6th, 2005",384,4.20 x 7.04 x 1.06 inches,0
Forget You,Jennifer Echols,$8.95 ,9781439178232,MTV Books,7/20/10,292.0,5.00(w) x 6.90(h) x 0.90(d),Lockdown,Walter Dean Myers,$10.57,9780061214820,Amistad Press,"Dec. 27th, 2011",272,5.00 x 7.00 x 0.70 inches,0
Annexed,Sharon Dogar,$7.51 ,9780547577265,Houghton Mifflin Harcourt,1/10/12,341.0,5.50(w) x 8.20(h) x 0.90(d),The Lightning Thief(Percy Jackson & the Olympians (Paperback)),Rick Riordan,$13.49,9781423134947,Hyperion Books,"Jan. 31st, 2010",377,7.32 x 7.64 x 0.93 inches,0
The International Cookbook for Kids,Matthew Locricchio,$7.63 ,9780761463139,Amazon Childrens Publishing,12/4/12,176.0,10.80(w) x 8.50(h) x 0.60(d),Farewell to Manzanar,Jeanne Wakatsuki Houston,,9780553272581,Laurel Leaf Library,"Mar. 31st, 1983",224,4.16 x 6.90 x 0.65 inches,0
Vitro,Jessica Khoury,$7.35 ,9781595146069,Penguin Young Readers Group,1/22/15,384.0,5.40(w) x 8.20(h) x 1.40(d),"M.C. Higgins, the Great",Virginia Hamilton,$9.16,9781416914075,Aladdin Paperbacks,"Apr. 1st, 2006",271,5.93 x 6.99 x 0.78 inches,0
Farewell to Manzanar,Jeanne Wakatsuki Houston,$6.80 ,9780307976079,Random House Children's Books,2/14/12,240.0,5.50(w) x 8.10(h) x 0.70(d),Middle School(Chicken Soup for the Soul (Chicken Soup for the Soul)),Jack Canfield,$14.39,9781935096269,Chicken Soup for the Soul,"Nov. 1st, 2008",403,5.54 x 8.42 x 1.03 inches,0
Harry Potter y la Orden del F��nix (Harry Potter #5),J. K. Rowling,$17.99 ,9788478888849,"Publicaciones y Ediciones Salamandra, S.A.",2/21/04,893.0,5.20(w) x 7.70(h) x 1.80(d),"All the People, Since 1945",Joy Hakim,$16.62,9780199735532,"Oxford University Press, USA","Aug. 12th, 2010",297,7.50 x 9.26 x 0.60 inches,0
L. A. Candy (L. A Candy Series #1),Lauren Conrad,$7.23 ,9780061767593,HarperCollins Publishers,1/5/10,326.0,5.30(w) x 7.90(h) x 1.00(d),Famous for Thirty Seconds,P. G. Kain,$5.79,9781416997863,Aladdin Paperbacks,"Mar. 6th, 2012",320,5.13 x 7.67 x 0.87 inches,0
Teardrop (Teardrop Trilogy Series #1),Lauren Kate,$9.88 ,9780385742665,Random House Children's Books,10/28/14,480.0,5.40(w) x 8.10(h) x 1.10(d),Fire and Hemlock,Diana Wynne Jones,$10.07,9780142420140,Firebird,"Apr. 12th, 2012",438,5.50 x 8.34 x 1.39 inches,0
MindWar,Andrew Klavan,$7.16 ,9781401688943,"Nelson, Thomas, Inc.",3/24/15,336.0,5.40(w) x 8.50(h) x 0.90(d),Chinese Cinderella,Adeline Yen Mah,$9.87,9780385740074,Delacorte Press Books for Young Readers,"Sep. 14th, 2010",205,5.50 x 8.04 x 0.52 inches,0
Death's Shadow (Demonata Series #7),Darren Shan,$7.24 ,9780316003827,"Little, Brown Books for Young Readers",9/1/09,240.0,5.62(w) x 8.25(h) x 0.87(d),Guns for General Washington(Odyssey/Great Episodes Book),Seymour Reit,$8.41,9780152164355,Houghton Mifflin Harcourt (HMH),"Aug. 1st, 2001",160,4.50 x 7.10 x 0.39 inches,0
Native Son,Richard Wright,$13.40 ,9780060837563,HarperCollins Publishers,8/2/05,544.0,5.31(w) x 8.00(h) x 0.87(d),The River,Gary Paulsen,$9.69,9780307929617,Ember,"Mar. 13th, 2012",132,5.40 x 8.00 x 0.40 inches,0
"Jake, Reinvented",Gordon Korman,$6.99 ,9780786856978,Disney-Hyperion,6/28/05,224.0,5.25(w) x 7.50(h) x 0.50(d),Zap,Paul Fleischman,$9.45,9780763632342,Candlewick Press (MA),"Aug. 8th, 2006",83,5.02 x 7.28 x 0.27 inches,0
Life: The Orignal Picture Puzzle,Editors of Life,$8.59 ,9781933821962,"Time Home Entertainment, Inc",4/17/07,176.0,7.87(w) x 10.00(h) x 0.37(d),Twilight(Warriors: The New Prophecy (Paperback)),Erin Hunter,$8.52,9780060827670,HarperTrophy,"Jul. 3rd, 2007",319,5.24 x 7.64 x 0.76 inches,0
Pretty Girl-13,Liz Coley,$9.99 ,9780062127396,HarperCollins Publishers,3/18/14,352.0,5.20(w) x 7.90(h) x 0.90(d),The Pool of Fire(Tripods (Paperback)),John Christopher,$9.17,9780689856693,Simon Pulse,"Apr. 1st, 2003",224,4.22 x 7.18 x 0.62 inches,0
A Death in the Family,James Agee,$14.00 ,9780143115847,Penguin Publishing Group,9/28/08,320.0,5.00(w) x 7.70(h) x 0.60(d),Julie of the Wolves,Jean Craighead George,$9.85,9780060540951,HarperTrophy,"Sep. 16th, 2003",201,4.26 x 6.74 x 0.56 inches,0
Tidal (Watersong Series #3),Amanda Hocking,$9.99 ,9781250005663,St. Martin's Press,1/7/14,352.0,5.40(w) x 8.20(h) x 1.10(d),The Atlantis Complex(Artemis Fowl (Quality)),Eoin Colfer,$9.90,9781423129721,Hyperion Books,"May. 8th, 2012",357,5.10 x 7.50 x 1.00 inches,0
Song of the Sparrow,Lisa Ann Sandell,$8.01 ,9780439918497,"Scholastic, Inc.",8/1/08,416.0,4.90(w) x 7.00(h) x 1.00(d),The Adventures of Achilles(Advanced Readers: Classics),Hugh Lupton,$14.35,9781846868009,Barefoot Books,"Oct. 1st, 2012",127,5.60 x 8.00 x 0.50 inches,0
Lucy in the Sky,Anonymous,$9.99 ,9781442451858,Simon Pulse,5/1/12,288.0,5.06(w) x 6.86(h) x 0.79(d),Shelter(Mickey Bolitar Novels (Quality)),Harlan Coben,$9.76,9780142422038,Speak,"Aug. 21st, 2012",320,5.40 x 8.20 x 1.00 inches,0
The Rise and Fall of a Theater Geek,Seth Rudetsky,$9.99 ,9780449816721,Random House Children's Books,6/23/15,288.0,5.40(w) x 8.22(h) x 0.43(d),The Clique: Charmed and Dangerous(Clique (Quality)),Lisi Harrison,$8.32,9780316055369,Poppy Books,"Dec. 4th, 2012",208,,0
Skeleton Key (Alex Rider Series #3),Anthony Horowitz,$8.99 ,9780142406144,Penguin Young Readers Group,2/16/06,368.0,5.00(w) x 7.70(h) x 1.00(d),Things Not Seen,Andrew Clements,$8.47,9780142400760,Puffin Books,"Mar. 8th, 2004",251,5.04 x 7.86 x 0.66 inches,0
Palace of the Damned (Saga of Larten Crepsley Series #3),Darren Shan,$7.38 ,9780316078696,"Little, Brown Books for Young Readers",10/2/12,272.0,5.30(w) x 8.10(h) x 0.80(d),Aimee,Mary Beth Miller,$10.70,9780142400258,Speak,"Feb. 9th, 2004",276,4.24 x 6.80 x 0.78 inches,0
Running with the Demon (Word and The Void Trilogy Series #1),Terry Brooks,$7.99 ,9780345422583,Random House Publishing Group,5/28/98,448.0,4.20(w) x 6.90(h) x 1.20(d),"Step-By-Step Problem Solving, Grade 5(Singapore Math)",Singapore Asian Publications,$8.73,9781609964801,Frank Schaffer Publications,"Jan. 3rd, 2012",64,8.20 x 10.60 x 0.30 inches,0
Star Wars Clone Wars Gambit #2: Siege,Karen Miller,$14.54 ,9780345509000,Random House Publishing Group,7/6/10,416.0,8.30(w) x 5.68(h) x 0.90(d),Don't Judge a Girl by Her Cover(Gallagher Girls),Ally Carter,$9.91,9781423116608,Hyperion Books,"May. 11th, 2010",263,5.60 x 8.20 x 0.60 inches,0
No Summit out of Sight: The True Story of the Youngest Person to Climb the Seven Summits,Jordan Romero,$8.76 ,9781481432764,Simon & Schuster Books For Young Readers,5/12/15,368.0,8.20(w) x 5.40(h) x 1.00(d),Steve Jobs,Karen Blumenthal,$11.29,9781250014450,Feiwel & Friends,"Feb. 14th, 2012",320,5.50 x 8.24 x 0.83 inches,0
Through the Ever Night (Under the Never Sky Series #2),Veronica Rossi,$9.99 ,9780062072078,HarperCollins Publishers,12/23/13,368.0,5.31(w) x 8.00(h) x 0.82(d),Willful Impropriety,Ekaterina Sedia,$7.65,9780762444304,Running Press Kids,"Sep. 4th, 2012",440,,0
Lux: Beginnings (Obsidian & Onyx),Jennifer L. Armentrout,$11.92 ,9781622664481,"Entangled Publishing, LLC",6/3/14,800.0,5.40(w) x 8.10(h) x 1.90(d),Twenty Boy Summer,Sarah Ockler,$10.67,9780316051583,Little Brown and Company,"May. 1st, 2010",290,5.46 x 8.22 x 0.88 inches,0
The Vampire Prince (Cirque Du Freak Series #6),Darren Shan,$7.51 ,9780316602747,"Little, Brown Books for Young Readers",8/4/04,208.0,5.25(w) x 7.75(h) x 0.75(d),Cascade(River of Time),Lisa Bergren,$10.94,9781434764317,David C. Cook,"Jun. 1st, 2011",416,5.50 x 8.20 x 1.20 inches,0
Coach Carter,Jasmine Jones,$5.98 ,9780060772529,HarperCollins Publishers,12/14/04,144.0,4.18(w) x 6.75(h) x 0.37(d),The War with Grandpa(Yearling),Robert Kimmel Smith,$8.43,9780440492764,Yearling Books,"Sep. 1st, 1984",140,5.17 x 7.66 x 0.39 inches,0
Rise (Nightshade Series #5),Andrea Cremer,$9.99 ,9780142424940,Penguin Young Readers Group,11/19/13,432.0,5.40(w) x 8.20(h) x 1.30(d),Knights of the Hill Country,Tim Tharp,$119.28,9780553495133,Laurel Leaf Library,"Aug. 12th, 2008",233,4.18 x 6.90 x 0.68 inches,0
The Talismans of Shannara (Heritage of Shannara Series #4),Terry Brooks,$7.99 ,9780345386748,Random House Publishing Group,1/28/94,464.0,4.17(w) x 6.87(h) x 1.01(d),The Crossing(Point (Scholastic Inc.)),Gary Paulsen,$8.23,9780439786614,Scholastic Paperbacks,"Jan. 1st, 2006",114,4.30 x 6.74 x 0.36 inches,0
The Last of the Mohicans (Barnes & Noble Classics Series),James Fenimore Cooper,$8.05 ,9781593081379,Barnes & Noble,11/25/04,416.0,5.75(w) x 8.44(h) x 1.04(d),Enchantress from the Stars,Sylvia Louise Engdahl,$9.87,9780142500378,Firebird,"Feb. 24th, 2003",288,4.36 x 7.06 x 0.74 inches,0
Under the Blood-Red Sun,Graham Salisbury,$9.99 ,9780385386555,Random House Children's Books,9/9/14,272.0,5.50(w) x 8.19(h) x 0.50(d),Trino's Choice,Diane Gonzales Bertrand,$11.98,9781558852686,Arte Publico Press,"Nov. 1st, 1999",128,0.38 x 8.50 x 5.50 inches,0
Star Wars The Crystal Star,Vonda McIntyre,$7.19 ,9780553571745,Random House Publishing Group,11/28/95,413.0,4.16(w) x 6.78(h) x 1.20(d),Sinsajo = Mockingjay(Hunger Games),Suzanne Collins,$19.87,9788427202146,Molino,"Mar. 1st, 2012",422,5.60 x 8.30 x 1.50 inches,0
The Vampire Diaries #3-4: The Fury and Dark Reunion,L. J. Smith,$9.99 ,9780061140983,HarperCollins Publishers,12/26/07,520.0,5.30(w) x 7.90(h) x 1.50(d),Five Flavors of Dumb,Antony John,$9.37,9780142419434,Speak,"Sep. 29th, 2011",337,5.54 x 8.26 x 0.99 inches,0
The Compound,S. A. Bodeen,$9.99 ,9780312578602,Square Fish,9/1/09,272.0,5.40(w) x 8.20(h) x 1.00(d),The Last Dragon,Silvana De Mari,$151.73,9781423104056,Miramax Books,Unknown,361,5.32 x 7.60 x 0.93 inches,0
Torment (Lauren Kate's Fallen Series #2),Lauren Kate,$9.34 ,9780385739153,Random House Children's Books,6/14/11,464.0,8.02(w) x 5.52(h) x 1.06(d),The Lying Game #2(Lying Game (Paperback)),Sara Shepard,$10.86,9780061869730,Harper Teen,"Jul. 31st, 2012",336,5.10 x 7.80 x 0.90 inches,0
Rebel Belle (Rebel Belle Series #1),Rachel Hawkins,$9.99 ,9780147514356,Penguin Young Readers Group,3/3/15,368.0,5.40(w) x 8.20(h) x 1.10(d),The Power of a Praying Teen,Stormie Omartian,$13.65,9780736901901,Harvest House s,"Jul. 1st, 2005",203,5.27 x 8.00 x 0.48 inches,0
Dare You To,Katie McGarry,$9.99 ,9780373210985,Harlequin,5/6/14,480.0,5.30(w) x 8.20(h) x 1.40(d),How We Know What We Know about Our Changing Climate,Lynne Cherry,$142.11,9781584691303,Dawn Publications (CA),"Mar. 1st, 2010",66,10.54 x 9.00 x 0.19 inches,0
Burned (House of Night Series #7),P. C. Cast,$9.99 ,9780312387969,St. Martin's Press,9/27/11,336.0,8.26(w) x 5.52(h) x 0.88(d),Dope Sick,Walter Dean Myers,$10.66,9780061214790,Amistad Press,"Feb. 2nd, 2010",186,5.10 x 7.10 x 0.51 inches,0
Luka and the Fire of Life,Salman Rushdie,$13.31 ,9780679783473,Random House Publishing Group,9/20/11,240.0,5.10(w) x 7.90(h) x 0.70(d),West from Home(Little House),Laura Ingalls Wilder,$7.73,9780064400817,HarperCollins s,"Oct. 20th, 1976",171,5.32 x 7.56 x 0.47 inches,0
Witch Hunter,Virginia Boecker,$11.29 ,9781408335222,"Hodder & Stoughton, Ltd.",9/1/15,368.0,5.00(w) x 7.70(h) x 1.20(d),"Dark Magick, Awakening, and Spellbound(Sweep 3 in 1)",Cate Tiernan,$10.29,9780142418970,Speak,"Nov. 11th, 2010",576,5.00 x 7.70 x 1.60 inches,0
The Hunger Games Tribute Guide,Emily Seife,$5.78 ,9780545457828,"Scholastic, Inc.",2/7/12,128.0,5.30(w) x 7.99(h) x 0.45(d),Pretty Little Liars TV(Pretty Little Liars (Quality)),Sara Shepard,$10.59,9780062009548,Harper Teen,"Jun. 8th, 2010",286,6.20 x 8.02 x 0.74 inches,0
The Calling (Darkness Rising Series #2),Kelley Armstrong,$9.99 ,9780061797064,HarperCollins Publishers,4/2/13,326.0,5.20(w) x 7.80(h) x 1.00(d),The Thief Lord,Cornelia Funke,$8.96,9780545227704,Chicken House,"May. 1st, 2010",349,5.30 x 7.50 x 0.90 inches,0
In the Hand of the Goddess (Song of the Lionness Series #2),Tamora Pierce,$7.99 ,9780689878565,Simon Pulse,1/28/05,288.0,4.10(w) x 7.22(h) x 0.77(d),School of Fear(School of Fear (Paperback)),Gitty Daneshvari,$9.19,9780316033299,"Little, Brown Books for Young Readers","Oct. 3rd, 2011",336,5.10 x 7.50 x 1.00 inches,0
Treasure Island (Barnes & Noble Classics Series),Robert Louis Stevenson,$6.25 ,9781593082475,Barnes & Noble,3/1/05,304.0,5.20(w) x 7.90(h) x 0.90(d),The National Geographic Bee Ultimate Fact Book,Andrew Wojtanik,$13.65,9781426309472,National Geographic Society,"Feb. 14th, 2012",384,5.90 x 8.40 x 0.80 inches,0
Breakable,Tammara Webber,$11.28 ,9780425266861,Penguin Publishing Group,5/6/14,368.0,5.40(w) x 8.10(h) x 1.10(d),Innocent Darkness(Aether Chronicles),Suzanne Lazear,$5.79,9780738732480,Flux,"Aug. 8th, 2012",391,5.10 x 7.90 x 1.00 inches,0
How to Eat a Poem: A Smorgasbord of Tasty and Delicious Poems for Young Readers,Ted Kooser,$3.00 ,9780486451596,Dover Publications,3/10/06,96.0,5.10(w) x 8.10(h) x 0.40(d),Witchlanders,Lena Coakley,$5.79,9781442420052,Atheneum Books for Young Readers,"Sep. 4th, 2012",416,,0
The Dark Tower VI: Song of Susannah,Stephen King,$7.70 ,9781416521495,Pocket Books,5/23/06,560.0,7.50(w) x 4.10(h) x 1.20(d),To Save a Life,Jim Britts,$16.22,9780982374467,Outreach Publishing,"Oct. 1st, 2009",315,5.18 x 8.70 x 0.86 inches,0
Deadly Little Lies (Touch Series #2),Laurie Faria Stolarz,$8.99 ,9781423111993,Disney-Hyperion,9/21/10,304.0,5.40(w) x 8.20(h) x 0.70(d),Coach Carter,Jasmine Jones,$7.93,9780060772529,Amistad Press,"Dec. 1st, 2004",144,4.26 x 6.82 x 0.45 inches,0
Forever...,Judy Blume,$9.99 ,9781481414432,Atheneum Books for Young Readers,4/29/14,240.0,5.40(w) x 8.20(h) x 0.70(d),Malice(Malice (Quality)),Chris Wooding,$118.06,9780545160445,Scholastic Inc.,"Aug. 1st, 2010",377,5.32 x 8.00 x 0.90 inches,0
Anna Dressed in Blood,Kendare Blake,$9.99 ,9780765328670,Tom Doherty Associates,7/3/12,320.0,5.56(w) x 8.04(h) x 0.86(d),Bridge to Terabithia,Katherine Paterson,$7.94,9780061253706,HarperEntertainment,"Dec. 26th, 2006",191,4.20 x 6.78 x 0.61 inches,0
The Raging Fires (Merlin Saga Series #3),T. A. Barron,$7.99 ,9780142419212,Penguin Young Readers Group,5/12/11,288.0,5.13(w) x 7.75(h) x 0.75(d),The Apothecary,Maile Meloy,$6.90,9780142422069,Puffin Books,"Feb. 12th, 2013",384,,0
Boundless,Cynthia Hand,$9.99 ,9780061996214,HarperCollins Publishers,12/23/13,448.0,9.60(w) x 6.40(h) x 1.40(d),Seedfolks(Joanna Colter Books),Paul Fleischman,$8.98,9780064472074,HarperTrophy,"Mar. 24th, 1999",80,4.18 x 6.80 x 0.31 inches,0
Hexbound (Dark Elite Series #2),Chloe Neill,$7.99 ,9780451230799,Penguin Publishing Group,1/4/11,256.0,4.20(w) x 6.70(h) x 1.00(d),My Life in Pink & Green,Lisa Greenwald,$9.26,9780810989849,Amulet Books,"Sep. 1st, 2010",267,5.38 x 7.66 x 0.76 inches,0
Exile's Valor (Heralds of Valdemar Series #7),Mercedes Lackey,$8.99 ,9780756402211,DAW,10/28/04,448.0,4.25(w) x 6.75(h) x 1.19(d),Getting the Girl,Markus Zusak,$10.30,9780439389501,Push,"Jun. 1st, 2004",250,5.02 x 7.02 x 0.59 inches,0
The Alchemyst (The Secrets of the Immortal Nicholas Flamel #1),Michael Scott,$6.70 ,9780385736008,Random House Children's Books,6/24/08,400.0,7.98(w) x 5.12(h) x 0.87(d),When a Friend Dies,Marilyn E. Gootman,$10.55,9781575421704,Free Spirit Publishing,"Apr. 15th, 2005",118,5.04 x 7.04 x 0.28 inches,0
"The Goddess Test Boxed Set: The Goddess Test, Goddess Interrupted, The Goddess Inheritance,The Goddess Legacy",Aim��e Carter,$26.18 ,9780373210954,Harlequin,9/24/13,1312.0,8.42(w) x 5.62(h) x 3.98(d),Give a Boy a Gun,Todd Strasser,$8.79,9780689848933,Simon Pulse,"Apr. 1st, 2002",208,4.56 x 6.78 x 0.52 inches,0
Skeleton Key (Alex Rider Series #3),Anthony Horowitz,$8.99 ,9780142406144,Penguin Young Readers Group,2/16/06,368.0,5.00(w) x 7.70(h) x 1.00(d),The French Revolution(Witness to History (Paperback)),Sean Connolly,$12.49,9781403436375,Heinemann Library,"Apr. 1st, 2003",56,6.32 x 9.20 x 0.24 inches,0
Perfect,Ellen Hopkins,$11.22 ,9781416983255,Margaret K. McElderry Books,12/3/13,656.0,5.50(w) x 8.20(h) x 2.40(d),"Yu-GI-Oh! Gx, Volume 1(Yu-GI-Oh! Gx (Viz))",Naoyuki Kageyama,$10.59,9781421513782,Viz Media,"Nov. 1st, 2007",224,5.00 x 7.58 x 0.70 inches,0
The Kidnapping of Christina Lattimore,Joan Lowery Nixon,$7.99 ,9780152050313,Houghton Mifflin Harcourt,3/1/04,320.0,6.96(w) x 10.86(h) x 0.83(d),Dear Bully,Megan Kelley Hall,$10.60,9780062060976,Harper Teen,"Sep. 6th, 2011",369,5.32 x 8.10 x 0.92 inches,0
Mas alla de mi (Reaching Out),Francisco Jimenez,$6.99 ,9780547250311,Houghton Mifflin Harcourt,9/7/09,214.0,5.00(w) x 7.00(h) x 0.60(d),Sabotaged(Missing (Aladdin)),Margaret Peterson Haddix,$9.19,9781416954255,Simon & Schuster Children's Publishing,"Aug. 23rd, 2011",377,5.10 x 7.60 x 1.10 inches,0
"Odd Girl Out, Revised and Updated: The Hidden Culture of Aggression in Girls",Rachel Simmons,$10.51 ,9780547520193,Houghton Mifflin Harcourt,8/3/11,432.0,5.31(w) x 8.00(h) x 1.15(d),The Prisoner,Robert Muchamore,$11.61,9780340999172,Hodder & Stoughton,"Apr. 1st, 2012",362,5.00 x 7.70 x 1.00 inches,0
Unwind (Unwind Dystology Series #1),Neal Shusterman,$7.59 ,9781416912057,Simon & Schuster Books For Young Readers,6/2/09,352.0,5.50(w) x 8.25(h) x 1.00(d),"Tokyo Mew Mew Omnibus, Volume 1(Tokyo Mew Mew Omnibus)",Reiko Yoshida,$14.15,9781935429876,Kodansha Comics,"Oct. 25th, 2011",368,5.00 x 7.40 x 1.20 inches,0
Insurgente (Divergent Series #2),Veronica Roth,$17.49 ,9788427203181,"Lectorum Publications, Inc.",10/15/13,463.0,5.30(w) x 8.30(h) x 1.40(d),The Lab(Lab (Mass Market)),Jack Heath,$9.04,9780545075954,Scholastic Paperbacks,"Jan. 1st, 2010",311,5.22 x 8.06 x 0.65 inches,0
The Everything TV Word Search Book: A new season of TV puzzles - with no reruns!,Charles Timmerman,$10.39 ,9781605500461,Adams Media,7/18/09,192.0,7.90(w) x 9.10(h) x 0.60(d),A Corner of the Universe,Ann Matthews Martin,$8.92,9780439388818,Scholastic Paperbacks,"Jan. 1st, 2004",189,5.40 x 7.60 x 0.53 inches,0
Because of Low (Sea Breeze Series #2),Abbi Glines,$9.99 ,9781442488632,Simon Pulse,7/2/13,320.0,5.50(w) x 8.20(h) x 0.90(d),Spark(Elemental (Kensington)),Brigid Kemmerer,$9.83,9780758272829,K-Teen,"Sep. 1st, 2012",432,5.57 x 8.34 x 1.34 inches,0
The King's Fifth,Scott O'Dell,$6.95 ,9780618747832,Houghton Mifflin Harcourt,9/4/06,272.0,5.13(w) x 7.63(h) x 0.69(d),The Dead of Night(Tomorrow),John Marsden,$144.11,9780439829113,Scholastic Paperbacks,"Jun. 1st, 2006",264,6.48 x 7.98 x 0.60 inches,0
Champion (Marie Lu's Legend Series #3),Marie Lu,$9.99 ,9780147512284,Penguin Young Readers Group,9/9/14,400.0,5.40(w) x 8.20(h) x 1.30(d),Jacob Have I Loved,Katherine Paterson,$8.45,9780064403689,HarperTrophy,"Feb. 2nd, 1990",272,5.18 x 7.70 x 0.63 inches,0
Feet of Clay (Discworld Series #19),Terry Pratchett,$9.99 ,9780062275516,HarperCollins Publishers,1/28/14,400.0,4.18(w) x 7.50(h) x 0.90(d),The Chocolate War,Robert Cormier,,9780440944591,Laurel Leaf Library,"Aug. 1st, 1986",272,4.18 x 6.92 x 0.73 inches,0
The Secret Diary of Anne Boleyn,Robin Maxwell,$13.30 ,9780684849690,Touchstone,5/28/98,288.0,5.25(w) x 8.00(h) x 0.70(d),The Endless Steppe (Rack),Esther Hautzig,$9.15,9780064470278,Harper Teen,"Jun. 30th, 1987",256,4.26 x 7.06 x 0.59 inches,0
Smoked,Mari Mancusi,$9.99 ,9781492623137,Sourcebooks,9/1/15,384.0,5.50(w) x 8.20(h) x 1.10(d),Download Drama(Kimani TRU),Celeste O. Norfleet,$13.22,9780373534630,Harlequin Kimani,"Apr. 17th, 2012",249,5.45 x 8.28 x 0.70 inches,0
The Fame Game (Fame Game Series #1),Lauren Conrad,$10.99 ,9780062075192,HarperCollins Publishers,10/2/12,336.0,5.20(w) x 7.90(h) x 1.00(d),Death Cloud(Sherlock Holmes: The Legend Begins (Paperback)),Andy Lane,$11.43,9780312563714,Square Fish,"Oct. 25th, 2011",311,5.58 x 8.23 x 0.94 inches,0
Teenage Love Affair,Ni-Ni Simone,$8.15 ,9780758241894,Kensington,4/1/10,240.0,5.50(w) x 8.20(h) x 1.00(d),How to Ruin My Teenage Life,Simone Elkeles,$10.15,9780738710198,Flux,"Jun. 8th, 2007",281,5.36 x 8.00 x 0.72 inches,0
The Realms of the Gods (The Immortals Series #4),Tamora Pierce,$7.99 ,9781416908173,Simon Pulse,12/20/05,368.0,4.10(w) x 7.00(h) x 0.75(d),After Tupac and D Foster,Jacqueline Woodson,$8.71,9780142413999,Puffin Books,"Jan. 7th, 2010",153,5.40 x 8.10 x 0.50 inches,0
Infinite (Incarnate Trilogy Series #3),Jodi Meadows,$7.67 ,9780062060822,HarperCollins Publishers,3/10/15,448.0,5.20(w) x 7.90(h) x 1.20(d),Young Fu of the Upper Yangtze,Elizabeth Foreman Lewis,$9.99,9780312380076,Square Fish,"Apr. 29th, 2008",306,5.20 x 7.65 x 0.86 inches,0
"Delirium Stories: Hana, Annabel, and Raven",Lauren Oliver,$9.99 ,9780062267788,HarperCollins Publishers,3/5/13,224.0,5.30(w) x 7.90(h) x 0.70(d),The Silver Branch(Roman Britain Trilogy),Rosemary Sutcliff,$118.83,9780374466480,Farrar Straus Giroux,"Sep. 30th, 1993",240,5.05 x 7.60 x 0.60 inches,0
Infamous (Chronicles of Nick Series #3),Sherrilyn Kenyon,$9.61 ,9781250002853,St. Martin's Press,4/9/13,480.0,5.64(w) x 8.10(h) x 1.29(d),12 Again,Sue Corbett,$8.45,9780142407295,Puffin Books,"Mar. 1st, 2007",227,5.18 x 7.76 x 0.66 inches,0
October Sky,Homer Hickam,$7.99 ,9780440235507,Random House Publishing Group,2/28/99,448.0,6.88(w) x 10.90(h) x 1.20(d),Spanking Shakespeare,Jake Wizner,$8.51,9780375855948,Random House Books for Young Readers,"Oct. 28th, 2008",287,5.44 x 8.26 x 0.70 inches,0
