ID,Title,Time,Director,Year,Cast
4550,There Will Be Blood (2007) (BD) [Blu-ray] , 158 minutes ,Various,2008,Various
4551,"TCM Greatest Classic Film Collection: Legends - Bette Davis (Now, Voyager / Dark Victory / Old Acquaintance / Jezebel) ", 518 minutes ,William Wyler,2011,Bette Davis
4552,Persona (Criterion Collection) (Blu-ray + DVD) , 83 minutes ,Ingmar Bergman,2014,Liv Ullmann
4553,Teenage Mutant Ninja Turtles 2    ,"1 hour, 29 minutes",Michael Pressman,1991,"Paige Turco, David Warner"
4554,The Day of the Jackal , 143 minutes ,Fred Zinnemann,1998,Edward Fox
4555,Total Recall (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) , 118 minutes ,Len Wiseman,2013,Colin Farrell
4556,Burn After Reading    ,"1 hour, 37 minutes",Ethan Coen,2008,"George Clooney, Frances McDormand"
4557,The Southerner [Blu-ray] , 92 minutes ,Jean Renoir,1916,Zachary Scott
4558,The Exorcist    ,"2 hours, 2 minutes",William Friedkin,1973,"Ellen Burstyn, Max von Sydow"
4559,Drop Dead Fred , 103 minutes ,Ate de Jong,2003,Phoebe Cates
4560,Children Of The Grave 2    ,"1 hour, 20 minutes",Christopher Saint Booth,2012,"Keith Age, Betsy Bellanger"
4561,Stick It    ,"1 hour, 44 minutes",Jessica Bendinger,2006,"Jeff Bridges, Missy Peregrym"
4562,Blue Is the Warmest Color (Criterion Collection) (Blu-ray) , 179 minutes ,Abdellatif Kechiche,2014,Léa Seydoux
4563,2:22:00 AM,"1 hour, 45 minutes",Phillip Guzman,2010,"Mick Rossi, Robert Miano"
4564,2012, 158 minutes ,Roland Emmerich,2010,John Cusack
4565,Das Boot - The Director's Cut , 208 minutes ,Wolfgang Petersen,1997,Herbert Gronemeyer
4566,Mississippi Burning , 128 minutes ,Alan Parker,2001,Gene Hackman
4567,Sagwan (English Subtitled)   ,"1 hour, 42 minutes",Monti Parungao,2009,"Ryan Dungo, Dennis Torres"
4568,The Weight of Water    ,"1 hour, 55 minutes",Kathryn Bigelow,2002,"Ciarán Hinds, Richard Donat"
4569,Xanadu (Magical Edition) , 96 minutes ,Robert Greenwald,2009,Olivia Newton-John
4570,A Good Year    ,"1 hour, 58 minutes",Ridley Scott,2006,"Freddie Highmore, Albert Finney"
4571,Body of Lies    ,"2 hours, 9 minutes",Ridley Scott,2008,"Leonardo DiCaprio, Russell Crowe"
4572,The Miracle Worker , 106 minutes ,Arthur Penn,2001,Anne Bancroft
4573,"Classic Westerns, 10-Movie Collection: When Daltons Rode / The Virginian / Whispering Smith / The Spoilers / Comanche Territory / Sierra / Kansas Raiders / Tomahawk / Albuquerque / Texas Rangers Ride Again ", 835 minutes ,James Hogan,2013,Randolph Scott
4574,The Uninvited    ,"1 hour, 28 minutes",Charles Guard,2009,"Emily Browning, Arielle Kebbel"
4575,Are You Joking?    ,"1 hour, 32 minutes",Jake Wilson,2015,"Sas Goldberg,Jake Wilson"
4576,Under the Same Moon (English Subtitled)    ,"1 hour, 51 minutes",Patricia Riggen,2007,"Adrian Alonso, Kate del Castillo"
4577,One Hundred Mornings    ,"1 hour, 24 minutes",Conor Horgan,2009,"Ciarán McMenamin, Alex Reid"
4578,Double Jeopardy (1999) , 105 minutes ,Bruce Beresford,2000,Tommy Lee Jones
4579,Seven Days in Utopia , 100 minutes ,Matt Russell,2011,Robert Duvall
4580,Coyote Ugly , 101 minutes ,David McNally,2001,Piper Perabo
4581,The Vietnam War    ,29 minutes,Rick Manning,2000,"Andy Chase, Stephen Croce"
4582,Annie Hall    ,"1 hour, 34 minutes",Woody Allen,1977,"Woody Allen, Diane Keaton"
4583,Taxi Driver (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) , 114 minutes ,Martin Scorsese,2013,Cybill Shepherd
4584,Gone in 60 Seconds , 127 minutes ,Dominic Sena,2000,Nicolas Cage
4585,The Fugitive (20th Anniversary Edition) [Blu-ray] , 130 minutes ,Andrew Davis,2013,Harrison Ford
4586,Deliverance    ,"1 hour, 50 minutes",John Boorman,1972,"Jon Voight, Burt Reynolds"
4587,Great Gain    ,"1 hour, 47 minutes",Jeffery Peterson,2013,"Dimitria Alderidge, Paul Archer"
4588,To Save a Life , 120 minutes ,Brian Baugh,2010,Randy Wayne
4589,"Out 1 (LIMITED EDITION DELUXE BOX SET, DUAL FORMAT: 6 BLU-RAYs & 7 DVDs) ", 775 minutes ,Jacques Rivette,1916,Jean-Pierre Leaud
4590,12 Monkeys [Blu-ray] , 130 minutes ,Terry Gilliam,2009,Brad Pitt
4591,Good Boys (English Subtitled)   ,"1 hour, 14 minutes",Yair Hochner,2005,"Daniel Efrat, Dana Balalti"
4592,Tales of Tomorrow: Appointment on Mars (1952)    ,24 minutes,Don Medford,2006,"Leslie Nielsen, William Redfield"
4593,Gatling Gun    ,"1 hour, 45 minutes",Robert Gordon,1973,"Guy Stockwell, Robert Fuller"
4594,Delivered    ,"1 hour, 30 minutes",Michael Madison,2011,"Michael Madison, Jeanette May Steiner"
4595,Jacob's Ladder    ,"1 hour, 54 minutes",Adrian Lyne,1990,"Tim Robbins, Elizabeth Peña"
4596,The Grand Budapest Hotel Extended Preview    ,11 minutes,Wes Anderson,2014,"Ralph Fiennes, F. Murray Abraham"
4597,High Noon , 85 minutes ,Fred Zinnemann,2012,Gary Cooper
4598,Bells of St. Mary's , 126 minutes ,Leo McCarey,2013,Bing Crosby
4599,Fire Over England    ,"1 hour, 30 minutes",William K. Howard,2013,"Flora Robson, Raymond Massey"
4600,Citizen Kane (70th Anniversary Edition) [Blu-ray Book] , 119 minutes ,Orson Welles,2012,Orson Welles
4601,Transcendence (2014)    ,"2 hours, 0 minutes",Wally Pfister,2014,"Johnny Depp, Rebecca Hall"
4602,We Were Soldiers (2002) , 84 minutes ,Various,2002,Various
4603,The Elia Kazan Collection , 1785 minutes ,Elia Kazan,2010,Montgomery Clift
4604,Mr. Turner , 150 minutes ,Mike Leigh,2015,Timothy Spall
4605,Hey Hey It's Esther Blueburger    ,"1 hour, 42 minutes",Cathy Randall,2008,"Danielle Catanzariti, Cassandra Jinman"
4606,"Young Believers, The    ","1 hour, 20 minutes",Jay Gerren,2015,"Kelsey Tanaka, Ryan N. Taylor"
4607,Candyman (Special Edition) , 99 minutes ,Bernard Rose,2004,Kasi Lemmons
4608,Freetown , 113 minutes ,Garrett Batty,2015,Henry Adofo
4609,Step Up (Widescreen Edition) , 103 minutes ,Anne Fletcher,2006,Channing Tatum
4610,Clemence (English Subtitled)   ,"1 hour, 47 minutes",Franck Buchter,2005,"Benjamin Bellecour, Caroline Bourg"
4611,Unfaithful    ,"2 hours, 4 minutes",Adrian Lyne,2002,"Diane Lane, Erik Per Sullivan"
4612,Imitation of Life Two-Movie Special Edition , 236 minutes ,John M. Stahl,2012,Claudette Colbert
4613,Luna Park    ,"1 hour, 8 minutes",Steven Vasquez,2013,"Laura Reilly, Michael Brent"
4614,Slam Dance [Blu-ray] , 92 minutes ,Wayne Wang,2015,Tom Hulce
4615,The Third Man [Blu-ray] , 105 minutes ,Carol Reed,2010,Joseph Cotten
4616,Mr. Wong Detective    ,"1 hour, 14 minutes",William Nigh,1938,"Boris Karloff, Grant Withers"
4617,The Long Gray Line , 137 minutes ,John Ford,2002,Ward Bond
4618,3 Nights in the Desert    ,"1 hour, 23 minutes",Gabriel Cowan,2015,"Wes Bentley, Vincent Piazza"
4619,Blood Angels (aka Thralls)    ,"1 hour, 43 minutes",Ron Oliver,2004,"Lorenzo Lamas, Leah Cairns"
4620,Heavy Metal (Collector's Edition) , 90 minutes ,Gerald Potterton,2008,
4621,A Good Year (Widescreen Edition) , 117 minutes ,Ridley Scott,2007,Russell Crowe
4622,2010: The Year We Make Contact    ,"1 hour, 56 minutes",Peter Hyams,1984,"Roy Scheider, John Lithgow"
4623,The Impossible - 10 Minute Preview    ,11 minutes,J.A. Bayona,2012,"Naomi Watts, Ewan McGregor"
4624,Inglourious Basterds (Single-Disc Edition) , 153 minutes ,Quentin Tarantino,2009,Brad Pitt
4625,Shenandoah , 106 minutes ,Andrew V. McLaglen,2003,James Stewart
4626,Women in Trouble    ,"1 hour, 36 minutes",Sebastian Gutierrez,2009,"Carla Gugino, Adrianne Palicki"
4627,The Sensation of Sight    ,"2 hours, 15 minutes",Aaron J. Wiederspahn,2006,"David Strathairn, Ian Somerhalder"
4628,In Cold Blood (The Criterion Collection) [Blu-ray] , 134 minutes ,Richard Brooks,2015,Robert Blake
4629,Iron Man [Blu-ray] , 125 minutes ,Jon Favreau,2013,Jr. Robert Downey
4630,That Awkward Moment    ,"1 hour, 35 minutes",Tom Gormican,2014,"Zac Efron, Miles Teller"
4631,Atonement    ,"2 hours, 3 minutes",Joe Wright,2007,"Saoirse Ronan, Ailidh Mackay"
4632,No Way Out (English Subtitled)   ,"1 hour, 39 minutes",Joel Lamangan,2009,"Jean Garcia,Emilio Garcia"
4634,Inherent Vice (2014) (Blu-ray+DVD+UltraViolet Combo Pack) , 148 minutes ,Paul Thomas Anderson,2015,Joaquin Phoenix
4635,127 Hours    ,"1 hour, 34 minutes",Danny Boyle,2010,"James Franco, Kate Mara"
4636,Valerie and Her Week of Wonders [Blu-ray] , 76 minutes ,Jaromil Jire,2015,Jaroslava Schallerová
4637,Atlas Shrugged: Part 3    ,"1 hour, 40 minutes",James Manera,2014,"Kristoffer Polaha, Laura Regan"
4638,Wild Tales    ,"2 hours, 3 minutes",Damián Szifrón,2015,"Darío Grandinetti, María Marull"
4639,Enter the Dragon (40th Anniversary Edition) [Blu-ray] , 98 minutes ,Various,2013,Various
4640,The Legend of Lizzie Borden , 100 minutes ,Paul Wendkos,2014,Elizabeth Montgomery
4641,Last Resort    ,"1 hour, 30 minutes",Lyman Dayton,2012,"Dave Buzzotta, Stephanie Dicker"
4642,Forrest Gump    ,"2 hours, 23 minutes",Robert Zemeckis,1994,"Tom Hanks, Rebecca Williams"
4643,TCM Greatest Classic Legends: Gene Kelly , 460 minutes ,George Sidney,2013,Gene Kelly
4644,"Yesterday, Today, and Tomorrow    ","1 hour, 59 minutes",Vittorio De Sica,1963,"Sophia Loren, Marcello Mastroianni"
4645,The BeastMaster , 118 minutes ,Don Coscarelli,2011,Marc Singer
4646,Blast And Whisper    ,"1 hour, 21 minutes",Mark Moran,2011,"Mehran Haq, Libertad Green"
4647,The Butterfly Effect    ,"2 hours, 0 minutes",Eric Bress,2004,"Ashton Kutcher, Melora Walters"
4648,4 Film Favorites: Final Destination Collection [Blu-ray] , 363 minutes ,Various,2014,Various
4649,A Beautiful Belly    ,"1 hour, 34 minutes",Andrew Kenneth Gay,2014,"Chris Worley, Lauren Brown"
4650,What Dreams May Come    ,"1 hour, 54 minutes",Vincent Ward,1998,"Robin Williams, Cuba Gooding Jr."
4651,Lustful Illusions    ,"1 hour, 20 minutes",Brian McNulty,2015,"A.J. Khan,Darian Caine"
4652,Backroads and Lilies    ,"1 hour, 38 minutes",Jefferson Moore,2013,"Christina Karis, Jefferson Moore"
4653,Law of Corruption (English Subtitled)   ,"1 hour, 52 minutes",Oleg Stepchenko,2005,"Aleksey Kravchenko, Aleksandr Karpov"
4654,Safe House    ,"1 hour, 56 minutes",Daniel Espinosa,2012,"Denzel Washington, Ryan Reynolds"
4655,Gettysburg    ,"4 hours, 15 minutes",Ron Maxwell,1993,"Tom Berenger, Martin Sheen"
4656,Rage At Dawn - Color - 1955    ,"1 hour, 28 minutes",Tim Whelan,2010,"Randolph Scott, Forrest Tucker"
4657,Step Up All In    ,"1 hour, 52 minutes",Trish Sie,2014,"Ryan Guzman, Briana Evigan"
4658,War Horse    ,"2 hours, 27 minutes",Steven Spielberg,2011,"Jeremy Irvine, Peter Mullan"
4659,The Night Stalker/The Night Strangler (Double Feature) , 164 minutes ,Dan Curtis,2004,Darren McGavin
4660,Philomena    ,"1 hour, 38 minutes",Stephen Frears,2013,"Judi Dench, Steve Coogan"
4661,Blowing Wild    ,"1 hour, 30 minutes",Hugo Fregonese,1953,"Gary Cooper, Barbara Stanwyck"
4662,Freaks , 62 minutes ,Tod Browning,2005,Wallace Ford
4663,Something Borrowed , 112 minutes ,Luke Greenfield,2011,Kate Hudson
4664,The Outlaw Josey Wales , 135 minutes ,Clint Eastwood,2010,Clint Eastwood
4665,Another Harvest Moon    ,"1 hour, 29 minutes",Greg Swartz,2010,"Ernest Borgnine, Piper Laurie"
4666,Little Jerusalem (English Subtitled)   ,"1 hour, 32 minutes",Karin Albou,2005,"Fanny Valette, Elsa Zylberstein"
4667,Suits: Cast and Creators Live at the Paley Center    ,"1 hour, 6 minutes",The Paley Center for Media,2013,"Gabriel Macht,Patrick J. Adams"
4668,Erin Brockovich , 132 minutes ,Steven Soderbergh,2000,Julia Roberts
4669,Betrayed: A Story of Three Women    ,"1 hour, 33 minutes",William A. Graham,2013,"Meredith Baxter, Swoosie Kurtz"
4670,Dragon Tattoo Trilogy: Extended Edition , 540 minutes ,Niels Arden Oplev,2011,Noomi Rapace
4671,Surveillance    ,"1 hour, 38 minutes",Jennifer Chambers Lynch,2009,"Caroline Aaron, Hugh Dillon"
4672,Good Deeds , 110 minutes ,Tyler Perry,2012,Tyler Perry
4673,Sex World , 91 minutes ,Anthony Spinelli,2015,Annette Haven
4674,Diary of a Lost Girl [Blu-ray] , 112 minutes ,Georg Wilhelm Pabst,2015,Louise Brooks
4675,Bless You Prison    ,"1 hour, 28 minutes",Nicolae Margineau,2008,"Maria Ploae,Dorina Lazar"
4676,Jack , 113 minutes ,Francis Ford Coppola,2004,Robin Williams
4677,Forev    ,"1 hour, 29 minutes",Molly Green,2014,"Noël Wells, Matt Mider"
4678,Kiss the Girls (1997) (BD) [Blu-ray] ,,Gary Fleder,2015,Morgan Freeman
4679,Made Of Honor    ,"1 hour, 42 minutes",Paul Weiland,2008,"Patrick Dempsey, Michelle Monaghan"
4680,Medicine Man , 105 minutes ,John McTiernan,1999,Sean Connery
4681,Eternal Sunshine Of The Spotless Mind , 108 minutes ,Michel Gondry,2004,Jim Carrey
4682,Flickering Lights   ,"1 hour, 48 minutes",Anders Thomas Jensen,2007,"Søren Pilmark, Ulrich Thomsen"
4683,Splash    ,"1 hour, 50 minutes",Ron Howard,1984,"Tom Hanks, Daryl Hannah"
4684,Zombie Werewolves Attack    ,"1 hour, 12 minutes",John N. Carter,1984,"David Broadnax,Rita Jenrette"
4685,Songcatcher , 109 minutes ,Maggie Greenwald,2001,Janet McTeer
4686,Kate & Leopold / Serendipity , 118 minutes ,James Mangold,2011,John Cusack
4687,Hatari , 158 minutes ,Various,2001,Various
4688,Garden State    ,"1 hour, 42 minutes",Zach Braff,2004,"Zach Braff, Kenneth Graymez"
4689,American History X , 119 minutes ,Tony Kaye,2008,Edward Norton
4690,The Road To Love (English Subtitled)   ,"1 hour, 11 minutes",Rémi Lange,2003,"Karim Tarek, Riyad Echahi"
4691,Children of Men [Blu-ray] , 110 minutes ,Alfonso Cuaron,2009,Clive Owen
4692,Dangerous Remedy    ,"1 hour, 50 minutes",Ken Cameron,2012,"Jeremy Sims, Susie Porter"
4693,Seven (Single Disc Edition) , 127 minutes ,David Fincher,2006,Brad Pitt
4694,Go For Broke!    ,"1 hour, 31 minutes",Robert Pirosh,1951,"Van Johnson, Lane Nakano"
4695,Rope , 80 minutes ,Alfred Hitchcock,2006,James Stewart
4696,The Grapes of Wrath , 129 minutes ,John Ford,2004,Henry Fonda
4697,Crackie    ,"1 hour, 33 minutes",Sherry White,2006,"Mary Walsh, Meghan Greeley"
4698,Love Surreal    ,"1 hour, 34 minutes",Ryan Little,2005,"Shiri Appleby, Nick Zano"
4699,Aloft    ,"1 hour, 37 minutes",Claudia Llosa,2015,"Jennifer Connelly,Cillian Murphy"
4700,Amazing Grace    ,"1 hour, 59 minutes",Michael Apted,2007,"Ioan Gruffudd, Romola Garai"
4701,Wuthering Heights (HBO) , 104 minutes ,William Wyler,2013,Merle Oberon
4702,Heartbeat    ,"1 hour, 41 minutes",Sam Wood,2007,"Ginger Rogers, Jean-Pierre Aumont"
4703,Coen Brothers Collection (Blood Simple/Fargo/Miller's Crossing/Raising Arizona) [Blu-ray] , 93 minutes ,Ethan Coen,2011,William H. Macy
4704,Where The Heart Is    ,"2 hours, 0 minutes",Matt Williams,2000,"Natalie Portman, Ashley Judd"
4705,Shall We Dance? (1996) (English Subtitled)   ,"2 hours, 0 minutes",Masayuki Suo,2005,"Kôji Yakusho, Tamiyo Kusakari"
4706,Saltwater    ,"1 hour, 21 minutes",Charlie Vaughn,2012,"Ronnie Kerr, Ian Roberts"
4707,American Mind Control: MK Ultra    ,"1 hour, 4 minutes",Bill Pitt,2014,"Bill Pitt,Paul Hughes"
4708,Beautiful Creatures    ,"2 hours, 4 minutes",Richard LaGravenese,2013,"Alden Ehrenreich, Alice Englert"
4709,Step Up 2 The Streets , 98 minutes ,Jon M. Chu,2008,Robert Hoffman
4710,Witness (1985) , 112 minutes ,Peter Weir,2005,Harrison Ford
4711,The Joy Luck Club    ,"2 hours, 20 minutes",Wayne Wang,1993,"Kieu Chinh, Tsai Chin"
4712,The Endless Summer    ,"1 hour, 32 minutes",Bruce Brown,1966,"Michael Hynson, Robert August"
4713,Othello (1995) , 124 minutes ,Oliver Parker,2013,Laurence Fishburne
4714,Wrath of the Titans    ,"1 hour, 40 minutes",Jonathan Liebesman,2012,"Sam Worthington, Liam Neeson"
4715,Can't Be Heaven    ,"1 hour, 35 minutes",Richard Friedman,2000,"Bryan Burke, Diane Ladd"
4716,Charlie St. Cloud    ,"1 hour, 40 minutes",Burr Steers,2010,"Zac Efron, Charlie Tahan"
4717,Sin Nombre (English Subtitled)    ,"1 hour, 37 minutes",Cary Joji Fukunaga,2009,"Marco Antonio Aguirre, Leonardo Alonso"
4718,Contagion (2011) , 107 minutes ,Steven Soderbergh,2012,Marion Cotillard
4719,Belle Epine (English Subtitled)   ,"1 hour, 15 minutes",Rebecca Zlotowski,2010,"Léa Seydoux, Anaïs Demoustier"
4720,No Reservations    ,"1 hour, 45 minutes",Scott Hicks,2007,"Catherine Zeta-Jones, Aaron Eckhart"
4721,Julien & Claire    ,"1 hour, 19 minutes",Adam Neustadter,2012,"Romain Bechetoille, Nicole Bernard II"
4722,Stepping High    ,"1 hour, 35 minutes",Henri Charr,2013,"Palmer Davis, Amir M. Korangy"
4723,Real American Hero    ,"1 hour, 30 minutes",Lou Antonio,1978,"Brian Dennehy, Forrest Tucker"
4724,The Da Vinci Code Extended Cut    ,"2 hours, 55 minutes",Ron Howard,2006,"Tom Hanks, Audrey Tautou"
4725,Emma    ,"2 hours, 2 minutes",Douglas McGrath,1996,"Gwyneth Paltrow, James Cosmo"
4726,Gattaca , 131 minutes ,Andrew Niccol,1998,Ernest Borgnine
4727,Boulevard , 88 minutes ,Dito Montiel,2015,Robin Williams
4728,Girlfriend 19    ,"1 hour, 17 minutes",Christopher J. Boghosian,2013,"Cassidy Brown, Chris Ivan Cevic"
4729,A Summer Place , 130 minutes ,Delmer Daves,2007,Richard Egan
4730,"Big Combo, The - 1955 (Digitally Remastered Version)    ","1 hour, 25 minutes",Joseph H. Lewis,2011,"Cornel Wilde, Richard Conte"
4731,Let Me In    ,"1 hour, 56 minutes",Matt Reeves,2010,"Kodi Smit-McPhee, Chloë Grace Moretz"
4732,Pay It Forward , 123 minutes ,Mimi Leder,2009,Kevin Spacey
4733,The Last House on the Left / The Strangers / A Perfect Getaway Triple Feature [Blu-ray] , 607 minutes ,Bryan Bertino,2012,Tony Goldwyn
4734,Field of Dreams    ,"1 hour, 47 minutes",Phil Alden Robinson,1989,"Kevin Costner, Amy Madigan"
4735,3 Days of the Condor/ All the Presidents Men [Blu-ray] , 255 minutes ,Various,2013,Various
4736,Pleasantville (1998) , 134 minutes ,Gary Ross,2011,Tobey Maguire
4737,Snow on Tha Bluff    ,"1 hour, 19 minutes",Damon Russell,2012,"Curtis Snow, Young Blo"
4738,Beaches    ,"2 hours, 4 minutes",Garry Marshall,1988,"Bette Midler, Barbara Hershey"
4739,Fried Green Tomatoes (Widescreen Collector's Edition) , 137 minutes ,Jon Avnet,1998,Kathy Bates
4740,The Texas Chain Saw Massacre: 40th Anniversary [Blu-ray] , 83 minutes ,Tobe Hooper,2014,William Vail
4741,Beasts of the Southern Wild    ,"1 hour, 34 minutes",Benh Zeitlin,2012,"Quvenzhané Wallis, Dwight Henry"
4742,The Joy Luck Club , 139 minutes ,Wayne Wang,2002,Ming-Na Wen
4743,The Game    ,"2 hours, 9 minutes",David Fincher,1997,"Michael Douglas, Sean Penn"
4744,Sleeping With the Enemy , 99 minutes ,Joseph Ruben,2003,Julia Roberts
4745,Blue is the Warmest Color (English Subtitled)    ,"3 hours, 0 minutes",Abdellatif Kechiche,2013,"Léa Seydoux, Adèle Exarchopoulos"
4746,Cast Alaska    ,"1 hour, 19 minutes",Kevin Morris,2011,"Bobbi Holsman, David Holsman"
4747,Phantom Of The Opera at the Royal Albert Hall-25th Anniversary Celebration    ,"2 hours, 41 minutes",Nick Morris,2012,"Ramin Karimloo, Sierra Boggess"
4748,The Longest Day , 178 minutes ,Andrew Marton,2002,John Wayne
4749,Thank You for Smoking    ,"1 hour, 33 minutes",Jason Reitman,2006,"Joan Lunden, Eric Haberman"
4750,The Social Network (Two-Disc Collector's Edition) , 120 minutes ,David Fincher,2011,Jesse Eisenberg
4751,Glory Road (Widescreen Edition) , 118 minutes ,James Gartner,2006,Josh Lucas
4752,"Legend Of Bagger Vance, The ", 126 minutes ,Robert Redford,2001,Matt Damon
4753,Legends of the Fall (Special Edition) , 133 minutes ,Edward Zwick,2000,Brad Pitt
4754,All the President's Men (Two-Disc Special Edition) , 138 minutes ,Alan J. Pakula,2006,Dustin Hoffman
4755,Moulin Rouge! (Widescreen Edition) , 127 minutes ,Baz Luhrmann,2003,Nicole Kidman
4756,Interview with the Vampire: The Vampire Chronicles , 123 minutes ,Neil Jordan,2010,Tom Cruise
4757,Now and Forever (English Subtitled)    ,"1 hour, 47 minutes",Seong-jung Kim,2006,"Ji-Woo Choi, Seong-guk Choi"
4758,Yojimbo & Sanjuro (The Criterion Collection) [Blu-ray] , 206 minutes ,Akira Kurosawa,2010,Toshirô Mifune
4759,The Sorcerer's Apprentice    ,"1 hour, 50 minutes",Jon Turteltaub,2010,"Nicolas Cage, Jay Baruchel"
4760,Soylent Green , 97 minutes ,Richard Fleischer,2008,Charlton Heston
4761,La Leon (English Subtitled)   ,"1 hour, 20 minutes",Santiago Otheguy,2007,"Jorge Román, Daniel Valenzuela"
4762,Mary Shelley's Frankenstein    ,"2 hours, 4 minutes",Kenneth Branagh,1994,"Robert De Niro, Kenneth Branagh"
4763,"Love, Chunibyo & Other Delusions, Collector's Edition  [Blu-ray] ", 325 minutes ,Emily Neves,2015,Leraldo Anzaldua
4764,Funny Girl , 155 minutes ,William Wyler,2001,Walter Pidgeon
4765,Tootsie - 25th Anniversary Edition , 116 minutes ,Sydney Pollack,2008,Dustin Hoffman
4766,The Wings of Eagles , 110 minutes ,John Ford,2007,John Wayne
4767,Just One of the Guys , 100 minutes ,Lisa Gottlieb,2004,Sherilyn Fenn
4768,Never Back Down    ,"1 hour, 54 minutes",Jeff Wadlow,2008,"Sean Faris, Amber Heard Depp"
4769,Othello (1995)    ,"2 hours, 4 minutes",Oliver Parker,1995,"Laurence Fishburne, Irène Jacob"
4770,2001: A Space Odyssey    ,"2 hours, 29 minutes",Stanley Kubrick,1968,"Keir Dullea, Gary Lockwood"
4771,As Night Comes    ,"1 hour, 45 minutes",Richard Zelniker,2015,"Luke Baines, Myko Olivier"
4772,PU-239    ,"1 hour, 38 minutes",Scott Z. Burns,2007,"Paddy Considine, Oscar Isaac"
4773,The Witches of Eastwick (Keepcase) , 118 minutes ,George Miller,2006,Jack Nicholson
4774,Becoming Jane    ,"2 hours, 1 minute",Julian Jarrold,2007,"Anne Hathaway, James McAvoy"
4775,On the Waterfront (Special Edition) , 108 minutes ,Elia Kazan,2001,Marlon Brando
4776,Mud    ,"2 hours, 11 minutes",Jeff Nichols,2013,"Matthew McConaughey, Reese Witherspoon"
4777,Convoy , 110 minutes ,Sam Peckinpah,2015,Kris Kristofferson
4778,Hamlet (1990) , 134 minutes ,Franco Zeffirelli,2005,Mel Gibson
4779,Of Horses and Men    ,"1 hour, 21 minutes",Benedikt Erlingsson,2015,"Ingvar Eggert Sigurðsson, Charlotte Bøving"
4780,The Third Man    ,"1 hour, 45 minutes",Carol Reed,1950,"Joseph Cotten, Alida Valli"
4781,The Big Sleep (1946)    ,"1 hour, 54 minutes",Howard Hawks,1946,"Humphrey Bogart, Lauren Bacall"
4782,Henry IV - Part I    ,"2 hours, 0 minutes",Richard Eyre,2013,"Alun Armstrong, Joe Armstrong"
4783,Cannery Row , 120 minutes ,David S. Ward,2009,Nick Nolte
4784,The Pianist , 150 minutes ,Roman Polanski,2006,Adrien Brody
4785,No Heart Feelings    ,"1 hour, 20 minutes",Sarah Lazarovic,2010,"Alison Broverman, Mitchell F. Chan"
4786,Cinderella Man    ,"2 hours, 25 minutes",Ron Howard,2005,"Russell Crowe, Renée Zellweger"
4787,Jane Eyre , 121 minutes ,Cary Joji Fukunaga,2011,Mia Wasikowska
4788,Lost in Austen , 180 minutes ,Dan Zeff,2009,Jemima Rooper
4789,Tentacle 8    ,"2 hours, 5 minutes",John Chi,2014,"Brett Rickaby, Amy Motta"
4790,To Hell and Back , 107 minutes ,Jesse Hibbs,2004,Audie Murphy
4791,Jane Austen's Emma    ,"1 hour, 52 minutes",Diarmuid Lawrence,1997,"Kate Beckinsale, Bernard Hepton"
4792,Cool Hand Luke (Deluxe Edition) , 126 minutes ,Stuart Rosenberg,2008,Paul Newman
4793,Philly Kid    ,"1 hour, 34 minutes",Jason Connery,2012,"Wes Chatham, Devon Sawa"
4794,Crush    ,"1 hour, 15 minutes",Michael J. Saul,2010,"Randy Bautista, Kirsten C. Brown"
4795,Slice (English Subtitled)   ,"1 hour, 37 minutes",Kongkiat Khomsiri,2006,"Arak Amornsupasiri, Sonthaya Chitmanee"
4796,3 Days to Kill    ,"1 hour, 58 minutes",McG,2014,"Kevin Costner, Amber Heard"
4797,A Matter of Faith , 128 minutes ,Rich Christiano,2015,Harry Anderson
4798,Patema Inverted [Blu-ray] , 98 minutes ,Yasuhiro Yoshiura,2014,
4799,Cast Away , 143 minutes ,Robert Zemeckis,2002,Viveka Davis
4800,Cry Baby: Director's Cut , 92 minutes ,John Waters,2005,Johnny Depp
4801,Courtship    ,"1 hour, 25 minutes",Howard Cummings,1987,"William Converse-Roberts, Horton Foote Jr."
4802,The Surface    ,"1 hour, 27 minutes",Gil Cates Jr.,2015,"Sean Astin,Chris Mulkey"
4803,Miracle Mile [Blu-ray] , 87 minutes ,Steve De Jarnatt,2015,Anthony Edwards
4804,Shock Attack    ,"1 hour, 28 minutes",Jaclyn Chessen,2014,"Anya Prinz, Andrew Pedroza"
4805,Raising Arizona    ,"1 hour, 35 minutes",Joel Coen,1987,"Nicolas Cage, Holly Hunter"
4806,"Synecdoche, New York [Blu-ray] ", 124 minutes ,Charlie Kaufman,2009,Philip Seymour Hoffman
4807,The Song of Bernadette , 156 minutes ,Henry King,2003,Jennifer Jones
4808,Strictly Ballroom , 94 minutes ,Baz Luhrmann,2011,Paul Mercurio
4809,"My Family, Mi Familia ", 121 minutes ,Gregory Nava,2005,Jimmy Smits
4810,Day of the Wolves    ,"1 hour, 31 minutes",Ferde Grofé Jr.,2008,"Richard Egan, Martha Hyer"
4811,My Friend and His Wife   ,"1 hour, 49 minutes",Dong-il Shin,2008,"So-hee Hong, Mahbub Alam"
4812,Dante's Peak    ,"1 hour, 50 minutes",Roger Donaldson,1997,"Pierce Brosnan, Linda Hamilton"
