ID,Title,Time,Director,Year,Cast
5289,Reaching for the Moon,1 hr. 56 min.,Bruno Barreto,2013,"Miranda Otto, Gloria Pires, Tracy Middendorf, Treat Williams, Marcello Airoldi, Lola Kirke"
5290,Grace Unplugged,1 hr. 41 min.,Brad J. Silverman,2013,"Amanda Michalka, James Denton, Kevin Pollak, Shawnee Smith, Michael Welch, Jamie Grace"
5291,22 Bullets,1 hr. 57 min.,Richard Berry,2013,"Jean Reno, Kad Merad, Jean-Pierre Darrouss..., Marina FoÌøs, Claude Gensac, Fani Kolarova"
5292,The Bad Bunch,1 hr. 22 min.,Greydon Clark,1976,"Greydon Clark, Tom Johnigarn, Nancy Dorian, Bambi Allen, Clark D. Decatur, Fred Spruel"
5293,Ode to Billy Joe,1 hr. 45 min.,Max Baer Jr.,1976,"Robby Benson, Glynnis O'Connor, Joan Hotchkis, Sandy McPeak, James Best, Terence Goodman"
5294,419,1 hr. 24 min.,Ned Thorne,2012,"Mike Ivers, Scott Kerns, Ned Thorne, Ezra Mabengeza"
5295,Don't Pass Me By,1 hr. 31 min.,Eric Priestley,2013,"Rachel Noll, Sean Stone, Katy K. Burton, Keith David, Nancy Karr, Elizabeth Izzo"
5296,New World,1 hr. 33 min.,Lim Kah Wai,2012,"Shi Ke, Ogawa Takeru, Miyawaki Yan, Tomonaga Komei, Jun Eri, Tomonaga Eri"
5297,Fists Of Legend,2 hr. 33 min.,Kang Woo-suk,2013,"Hwang Jung-Min, Jun-Sang Yu, Yo-weon Lee, Yoon Je-moon, Jeong Woong In, Jeong Woong-in"
5298,Afternoon Delight,1 hr. 39 min.,Jill Soloway,2013,"Juno Temple, Kathryn Hahn, Josh Radnor, Jane Lynch, Michaela Watkins, Jessica St. Clair"
5299,Watchtower,1 hr. 40 min.,Pelin Esmer,2012,"Olgun Simsek, Nilay Erdonmez, Menderes Samancilar, Kadir Cermik, LaÌ¤in Ceyland, Riza Akin"
5300,Jailbait,1 hr. 30 min.,Jared Cohn,2013,"Sara Malakul Lane, Erin O'Brien, Steve Hanks, Andray Johnson, Jennifer Robyn Jacob..., Samantha Cardona"
5301,Anazapta,1 hr. 45 min.,Alberto Sciamma,2001,"Lena Headey, David La Haye, Jason Flemyng, Brendan Charleson, Ian McNeice, Tony Aitken"
5302,"""The Tundra Book: A Tale of Vukvukai, The Little Rock.""",1 hr. 45 min.,Aleksei Vakhrushev,2014,"Vladislav Nuvano, Vukvukai"
5303,Lesson Before Love,1 hr. 47 min.,Dui Jarrod,2012,"Kenneth Brown Jr., Peyton Coles, Reece Odum, Rose Short, Shamea Morton, Alexis Jones"
5304,El Ultimo Elvis (The Last Elvis),1 hr. 32 min.,Armando Bo,2013,"John McInerny, Griselda Siciliani, Margarita Lopez, John Siciliani, Lucrecia Carrillo, Nora Childers"
5305,Silence,1 hr. 31 min.,Pat Collins,2013,"Elimu Nelson, Nicholas C. Endres, Michael Reddy, Perry Poston, James K. Viront, Martez Howard"
5306,The Wait,1 hr. 36 min.,M. Blash,2014,"ChloÌÇ Sevigny, Jena Malone, Devon Gearhart, Luke Grimes, Josh Hamilton, Michael O'Keefe"
5307,Amber Alert,1 hr. 20 min.,Kerry Bellessa,2012,"Summer Bellessa, Chris W. Hill, Jasen Wade, Chris Hill"
5308,Margarine Wars,1 hr. 36 min.,David Rich,2012,"Doris Roberts, Robert Loggia, Dee Wallace Stone, Ellen Muth, Michael Spellman, Ron G"
5309,You Will Be My Son,1 hr. 42 min.,Gilles Legrand,2013,"Niels Arestrup, Lorant Deutsch, Patrick Chesnais, Anne Marivin, Urbain Cancelier, Nicolas Bridet"
5310,Gravity,1 hr. 31 min.,Alfonso CuarÌ_n,2013,"Sandra Bullock, George Clooney, Orto Ignatiussen, Phaldut Sharma, Ed Harris, Amy Warren"
5311,Pulling Strings,1 hr. 50 min.,Pitipol Ybarra,2013,"Jaime Camil, Laura Ramsey, Omar Chaparro, Tom Arnold, Stockard Channing, Roberto Sosa"
5312,Bullet,1 hr. 27 min.,Nick Lyon,2014,"Danny Trejo, Eve Mauro, Jonathan Banks, Julia Dietze, Torsten Voges, Derek Anthony"
5313,Twice Born,2 hr. 4 min.,Sergio Castellitto,2013,"Emile Hirsch, Adnan Haskovic, Jane Birkin, Penelope Cruz, Pietro Castellitto, Saadet Isil Aksoy"
5314,Nebraska,1 hr. 55 min.,Alexander Payne,2013,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, Stacy Keach, Devin Ratray"
5315,Mr. Nobody,2 hr. 35 min.,Jaco Van Dormael,2013,"Jared Leto, Diane Kruger, Sarah Polley, Linh-Dan Pham, Rhys Ifans, Natasha Little"
5316,Blast Vegas,1 hr. 30 min.,Jack Perez,2013,"Frankie Muniz, Barry Bostwick, Michael Steger, Maggie Castle, Summer Bishil, Andrew Lawrence"
5317,I'll Get You,,Seymour Friedman,1953,"George Raft, Sally Gray, Frederick Piper, Reginald Tate, Clifford Evans, Patricia Laffan"
5318,Wicked Blood,1 hr. 32 min.,Mark Young,2014,"Abigail Breslin, Sean Bean, James Purefoy, Alexa Vega, Lew Temple, Jake Busey"
5319,1000 to 1: The Cory Weissman Story,1 hr. 37 min.,Michael Levine,2012,"David Henrie, Beau Bridges, Jean Louisa Kelly, Hannah Marks, Cassi Thomson, Luke Kleintank"
5320,5th Street,1 hr. 33 min.,Alex Meader,2013,"Eric Martinez, Christian Monzon, Joe Voltierra, Annie Fetchu, Adam Lopez, Anne Marie Leighton"
5321,"""Snowflake, the White Gorilla""",1 hr. 30 min.,AndrÌ©s G. Schaer,2014,"Pere Ponce, Elsa Pataky, Claudia Abate, Joan SullÌÊ, MercÌ¬ Comes, Constantino Romero"
5322,Cold Comes The Night,1 hr. 31 min.,Tze Chun,2014,"Alice Eve, Bryan Cranston, Logan Marshall-Green, Ursula Parker, Leo Fitzpatrick"
5323,Oldboy,1 hr. 44 min.,Spike Lee,2013,"Josh Brolin, Elizabeth Olsen, Sharlto Copley, James Ransone, Samuel L. Jackson, Michael Imperioli"
5324,Hours,1 hr. 37 min.,Eric Heisserer,2013,"Paul Walker, Nick Gomez, Christopher Matthew ..., Judd Derek Lormand, Judd Lormand, Genesis Rodriguez"
5325,The Grandmaster,2 hr. 10 min.,Kar Wai Wong,2013,"Tony Leung Chiu Wai, Ziyi Zhang, Chen Chang, Zhao Benshan, Xiao Shen-Yang, Hye-kyo Song"
5326,12 Years a Slave,2 hr. 14 min.,Steve McQueen (III),2013,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Giamatti, Brad Pitt, Sarah Paulson"
5327,Pig,1 hr. 30 min.,Henry Barrial,2014,"Rudolf Martin, Heather Ankeny, Keith Diamond, Ines Dali, Lenya Weber, Pamela Salem"
5328,Time Warrior,1 hr. 37 min.,JoaquÌ_n RodrÌ_guez,2012,"Thomas Graninger, Brandon Dold, Kai Denton, Aj Benson, Monej Cruz, Aspen Daley"
5329,Codebreaker,1 hr. 21 min.,Clare Beaven,2012,"Ed Stoppard, Henry Goodman, Steve Wozniak, Samuel West"
5330,Crave,1 hr. 53 min.,Charles de Lauzirika,2013,"Josh Lawson, Ron Perlman, Emma Lung (II), Edward Furlong, Christopher Stapleto..., William Gines"
5331,The Time Being,1 hr. 28 min.,Nenad Cicin-Sain,2013,"Wes Bentley, Frank Langella, Sarah Paulson, Corey Stoll, Ahna O'Reilly, Gina Gallego"
5332,She's With Me,1 hr. 30 min.,Tyler Maddox-Simms,2013,"Melissa Grimmond, Monti Washington, Taisha Monique Clark, Trish Cook, Brandon Middleton, Gabriela Fuhr"
5333,Dark House,1 hr. 42 min.,Victor Salvo,2014,"Luke Kleintank, Anthony Rey Perez, Alex McKenna, Zack Ward, Lacey Anzelc (II), Ethan S. Smith"
5334,Commitment,1 hr. 48 min.,Hong-soo Park,2013,"Choi Seung-hyun, Choi Seung-hyeon, Han Ye-Ri, Yoon Jea-Moon, Kim Yoo Jung, Cho Seong-Ha"
5335,Out of the Furnace,1 hr. 56 min.,Scott Cooper,2013,"Christian Bale, Woody Harrelson, Casey Affleck, Zoe Saldana, Sam Shepard, Forest Whitaker"
5336,The Broken Circle Breakdown,1 hr. 52 min.,Felix Van Groeningen,2013,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse, Geert Van Rampelberg, Nils De Caster, Robbie Cleiren"
5337,Easy Money: Hard to Kill,1 hr. 39 min.,Babak Najafi,2014,"Joel Kinnaman, Mattias Padin Varela, Dragomir Mrsic, Fares Fares, Madeleine Martin, Dejan Cukic"
5338,Homefront,1 hr. 40 min.,Gary Fleder,2013,"Jason Statham, James Franco, Winona Ryder, Kate Bosworth, Frank Grillo, Izabela Vidovic"
5339,The Book Thief,2 hr. 10 min.,Brian Percival,2013,"Geoffrey Rush, Emily Watson, Sophie NÌ©lisse, Ben Schnetzer, Nico Liersch, Roger Allam"
5340,Inside Llewyn Davis,1 hr. 45 min.,Ethan Coen,2013,"Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund, Justin Timberlake, F Murray Abraham"
5341,The Patience Stone,1 hr. 42 min.,Atiq Rahimi,2013,"Golshifteh Farahani, Hamidreza Javdan, Hamidrez Javdan, Hassina Burgan, Massi Browat, Massi Mrowat"
5342,Puncture Wounds (A Certain Justice),1 hr. 37 min.,Giorgio Serafini,2014,"Cung Le, Dolph Lundgren, Vinnie Jones, Gianni Capaldi, Briana Evigan, Robert La Sardo"
5343,Hollow Triumph (The Scar),1 hr. 23 min.,Steve Sekely,1948,"Paul Henreid, Joan Bennett, Leslie Brooks, Eduard Franz, John Qualen, Mabel Paige"
5344,Silent But Deadly,1 hr. 34 min.,Jason Lockhart,2014,"Dawn Wells, John Tartaglia, Lee Meriwether, David Proval, Camille Saviola, Rip Taylor"
5345,Sparks,1 hr. 30 min.,Todd Burrows,2014,"Chase Williamson, Ashley Bell, Clancy Brown, Jake Busey, William Katt, Clint Howard"
5346,FLU,2 hr. 2 min.,Sung-su Kim,2013,"Hyuk Jang, Soo-ae, Park Min-ha, Yu Hae-jin, Soo Ae, Hyo-ju Park"
5347,Monster Pies,1 hr. 35 min.,Lee Galea,2013,"Tristan Barr, Lucas Linehan, Rohanna Hayes, Katrina Maree, Marcel Reluctant, Marlene Magee"
5348,The Wonders,1 hr. 28 min.,Avi Nesher,2014,"Ori Hizkiah, Yehuda Levi, Adir Miller, Yuval Scharf, Efrat Gosh"
5349,Reasonable Doubt,1 hr. 31 min.,Peter P. Croudins,2014,"Dominic Cooper, Samuel L. Jackson, Erin Karpluk, Gloria Reuben, Ryan Robbins, Dylan Taylor"
5350,Blood Feud,1 hr. 52 min.,Lina WertmÌ_ller,1980,"Sophia Loren, Marcello Mastroianni, Giancarlo Giannini, Turi Ferro, Mario Scarpetta, Antonella Murgia"
5351,Redemption: The Darkness Descending,1 hr. 36 min.,Marc Clebanoff,2014,"Danny Trejo, Frank Krueger, John Morrison, Kinga Phillips, Tiffany Adams, Kristoff St. John"
5352,Tentacle 8,2 hr. 4 min.,John Chi,2014,"Brett Rickaby, Amy Motta, Joshua Morrow, John Henry Whitaker, Matt Borlenghi, Rocky McMurray"
5353,Ready 2 Die,1 hr. 30 min.,John Azpilicueta,2014,"Pablo Hernandez, Noel Gugliemi, Jacob Martinez, John Azpilicueta, Melissa Banks"
5354,Alpha House,1 hr. 30 min.,Jacob Cooney,2013,"D.C. Douglas, Chris O'Brien, Jean Louise O'Sulliv..., Mindy Robinson, Sam Aotaki, Heather Paige Cohn"
5355,Sharkproof,1 hr. 24 min.,Simon Chan,2013,"Jon Lovitz, Cameron Van Hoy, Michael Drayer, Kinga Kierzek, Ken Davitian, Dennis Haskins"
5356,Kingdom of Conquerors,1 hr. 32 min.,Ping Wang,2013,"Youliang Zhao, Men Tu, Ye-jin Park, Li Xiao-ran, Le Geng, Shaoqun Yu"
5357,Jamesy Boy,1 hr. 49 min.,Trevor White,2014,"Spencer Lofranco, Ving Rhames, Mary-Louise Parker, Taissa Farmiga, Taboo, James Woods"
5358,Swerve,1 hr. 27 min.,Craig Lahiff,2013,"Jason Clarke, Emma Booth, Travis McMahon, Vince Colosimo, David Lyons, Roy Billing"
5359,Kill Your Darlings,1 hr. 40 min.,John Krokidas,2013,"Daniel Radcliffe, Dane DeHaan, Ben Foster, Jack Huston, Elizabeth Olsen, Michael C. Hall"
5360,Saving Mr. Banks,2 hr.,John Lee Hancock,2013,"Emma Thompson, Tom Hanks, Colin Farrell, Bradley Whitford, Paul Giamatti, Jason Schwartzman"
5361,American Hustle,2 hr. 9 min.,David O. Russell,2013,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence, Louis C.K."
5362,Mandela: Long Walk to Freedom,2 hr. 21 min.,Justin Chadwick,2013,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Jamie Bartlett, Lindiwe Matshikiza"
5363,The Happy Sad,1 hr. 26 min.,Rodney Evans,2013,"Cameron Scoggins, Charlie Barnett, Leroy McClain, Sorel Carradine, Maria Dizzia, Sue Jean Kim"
5364,Contracted,1 hr. 24 min.,Eric England,2013,"Caroline Williams, Simon Barrett, Katie Stegeman, Matthew Mercer, Matt Mercer, Alice Macdonald"
5365,HairBrained,1 hr. 37 min.,Billy Kent,2014,"Brendan Fraser, Alex Wolff, Julian Garner, Parker Posey, Fred Melamed, Julia Garner"
5366,Free Ride,1 hr. 26 min.,Shana Betz,2014,"Anna Paquin, Cam Gigandet, Drea de Matteo, Liana Liberato, Yvette Yates, Jeff Hephner"
5367,The Black Water Vampire,1 hr. 22 min.,Evan Tramel,2014,Caryn Richman
5368,Loves Her Gun,1 hr. 39 min.,Geoff Marslett,2014,"Heather Kafka, Trieste Kelly Dunn, Francisco Barreiro, Ashley Rae Spillers, Melissa Bisagni, John Merriman"
5369,"""Camille Claudel, 1915""",1 hr. 37 min.,Bruno Dumont,2013,"Juliette Binoche, Jean-Luc Vincent, Robert Leroy, Emmanuel Kauffman, Marion Keller, Armelle Leroy-Rollan..."
5370,Cold Blooded,1 hr. 26 min.,Jason Lapeyre,2012,"Ryan Robbins, Zoie Palmer, William MacDonald, Sergio Di Zio, Merwin Mondesir, Thomas Mitchell"
5371,Viola,1 hr. 5 min.,MatÌ_as PiÌ±eiro,2013,"Maria Villar, Agustina MuÌ±oz, Elisa Carricajo, Romina Paula, Gabriela SaidÌ_n, Gabriela Saido"
5372,Low,1 hr. 10 min.,Ross Shepherd,2011,"David Keyes, Amy Comper, Darran Cockrill, Stewart Tighe, Amber Coombs"
5373,Gordon Family Tree,1 hr. 47 min.,Marc Hampson,2013,"Ryan Schwartzman, Corbin Bernsen, Richard Karn, Mary Bogh, Brace Harris, Cassie Self"
5374,When a Woman's Fed Up,1 hr. 19 min.,J. Horton,2013,"Ellia English, Tyrin Turner, Paula Jai Parker, Larry Flash Jenkins, La'Princess Jackson, Davetta Sherwood"
5375,7th Day,1 hr. 14 min.,Jason Koch,2013,"Mark Sanders, Michael Brecher, Josh Davidson, Daisy Gibb"
5376,Angels in Stardust,1 hr. 41 min.,William Robert Carey,2014,"Alicia Silverstone, Billy Burke, Amanda Michalka"
5377,The Wolf of Wall Street,2 hr. 59 min.,Martin Scorsese,2013,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Joanna Lumley"
5378,The Truth About Emanuel,1 hr. 36 min.,Francesca Gregorini,2014,"Kaya Scodelario, Jessica Biel, Alfred Molina, Frances O'Connor, Jimmi Simpson, Aneurin Barnard"
5379,The Great Beauty,2 hr. 22 min.,Paolo Sorrentino,2013,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso, Iaia Forte, Pamela Villoresi"
5380,Le passÌ© (The Past),2 hr. 10 min.,Asghar Farhadi,2013,"BÌ©rÌ©nice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet, Elyes Aguis, Jeanne Jestin"
5381,No Holds Barred,1 hr. 38 min.,Thomas J. Wright,1989,"Hulk Hogan, Terry 'Hulk' Hogan, Kurt Fuller, Joan Severance, Tommy 'Tiny' Lister, Tommy ""Tiny"" Lister ..."
5382,Channel News,1 hr. 25 min.,Jacob Kindberg,2010,"Sarah Kindberg, Jacob Kindberg, Joe Burger, Adam Lynch"
5383,This Wretched Life,1 hr. 19 min.,Frank J. Mosca,2010,"Andre Cira, Daniel Ball, Frank J. Mosca, Michael Callahan Jr., Brian Calek, Sal DeLucia"
5384,Twogether,2 hr. 2 min.,Andrew Chiaramonte,1995,"Nick Cassavetes, Brenda Bakke, Damian London, Jeremy Piven, Jim Beaver, Tom Dugan"
5385,Que pena tu vida,1 hr. 34 min.,NicolÌÁs LÌ_pez,2010,"Ariel Levy, Lucy Cominetti, Andrea Velasco, Paz BascuÌ±an, Ignacia Allamand, Claudia CeledÌ_n"
5386,Forgetting The Girl,1 hr. 25 min.,Nate Taylor,2013,"Christopher Denham, Lindsay Beamish, Elizabeth Rice, Anna Camp, Paul Sparks, Phyllis Somerville"
5387,Portrait Of A Zombie,1 hr. 27 min.,Bing Bailey,2012,"Patrick Murphy, Geraldine McAlinden, Rory Mullen, Diane Jennings, Paul O'Bryan, Sonya O'Donoghue"
5388,About Fifty,1 hr. 22 min.,Thomas Johnston,2011,"Wendie Malick, Drew Pillsbury, Martin Grey, Anne-Marie Johnson, Kathleen Noone, Michaela McManus"
5389,47 Ronin,2 hr. 7 min.,Carl Rinsch,2013,"Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki, Tadanobu Asano, Min Tanaka, Jin Akanishi"
5390,Paradox Alice,2 hr. 35 min.,Erik Dapkoweitzcz,2013,"Ethan Sharrett, Jeneta St. Clair, Amy Lindsay, Stewart W. Calhoun, Andrew Hernon"
5391,The Bag Man,1 hr. 48 min.,David Grovic,2014,"John Cusack, Rebecca Da Costa, Robert De Niro, Crispin Glover, Dominic Purcell, Martin Klebba"
5392,Walking The Halls,1 hr. 30 min.,Doug Campbell,2013,"Jamie Luner, Caitlin Thompson, Al Sapienza, Marie Avgeropoulos, Matthew Alan, Lindsay Taylor"
5393,Cocaine Cowboys Reloaded,2 hr. 32 min.,Billy Corben,2013,"Jorge ""Rivi"" Ayala, Jon Roberts, Mickey Munday, Al Sunshine, Sam Burstyn, Jorge Ayala"
5394,In the Name of the King III,1 hr. 26 min.,Uwe Boll,2013,"Dominic Purcell, Marian Valev, Ralitsa Paskaleva, Bashar Rahal, Petra Gocheva"
5395,A Field in England,1 hr. 30 min.,Ben Wheatley,2014,"Reece Shearsmith, Michael Smiley, Julian Barratt, Peter Ferdinando, Ryan Pope, Richard Glover"
5396,Young at Heart,1 hr. 57 min.,Gordon Douglas,1954,"Doris Day, Frank Sinatra, Gig Young, Ethel Barrymore, Dorothy Malone, Robert Keith"
5397,Down By The River,1 hr. 16 min.,William Leonardo Molina,2012,"Sean Johnson, Adriana Ford, Alethea Bailey, Trenise Gray, Trense Gray, Beny Schwarzt"
5398,August: Osage County,2 hr. 1 min.,John Wells,2013,"Meryl Streep, Julia Roberts, Juliette Lewis, Ewan McGregor, Abigail Breslin, Margo Martindale"
5399,Everyday,1 hr. 46 min.,Michael Winterbottom,2013,"Shirley Henderson, John Simm, Laurence Richardson, Johnny Lynch, Andy Callaghan, Shaun Kirk"
5400,Back in the Day,1 hr. 33 min.,Michael Rosenbaum,2014,"Michael Rosenbaum, Morena Baccarin, Nick Swardson, Harland Williams, Sarah Colonna, Jay R. Ferguson"
5401,Triple Crossed,1 hr. 30 min.,Sean Paul Lockhart,2013,"Jack Brockett, Sean Paul Lockhart, Laura Reilly, Addison Graham, Tellier Killaby"
5402,My Name Is Paul,1 hr. 40 min.,Trey Ore,2013,"Andrew Roth, Cranston Johnson, Joe Coffey, Isaiah Stratton, Patrick G. Keenan, Vanessa Ore"
5403,Sheriff of Contention,1 hr. 44 min.,Tom O'Mary,2013,"Angelo Ortega, Miguel Corona, Wendy Wiltsey, Tom O'Mary, Eric Scot Frydler, Steve Johnson"
5404,Holy Ghost People,1 hr. 33 min.,Mitchell Altieri,2014,"Emma Greenwell, Brendan McCarthy, Joe Egender, Cameron Richardson, Roger Aaron Brown, Don Harvey"
5405,Reipu zonbi: Lust of the dead 3 (Rape Zombie: Lust of the Dead 3),1 hr. 13 min.,Naoyuki Tomomatsu,2012,"Rina Aikawa, Yui Aikawa, Kazuyoshi Akishima"
5406,Lizzie Borden Took an Ax,1 hr. 28 min.,Nick Gomez,2014,"Christina Ricci, Billy Campbell, Clea DuVall, Gregg Henry, Stephen McHattie, Shawn Doyle"
5407,Snake & Mongoo$e,1 hr. 42 min.,Wayne Holloway,2013,"Jesse Williams, Richard Blake, Noah Wyle, Tim Blake Nelson, Fred Dryer, Ashley Hinshaw"
5408,Grudge Match,1 hr. 53 min.,Peter Segal,2013,"Sylvester Stallone, Robert De Niro, Kim Basinger, Alan Arkin, Kevin Hart, Jon Bernthal"
5409,A Touch of Sin,2 hr. 5 min.,Jia ZhangKe,2013,"Tao Zhao, Wang Baoqiang, Lanshan Luo, Jiang Wu, Zhang Jiayi, Li Meng"
5410,Bastards,1 hr. 41 min.,Claire Denis,2013,"Vincent Lindon, Chiara Mastroianni, Julie Bataille, Michel Subor, Lola Creton, Gregoire Colin"
5411,Justin Bieber's Believe,1 hr. 33 min.,Jon M. Chu,2013,"Justin Bieber, Scooter Braun, Ellen De Generes, Pattie Mallette, Usher, will.i.am"
5412,One Hit From Home,1 hr. 40 min.,David Aaron Stone,2014,"Dave Stone, Johnny Meier, ChrisAnn Brunsmann, P.J. Quarequio, John H. Armstrong, Tacoma Zach"
5413,Tyler Perry's Madea's Neighbors From Hell: The Play,2 hr. 17 min.,Tyler Perry,2014,"Tyler Perry, Cassi Davis, Wess Morgan, Wess Morgan, Rhonda Davis, Alexis Hollins"
5414,Murder on the Home Front,1 hr. 30 min.,Geoffrey Sax,2013,"Patrick Kennedy, Tamzin Merchant"
5415,Confine,1 hr. 21 min.,Tobias Tobbell,2012,"Alfie Allen, Daisy Lowe, Eliza Bennett, Corinne Kempa, Adam Leese"
5416,Homeland,1 hr. 26 min.,Christopher C. Young,2014,"Elize DuToit, Elize du Toit, Fran Kranz, John G. Connolly, Sue Cremin, Tate Hanyok"
5417,Legend of the Red Reaper,1 hr. 40 min.,Tara Cardinal,2013,"Tara Cardinal, David Mackey, Christian Boeving, Ray Eddy, Eliza Swenson, Tom Nowicki"
5418,Living Things,1 hr. 15 min.,Eric Shapiro,2014,"Rhoda Jordan, Ben Siegler"
5419,The Gabby Douglas Story,1 hr. 28 min.,Gregg Champion,2014,"Imani Hakim, Regina King, S. Epatha Merkerson, Sydney Mikayla, Brian Tee, David Haydn-Jones"
5420,Boys of Abu Ghraib,1 hr. 42 min.,Luke Moran,2014,"Luke Moran, Elijah Kelley, John Robinson (I), Sara Paxton, Scott Patterson, Michael Welch"
5421,Better Living Through Chemistry,1 hr. 32 min.,David Posamentier,2014,"Sam Rockwell, Olivia Wilde, Michelle Monaghan, Ray Liotta, Norbert Leo Butz, Jane Fonda"
5422,Flowers in the Attic,1 hr. 30 min.,Deborah Chow,2014,"Heather Graham, Ellen Burstyn, Kiernan Shipka, Mason Dye, Dylan Bruce"
5423,Our Paradise (Notre Paradis),1 hr. 40 min.,GaÌÇl Morel,2011,"Stephane Rideau, Dimitri Durdaine, Beatrice Dalle, Didier Flamand, Ludovic Berthillot, Raymonde Bronstein"
5424,The Secret Life Of Walter Mitty,1 hr. 54 min.,Ben Stiller,2013,"Ben Stiller, Kristen Wiig, Patton Oswalt, Shirley MacLaine, Adam Scott, Kathryn Hahn"
5425,Playdate,1 hr. 25 min.,Tara Subkoff,2014,"Marguerite Moreau, Abby Brammell, Richard R. Ruccolo, Radha Mitchell, Natasha Lyonne, Noah Harpster"
5426,Great Expectations,2 hr. 8 min.,Mike Newell,2013,"Jeremy Irvine, Holliday Grainger, Ralph Fiennes, Jason Flemyng, Robbie Coltrane, Helena Bonham Carter"
5427,Nae-ga sal-in-beom-i-da (Confession of Murder),1 hr. 59 min.,Jeong Byeong-gil,2013,"Jung Jae-Young, Park Si-hoo, Kim Young-ae"
5428,Trap For Cinderella,1 hr. 40 min.,Iain Softley,2013,"Tuppence Middleton, Alexandra Roach, Kerry Fox, Aneurin Barnard, Frances De La Tour, Stanley Weber"
5429,Copperhead,1 hr. 57 min.,Ronald F. Maxwell,2013,"Billy Campbell, Angus Macfadyen, Augustus Prew, Lucy Boynton, Casey Thomas Brown, Peter Fonda"
5430,Black Nativity,1 hr. 32 min.,Kasi Lemmons,2013,"Forest Whitaker, Angela Bassett, Jacob Latimore, Tyrese Gibson, Mary J. Blige, Nas"
5431,MÌ¦bius,1 hr. 48 min.,Eric Rochant,2013,"Jean Dujardin, CÌ©cile De France, Tim Roth, Ìämilie Dequenne, Oleksii Gorbunov, Vladimir Menshov"
5432,Wrong Cops,1 hr. 22 min.,Quentin Dupieux,2013,"Mark Burnham, Eric Judor, Marilyn Manson, Daniel Quinn, Grace Zabriskie, Jon Lajoie"
5433,Philomena,1 hr. 38 min.,Stephen Frears,2013,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Anna Maxwell-Martin, Ruth McCabe, Barbara Jefford"
5434,The Invisible Woman,1 hr. 51 min.,Ralph Fiennes,2013,"Ralph Fiennes, Felicity Jones, Kristin Scott Thomas, Tom Hollander, Michael Marcus, Kristin Scott-Thomas..."
5435,A Farewell to Fools,1 hr. 30 min.,Bogdan Iancu,2014,"GÌ©rard Depardieu, Harvey Keitel, Laura Morante, Bogdan Iancu, Adina Cartianu, Daniela Nane"
5436,JFK: A President Betrayed,1 hr. 31 min.,Cory Taylor,2013,"Morgan Freeman, Sergei Khrushchev, Viktor Sukhodrev, James Galbraith, Robert E. Schlesinge..., William Vanden Heuve..."
5437,Fairfield Road,1 hr. 24 min.,David Weaver,2010,"Jesse Metcalfe, Natalie Lisinska, Derek McGrath, Natalie Brown, Brandon Firla, Chick Reid"
5438,Barefoot,1 hr. 30 min.,Andrew Fleming,2014,"Evan Rachel Wood, Scott Speedman, Treat Williams, Kate Burton, J.K. Simmons, J. Omar Castro"
5439,Maybe Tomorrow,1 hr. 33 min.,Michael Wolfe,2012,"Dominik Tiefenthaler, Carolina Ravassa, Paul Lange, Christopher Shyer, Michael Wolfe, Caitlin Norton"
5440,Mischief Night,1 hr. 27 min.,Penny Woolcock,2014,"Luke Baines, Myko Olivier, Evanne Friedmann, Noell Coet, Daniel Hugh Kelly, Ally Walker"
5441,The Good Witch's Garden,1 hr. 26 min.,Craig C. Price,2009,"Catherine Bell, Chris Potter, Rob Stewart, Matthew Knight, Hannah Endicott-Doug..., Peter MacNeill"
5442,The Lies We Tell But the Secrets We Keep,1 hr. 37 min.,Milon V. Parker,2011,"Milonia V. Parker, Dean Andrea, Ashley Duggan Smith, Aaron Badie, Danielle Jones, Latroyce Usher"
5443,Fetih 1453 (Conquest 1453),2 hr. 40 min.,Faruk Aksoy,2012,"Devrim Evin, Ibrahim Celikkol, Dilek Serbest, Cengiz Coskun, Erden Alkan, Recep Aktug"
5444,Gila!,1 hr. 36 min.,Jim Wynorski,2013,"Brian Gross, Christina DeRosa, Jesse Janzen, Kelli Maroney, Don Sullivan, Terence Knox"
5445,Junction,1 hr. 31 min.,Tony Glazer,2013,"Neal Bledsoe, Harris Doran, Tom Pelphrey, Sharon Maguire, Danielle Kotch, Summer Crockett Moor..."
5446,Tin Can Man,1 hr. 19 min.,Ivan Kavanagh,2014,"Patrick O'Donnell, Michael Parle, Christopher Kavanagh, Kreeta Taponen, Bibbi Larsson, Emma Eliza Regan"
5447,Cloud 9,1 hr. 27 min.,Paul Hoen,2014,"Dove Cameron, Luke Benward, Kiersey Clemons, Mike C. Manning, Patrick Fabian, Amy Farrington"
