Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Jaws    ,"2 hours, 5 minutes",Steven Spielberg,1975,"Roy Scheider, Robert Shaw",Know How,1 hr. 46 min.,Juan Carlos Pineiro Escoriaza,2015,"Deshawn Brown, Niquana Clark, Michael Kareem Dew, Gabrielle Garcia, Gilbert Howard, Claribelle Pagan",0
"4 Film Favorites: Ice Cube (All About the Benjamins, Friday, Next Friday, Friday After Next) ", 375 minutes ,Various,2008,Various,Escape to Athena,2 hr. 5 min.,George P. Cosmatos,1979,"Roger Moore, Telly Savalas, David Niven, Claudia Cardinale, Richard Roundtree, Stefanie Powers",0
Phantasm II    ,"1 hour, 38 minutes",Don Coscarelli,1988,"James Le Gros, Reggie Bannister",Step Up Revolution,1 hr. 38 min.,Scott Speer,2012,"Kathryn McCormick, Ryan Guzman, Misha Gabriel, Cleopatra Coleman, Tommy Dewey, Peter Gallagher",0
Treading Water    ,"1 hour, 27 minutes",Lauren Himmel,2015,"Angie Redman, Nina Landey",Cop Dog (Marlowe),1 hr. 30 min.,John Murlowski,2008,"Billy Unger, Cassi Thomson, Alexander Chaplin, Scott Haze, Corin Nemec, Kuma the Dog",0
I Love Your Moves    ,"1 hour, 45 minutes",Henri Charr,2012,"Andoni Zorbas, Erika Cortes","Batman: The Dark Knight Returns, Part 1",2 hr. 14 min.,Jay Oliva,2012,"Peter Weller, Ariel Winter, David Selby, Wade Williams, Michael McKean, Michael Emerson",0
The Truman Show , 102 minutes ,Various,2005,Various,BKO: Bangkok Knockout,1 hr. 46 min.,Panna Rittikrai,2010,"Supaksorn Chaimongko..., Sorapong Chatri, Gitabak Agohjit, Speedy Arnold, Kerttisak Udomnak, Supakson Chaimongkol",0
X-Men: First Class , 131 minutes ,Matthew Vaughn,2011,James McAvoy,Bruce Lee: Martial Arts Master,52 min.,Guy Scutter,1993,"Jackie Chan, James Coburn, Brandon Lee, Sylvan, Taky Kimura, Peter Marinker",0
Das Boot - The Director's Cut , 208 minutes ,Wolfgang Petersen,1997,Herbert Gronemeyer,Army of Frankensteins,1 hr. 48 min.,Ryan Bellgardt,2013,"Jordan Farris, Christian Bellgardt, John Ferguson",0
American Sniper (Special Edition) ,,Clint Eastwood,2015,Bradley Cooper,Against the Dark,1 hr. 34 min.,Richard Crudo,2009,"Steven Seagal, Skye Bennett, Jeff Chase, Tanoai Reed, Jenna Harrison, Linden Ashby",0
The Bunker    ,"1 hour, 31 minutes",Joe Black,2014,"Ken Shamrock, Mike Brown",Ballplayer: Pelotero,1 hr. 12 min.,Ross Finkel,2012,"John Leguizamo, Miguel Angel Sano, Juan Carlos Batista, Astin Jacobo, Vasilio Moreno Tejed...",0
Kuffs , 102 minutes ,Bruce A. Evans,2010,Christian Slater,The Night of the Grizzly,1 hr. 39 min.,Joseph Pevney,1966,"Clint Walker, Martha Hyer, Nancy Kulp, Keenan Wynn, Kevin Brodie, Ellen Corby",0
King Kong [Blu-ray] , 200 minutes ,Peter Jackson,2009,Naomi Watts,The Last Challenge,1 hr. 36 min.,Richard Thorpe,1967,"Chad Everett, Glenn Ford, Angie Dickinson, Gary Merrill, Jack Elam, Delphi Lawrence",0
Groundhog Day (Special 15th Anniversary Edition) , 101 minutes ,Harold Ramis,2008,Bill Murray,Greetings From Tim Buckley,1 hr. 39 min.,Dan Algrant,2013,"Penn Badgley, Imogen Poots, Norbert Leo Butz, Ben Rosenfield, Frank Wood, Jennifer Lea Turner",0
Those Magnificent Men In Their Flying Machines    ,"2 hours, 19 minutes",Ken Annakin,1965,"Stuart Whitman, Sarah Miles",Joe + Belle,1 hr. 20 min.,Veronica Kedar,2011,"Sivan Levy, Veronica Kedar, Romi Aboulafia, Irit Gidron, Yotam Ishay",0
Then Came Bronson (1969 Tvm) , 98 minutes ,Jud Taylor,2010,Michael Parks,The Reunion,1 hr. 36 min.,Michael Pavone,2011,"John Cena, Ethan Embry, Michael Rispoli, Robert Boyd Holbrook, Amy Smart, Jack Conley",0
Sadie    ,"1 hour, 12 minutes",Chris Cassidy,2008,"Chris Cassidy, Jerome Deeds",The Vow,1 hr. 44 min.,Michael Sucsy,2012,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill, Wendy Crewson, Tatiana Maslany",0
Fifty Shades of Grey (Unrated)    ,"2 hours, 9 minutes",Sam Taylor-Johnson,2015,"Dakota Johnson, Jamie Dornan",Grassroots,1 hr. 40 min.,Stephen Gyllenhaal,2012,"Joel David Moore, Cedric the Entertain..., Jason Biggs, Lauren Ambrose, Cobie Smulders, Christopher McDonald",0
The Straight Story , 112 minutes ,David Lynch,2000,Sissy Spacek,Silver Tongues,1 hr. 27 min.,Simon Arthur,2011,"Emily Meade, Enid Graham, Harvey Evans, Lee Tergesen, Tate Ellington, Adam LeFevre",0
12 Years a Slave    ,"2 hours, 15 minutes",Steve McQueen,2013,"Chiwetel Ejiofor, Dwight Henry","El kÌÁrate, el Colt y el impostor (Blood Money)",1 hr. 47 min.,Antonio Margheriti,1974,"Lee Van Cleef, Lieh Lo, Patty Shepard, Karen Yeh, Julian Ugarte, Erika Blanc",0
The Bourne Identity    ,"1 hour, 59 minutes",Doug Liman,2002,"Matt Damon, Franka Potente",Jury of Our Peers,1 hr. 30 min.,Ruhkiya S. Williams,2012,"Dorian Missick, Drew Sidora, Bryce Wilson, Angell Conwell",0
Casino Royale [Blu-ray] , 144 minutes ,Martin Campbell,2007,Daniel Craig,Gangster's Paradise: Jerusalema,1 hr. 59 min.,Ralph Ziman,2010,"Rapulana Seiphemo, Jeffrey Sekele, Ronnie Nyakale, Malusi Skenjana, Shelly Meskin, Robert Hobbs",0
Thelma & Louise    ,"2 hours, 10 minutes",Ridley Scott,1991,"Susan Sarandon, Geena Davis",The Expendables 3,2 hr. 6 min.,Patrick Hughes,2014,"Sylvester Stallone, Jason Statham, Antonio Banderas, Jet Li, Wesley Snipes, Dolph Lundgren",0
Bus Stop    ,"1 hour, 35 minutes",Joshua Logan,1956,"Marilyn Monroe, Don Murray",Electric Slide,1 hr. 35 min.,Tristan Patterson,2015,"Jim Sturgess, ChloÌÇ Sevigny, Isabel Lucas, Patricia Arquette, Vinessa Shaw, Christopher Lambert",0
Mongol: The Rise of Genghis Khan , 126 minutes ,Sergei Bodrov,2008,Tadanobu Asano,A Box For Rob,1 hr. 40 min.,Renzo Vasquez,2013,"Mark Scarboro, Brett Grntile, Iron Singleton, Johanna Jowett, Robert C. Treveiler",0
X-Men: The Last Stand    ,"1 hour, 45 minutes",Brett Ratner,2006,"Hugh Jackman, Halle Berry",Mandie and the Secret Tunnel,1 hr. 43 min.,Joy Chapman,2009,"Dean Jones, William Yelton, Amanda Waters, Gezell Fleming, William Smith Yelton, Dave Blamy",0
Little Miss Sunshine    ,"1 hour, 43 minutes",Jonathan Dayton,2006,"Abigail Breslin, Greg Kinnear",Casting Me...,1 hr. 37 min.,Quinton Lavery,2011,"Paul Snodgrass, Roxanne Prentice, Jonathan Hearns, Raph Kossew, Colin Moss, Daniella Armstrong",0
2081 | based on Kurt Vonnegut's    ,27 minutes,Chandler Tuttle,2010,"James Cosmo, Julie Hagerty",The Return of Chandu,2 hr. 36 min.,Ray Taylor,1934,"Bela Lugosi, Maria Alba, Clara Kimball Young, Dean Benton, Phyllis Ludwig, Josef Swickard",0
Soylent Green    ,"1 hour, 37 minutes",Richard Fleischer,1973,"Charlton Heston, Leigh Taylor-Young",Enemy of the Law,59 min.,Harry Fraser,1945,"Tex Ritter, Guy Wilkerson, Kay Hughes, Jack Ingram, Charles King, Frank Ellis",0
Elizabeth    ,"2 hours, 4 minutes",Shekhar Kapur,1998,"Cate Blanchett, Geoffrey Rush",Camel Spiders,1 hr. 17 min.,Jim Wynorski,2011,"Brian Krause, C. Thomas Howell, Melissa Brasselle, Diana Terranova, GiGi Erneta, Jon Mack",0
The Blue and the Gray: The Complete Miniseries , 296 minutes ,Andrew V. McLaglen,2001,Lloyd Bridges,Huckleberry Finn,1 hr. 57 min.,J. Lee Thompson,1974,"Jeff East, Paul Winfield, Harvey Korman, David Wayne, Arthur O'Connell, Gary Merrill",0
Midnight in the Garden of Good and Evil    ,"2 hours, 36 minutes",Clint Eastwood,1997,"John Cusack, Kevin Spacey",Touch,1 hr. 39 min.,Minh Duc Nguyen,2012,"Kim Ji-Young, Yoo Jun-Sang, John Ruby, Melinda Bennett, Duc Chinh, Long Nguyen",0
Finding Forrester , 126 minutes ,Gus Van Sant,2014,Sean Connery,The Aviation Cocktail,,David R. Higgins,2012,"Beau Kiger, Brandon Eaton, Michael Haskins, Leah Lockhart, Connor Boyle",0
A Raisin in the Sun , 128 minutes ,Daniel Petrie,2000,Ivan Dixon,Sinners in Paradise,1 hr. 4 min.,James Whale,1938,"John Boles, Madge Evans, Bruce Cabot, Marion Martin, Gene Lockhart, Charlotte Wynters",0
Kangaroo Jack , 89 minutes ,David McNally,2009,Jerry O'Connell,Lucky Christmas,1 hr. 27 min.,Gary Yates,2011,"Elizabeth Berkley, Jason Gray-Stanford, Mitchell Kummen, Mike Bell, Julia Arkos",0
McLintock!    ,"2 hours, 5 minutes",Andrew V. McLaglen,1963,"John Wayne, Maureen O'Hara",GyakushÌÈ! Sukeban hantÌ¢zu: Jigoku no kettÌ« (Yakuza-Busting Girls: Duel in Hell),1 hr. 13 min.,Shinichi Okuda,2010,"Asami, Hitomi Miwa, Kenji Motomiya, Naoki Kawano, Porche Okite, Yumi Yoshiyuki",0
Volunteers , 108 minutes ,Nicholas Meyer,2005,Tom Hanks,Superman/Batman: Apocalypse,1 hr. 18 min.,Lauren Montgomery,2010,"Kevin Conroy, Timothy Daly, Summer Glau, Andre Braugher, Edward Asner, Michael Ironside",0
The Duchess    ,"1 hour, 50 minutes",Saul Dibb,2008,"Keira Knightley, Ralph Fiennes",The Adventures of Tintin,1 hr. 47 min.,Steven Spielberg,2011,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Toby Jones",0
The Lion in Winter , 134 minutes ,Anthony Harvey,2001,Peter O'Toole,Broken Arrow,1 hr. 33 min.,Delmer Daves,1950,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer, Joyce Mackenzie",0
The Guardian , 139 minutes ,Andrew Davis,2007,Kevin Costner,Lesser of Three Evils (Fist of the Warrior) (Blood Money),1 hr. 28 min.,Wayne Kennedy,2006,"Ho Sung Pak, Roger Guenveur Smith, A Martinez, Peter Greene, Robin Paul, Sherilyn Fenn",0
Where Hope Grows [DVD + Digital] , 98 minutes ,Chris Dowling,2015,Danica McKellar,Savages,2 hr. 9 min.,Oliver Stone,2012,"Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, Salma Hayek, Benicio Del Toro, John Travolta",0
One Night (English Subtitled)   ,23 minutes,Josephine Adams,2012,"Line Billa Ljøstad, Julie Marie Lindvik",Graduation,1 hr. 29 min.,Michael Mayer (V),2007,"Shannon Lucio, Christopher George M..., Riley Smith, Chris Lowell, Adam Arkin, Aimee Garcia",0
Destination Moon , 92 minutes ,Irving Pichel,2000,John Archer,The Devil's Tomb,1 hr. 30 min.,Jason Connery,2008,"Cuba Gooding Jr., Ray Winstone, Ron Perlman, Taryn Manning, Henry Rollins, Valerie Cruz",0
Magnum Force    ,"2 hours, 3 minutes",Ted Post,1973,"Clint Eastwood, Hal Holbrook",Absolute Deception,1 hr. 32 min.,Brian Trenchard-Smith,2013,"Cuba Gooding Jr., Emmanuelle Vaugier, Evert McQueen, Ty Hungerford, Jeff Gannon, Chris Betts",0
Year One (Theatrical & Unrated Edition) , 196 minutes ,Harold Ramis,2009,Olivia Wilde,Wallaby Jim of the Islands,1 hr. 1 min.,Charles Lamont,1937,"George Houston, Ruth Coleman, Douglas Walton, Syd Saylor, William Von Brincken, Mamo Clark",0
Philadelphia    ,"2 hours, 6 minutes",Jonathan Demme,1993,"Tom Hanks, Denzel Washington",A Scanner Darkly,1 hr. 40 min.,Richard Linklater,2006,"Keanu Reeves, Robert Downey Jr., Woody Harrelson, Winona Ryder, Rory Cochrane, Steven Chester Princ...",0
Mad Max: Fury Road    ,"2 hours, 1 minute",George Miller,2015,"Tom Hardy, Charlize Theron",Topkapi,2 hr. 2 min.,Jules Dassin,1964,"Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley, Akim Tamiroff, Gilles SÌ©gal",0
The Blue and the Gray: The Complete Miniseries , 296 minutes ,Andrew V. McLaglen,2001,Lloyd Bridges,Jake Squared,1 hr. 40 min.,Howard Goldberg,2014,"Elias Koteas, Jennifer Jason Leigh, Virginia Madsen, Jane Seymour, Mike Vogel, Kevin Railsback",0
Warm Springs    ,"2 hours, 1 minute",Joseph Sargent,2005,"Kenneth Branagh, Cynthia Nixon",Comeback Dad,2 hr.,Russ Parr,2014,"Charles S. Dutton, Loretta Devine, Tatyana Ali, Brad James",0
The Hunger Games: Catching Fire    ,"2 hours, 27 minutes",Francis Lawrence,2013,"Jennifer Lawrence, Liam Hemsworth",Bangkok Revenge,2 hr. 27 min.,Jean-Marc Mineo,2012,"Jon Foo, Caroline Ducey, MichaÌÇl Cohen, Aphiradi Phawaphunat..., Winai Kribut, Kowitch Wathana",0
Gladiator [Blu-ray] , 171 minutes ,Various,2009,Various,"""Fanny, Annie & Danny""",1 hr. 22 min.,Chris Brown (XXXI),2011,"Jill Pixley, Carlye Pollack, Jonathan Leveck, Colette Keen, George Killingsworth, Nick Frangione",0
The Dark Knight    ,"2 hours, 33 minutes",Christopher Nolan,2008,"Christian Bale, Heath Ledger",Battle for Brooklyn,1 hr. 33 min.,Michael Galinsky,2011,"Daniel Goldstein, Shabnam Merchant, Patti Hagan, Letitia James, Norman Siegel, Marty Markowitz",0
Perfect Sisters    ,"1 hour, 41 minutes",Stanley M. Brooks,2014,"Abigail Breslin, Georgie Henley",El Desierto (The Desert),1 hr. 38 min.,Christoph Behl,2013,"Lautaro Delgado, Victoria Almeida, William Prociuk, Lucas LagrÌ©",0
The Green Hornet    ,"1 hour, 59 minutes",Michel Gondry,2011,"Seth Rogen, Jay Chou",30 Minutes or Less,1 hr. 23 min.,Ruben Fleischer,2011,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Bianca Kajlich",0
Morituri , 123 minutes ,Bernhard Wicki,2004,Marlon Brando,Man on Fire,1 hr. 32 min.,Elie Chouraqui,1987,"Scott Glenn, Jade Malle, Joe Pesci, Brooke Adams, Jonathan Pryce, Paul Shenar",0
Million Dollar Arm , 124 minutes ,Craig Gillespie,2014,Jon Hamm,Sacrifice,1 hr. 39 min.,Damian Lee,2011,"Cuba Gooding Jr., Christian Slater, Devon Bostick, Kim Coates, Lara Daans, Jennilee Murray",0
Rush (Blu-ray + DVD + Digital HD UltraViolet) , 246 minutes ,Ron Howard,2014,Daniel Brühl,The Incredible Journey,1 hr. 20 min.,Fletcher Markle,1963,"Ìämile Genest, John Drainie, Tommy Tweed, Sandra Scott, Marion Finlayson, Ronald Cohoon",0
Stargate Atlantis: Season 2 , 872 minutes ,Andy Mikita,2007,Joe Flanigan,Ice Station Zebra,2 hr. 28 min.,John Sturges,1968,"Rock Hudson, Ernest Borgnine, Patrick McGoohan, Jim Brown, Tony Bill, Alf Kjellin",0
St. Elmo's Fire    ,"1 hour, 48 minutes",Joel Schumacher,1985,"Emilio Estevez, Rob Lowe",The Three Investigators and the Secret of Skeleton Island (Die Drei ???),1 hr. 33 min.,Florian Baxmeyer,2008,"Chancellor Miller, Nick Price, Cameron Monaghan, NaÌøma Sebe, Nigel Whitmey, Akin Omotoso",0
Shoot First And Pray You Live    ,"1 hour, 51 minutes",Lance Doty,2008,"John Doman, Jim Gaffigan",Battle For Terra,1 hr. 19 min.,Aristomenis Tsirbas,2009,"Evan Rachel Wood, Justin Long, Luke Wilson, Brian Cox, Dennis Quaid, David Cross",0
Montana    ,"1 hour, 49 minutes",Mo Ali,2015,"Michelle Fairley,Lars Mikkelsen",Decoding Annie Parker,1 hr. 40 min.,Steven Bernstein,2014,"Samantha Morton, Helen Hunt, Aaron Paul, Alice Eve, Maggie Grace, Rashida Jones",0
Hedwig and the Angry Inch (New Line Platinum Series) , 91 minutes ,John Cameron Mitchell,2003,John Cameron Mitchell,As Night Comes,1 hr. 55 min.,Richard Zelniker,2014,"Evanne Friedmann, Myko Olivier, Kent Harper, Luke Baines, Stacia Hitt, Myko Oliver",0
Strictly Ballroom , 94 minutes ,Baz Luhrmann,2011,Paul Mercurio,Abduction,1 hr. 45 min.,John Singleton,2011,"Taylor Lautner, Lily Collins, Alfred Molina, Antonique Smith, Jason Isaacs, Maria Bello",0
The Fall    ,"1 hour, 58 minutes",John Krueger,2008,"Jimmie Akins, Greg Beam",Bob le Flambeur (Bob the Gambler),1 hr. 40 min.,Jean-Pierre Melville,1955,"Isabelle Corey, Daniel Cauchy, Roger Duchesne, Andre Garet, Gerard Buhr, Howard Vernon",0
Ball of Fire (DVD) , 111 minutes ,Various,2014,Various,Someone to Love (And Then There Was You),1 hr. 39 min.,Leila Djansi,2013,"Garcelle Beauvais, Brian J. White, Leon, Lynn Whitfield, Greg Vaughan, Jim Iyke",0
90 Minutes in Heaven (DVD) , 122 minutes ,Michael Polish,2015,,Puen yai jon salad (Legend of the Tsunami Warrior) (Queens of Langkasuka),2 hr. 13 min.,Nonzee Nimibutr,2008,"Jarunee Suksawas, Ananda Everingham, Jacqueline Apitanano..., Sorapong Chatri, Jakkrit Phanichphati..., Winai Kraibutr",0
Menace II Society / Juice (DBFE) ,,Various,2013,Various,Mary Marie,1 hr. 20 min.,Alexandra Roxo,2012,"Alana Kearns-Green, Alexandra Roxo, Tim van der Linden, Timothy Linden",0
Spartacus   ,57 minutes,Michael Hurst,2012,"Manu Bennett, Daniel Feuerriegel",Garbage,1 hr. 22 min.,Phil Volken,2013,"Jon Huck, Jed Rees, Michael Madsen, Daryl Hannah, William Baldwin, Alanna Ubach",0
Moon [Blu-ray] , 97 minutes ,Duncan Jones,2010,Sam Rockwell,Eragon,1 hr. 43 min.,Stefan Fangmeier,2006,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Djimon Hounsou",0
Taken (Single-Disc Extended Edition) , 93 minutes ,Pierre Morel,2009,Liam Neeson,White Vengeance,2 hr. 17 min.,Daniel Lee,2011,"Feng Shao Feng, Leon Lai, Shao-feng Feng, Liu Yifei, Zhang Hanyu, Anthony Wong",0
Spring Breakers (DVD + UltraViolet Digital Copy) , 94 minutes ,Harmony Korine,2013,James Franco,A Lonely Place to Die,1 hr. 40 min.,Julian Gilbey,2011,"Melissa George, Ed Speleers, Eamonn Walker, Alec Newman, Kate Magowan, Sean Harris",0
We're the Millers (DVD) , 110 minutes ,Rawson Marshall Thurber,2013,Jennifer Aniston,Les gÌ©ants (The Giants),1 hr. 24 min.,Bouli Lanners,2011,"Zacharie Chasseriaud, Martin Nissen, Paul Bartel, Didier Toupy, Karim Leklou, Marthe Keller",0
Where Eagles Dare , 155 minutes ,Brian G. Hutton,2010,Richard Burton,Mr. What,1 hr. 31 min.,Shaun Maki,2015,"Mark Maki, Shaylan Hall, Diane Ziemba, John Birchfield, Shaylan J. Hall, Sharon Maki",0
ROAD TO NINJA -NARUTO THE MOVIE-    ,"1 hour, 51 minutes",Hayato Date,2012,"Junko Takeuchi, Chie Nakamura",Murder Most Foul,1 hr. 30 min.,George Pollock,1964,"Margaret Rutherford, Ron Moody, Charles 'Bud' Tingwe..., Andrew Cruickshank, Megs Jenkins, Dennis Price",0
White House Down (+UltraViolet Digital Copy) , 132 minutes ,Roland Emmerich,2013,Channing Tatum,Warrior Angels,1 hr. 30 min.,Byron W. Thompson,2006,"Arnold Vosloo, Rutger Hauer, Joanna Pacula, John Vernon, Charlotte Avery, Molly Culver",0
Blue Is the Warmest Color (Criterion Collection) (Blu-ray) , 179 minutes ,Abdellatif Kechiche,2014,Léa Seydoux,Her,2 hr. 6 min.,Spike Jonze,2013,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Chris Pratt, Olivia Wilde",0
Hero , 99 minutes ,Yimou Zhang,2011,Jet Li,Don Peyote,1 hr. 38 min.,Dan Fogler,2014,"Dan Fogler, Josh Duhamel, Jay Baruchel, Wallace Shawn, Timothy ""Speed"" Levi..., Timothy 'Speed' Levi...",0
To Catch A Thief (1955) , 107 minutes ,Various,2007,Various,Avioneta Colombiana,1 hr. 34 min.,Jorge Aruajo,2005,"MÌÁrio Almada, Roberto ""Flaco"" Guzm..., Guillermo "" El Puma ..., Gabriela DelValle, Javier Montano, Luz Maria Guizar",0
Wreckers    ,"1 hour, 25 minutes",Dictynna Hood,2013,"Claire Foy, Benedict Cumberbatch",Australia,2 hr. 45 min.,Baz Luhrmann,2008,"Hugh Jackman, Nicole Kidman, Jack Thompson, David Wenham, Bryan Brown, Ben Mendelsohn",0
The Straight Story , 112 minutes ,David Lynch,2000,Sissy Spacek,Dante's Inferno,1 hr. 30 min.,Sang-Jin Kim,2010,"Graham McTavish, Mark Hamill, Mark Hamil, Vanessa Branch, Steven Blum, Peter Jessop",0
Above the Law/Hard to Kill (DBFE) , 196 minutes ,Various,2007,Various,Act Your Age,1 hr. 31 min.,Robin Christian,2011,"Adrienne Frantz, Amber Benson, Michael Muhney, Noriyuki 'Pat' Morit..., Adrienne Frantz, Eddie Jones (I)",0
Robin Hood: Prince of Thieves (Extended Version) [Blu-ray] , 155 minutes ,Kevin Reynolds,2009,Kevin Costner,Astro Boy (AstroBoy),1 hr. 34 min.,David Bowers,2009,"Freddie Highmore, Nicolas Cage, Kristen Bell, Nathan Lane, Eugene Levy, Matt Lucas",0
Rocky II    ,"2 hours, 0 minutes",Sylvester Stallone,1979,"Sylvester Stallone, Talia Shire",Pagwidwin Sanai (Man of Vendetta),1 hr. 53 min.,Min-ho Woo,2010,"Kim Myung-min, So-hyun Kim, Byung-joon Lee, Joo-mi Park, Ki-joon Uhm, Karm Woo-sung",0
Muriel's Wedding    ,"1 hour, 46 minutes",P.J. Hogan,2003,"Sophie Lee, Roz Hammond","Run Silent, Run Deep",1 hr. 33 min.,Robert Wise,1958,"Clark Gable, Burt Lancaster, Jack Warden, Brad Dexter, Don Rickles, Nick Cravat",0
I Am Sam    ,"2 hours, 13 minutes",Jessie Nelson,2001,"Sean Penn, Michelle Pfeiffer",Chronicle,1 hr. 23 min.,Jay Alaimo,2012,"Dane DeHaan, Alex Russell, Michael B. Jordan, Ashley Hinshaw, Anna Wood, Bo Petersen",0
Red Dawn ('84)    ,"1 hour, 54 minutes",John Milius,1984,"Patrick Swayze, C. Thomas Howell",Nan er ben se (Invisible Target),2 hr. 8 min.,Benny Chan,2008,"Nicholas Tse, Shawn Yue, Jaycee Chan, Wu Jing, Andy On, Lam Ka Wah",0
The Lovely Bones    ,"2 hours, 16 minutes",Peter Jackson,2010,"Mark Wahlberg, Rachel Weisz",Last Summer,1 hr. 13 min.,Mark Thiedeman,2013,"Samuel Pettit, Sean Rose",0
"Crouching Tiger, Hidden Dragon   ","2 hours, 1 minute",Ang Lee,2000,"Yun-Fat Chow, Michelle Yeoh",The Rabbi's Cat,1 hr. 29 min.,Antoine Delesvaux,2012,"FranÌ¤ois Morel, Maurice BÌ©nichou, Hafsia Herzi, FranÌ¤ois Damiens, Mathieu Amalric, Jean-Pierre Kalfon",0
The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale,Hungry Hearts,1 hr. 49 min.,Saverio Costanzo,2015,"Adam Driver, Alba Rohrwacher, Roberta Maxwell, Al Roffe, Jason Selvig, Geisha Otero",0
Rat Race (Special Collector's Edition) , 112 minutes ,Jerry Zucker,2002,Breckin Meyer,Star Wars: Episode V - The Empire Strikes Back,2 hr. 4 min.,Casey Pugh,1980,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, David Prowse, Anthony Daniels",0
Batman Beyond   ,22 minutes,Curt Geda,2000,"Will Friedle, Kevin Conroy",Race to Witch Mountain,1 hr. 39 min.,Andy Fickman,2009,"Dwayne ""The Rock"" Jo..., Alexander Ludwig, Annasophia Robb, Carla Gugino, CiarÌÁn Hinds, Tom Everett Scott",0
Rocky V , 104 minutes ,John G. Avildsen,2005,Sylvester Stallone,Running Inside Out,1 hr. 25 min.,Robbie Hirst,2011,"Andrea Prescott, Jeffry Griffin, Michelle Pidgeon, Nancy Humphrey, Roz Turner, Bill Hammon",0
Electra Love 2000    ,"1 hour, 36 minutes",Jay Raskin,1991,"Robin O'Dell,Gregory Pitts",Winx Club,1 hr. 25 min.,Iginio Straffi,2011,"Emiliano Coltorti, Marco Vivio, Emanuela Rossi, Letizia Ciampa, Tedd Dillon, Caren Manuel",0
Scarlet Pimpernel    ,"1 hour, 38 minutes",Harold Young,2007,"Leslie Howard, Merle Oberon",1313: Haunted Frat,1 hr. 15 min.,David DeCoteau,2011,"Jake Madden, Graham Rogers, David Adam Flannery, David Flannery, Luke Allen, Zach Cuddeback",0
Zero Dark Thirty (Blu-ray/DVD Combo + UltraViolet Digital Copy) , 157 minutes ,Kathryn Bigelow,2013,Jason Clarke,Green Ice,1 hr. 53 min.,Ernest Day,1981,"Ryan O'Neal, Anne Archer, Omar Sharif, Domingo Ambriz, John Larroquette, Philip Stone",0
Bicentennial Man , 131 minutes ,Chris Columbus,2000,Robin Williams,My Old Lady,1 hr. 47 min.,Israel Horovitz,2014,"Kevin Kline, Kristin Scott Thomas, Maggie Smith, Elie Wajeman, Kristin Scott-Thomas..., RaphaÌÇle Moutier",0
Steve McQueen Triple Feature (Bullitt / Cincinnati Kid / Getaway) [Blu-ray] ,,Various,2012,Various,Young Detective Dee: Rise of the Sea Dragon,2 hr. 14 min.,Hark Tsui,2013,"Mark Chao, Shao-feng Feng, Feng Shao Feng, Angelababy, Carina Lau, Gengxin Lin",0
Jack and Diane    ,"1 hour, 46 minutes",Bradley Rust Gray,2012,"Juno Temple, Jackson Ning",Rampart,1 hr. 47 min.,Oren Moverman,2012,"Woody Harrelson, Sigourney Weaver, Robin Wright, Ned Beatty, Ben Foster, Ice Cube",0
Endgame    ,"1 hour, 46 minutes",Pete Travis,1991,"William Hurt, Chiwetel Ejiofor",Club Life,1 hr. 23 min.,Fabrizio Conte,2015,"Jerry Ferrara, Jessica Szohr, Jay R. Ferguson, Al Sapienza, Robert Davi, Busta Rhymes",0
Traffic , 148 minutes ,Steven Soderbergh,2002,Benicio Del Toro,Twin Daggers,1 hr. 38 min.,Chan Kwan-Hau,2006,"Rhett Giles, CoCo Su Jin, Veronica Bero, Joey Covington, Vasilios Elovalis, Huang Kai-Sen",0
Ocean's Eleven (2001)    ,"1 hour, 57 minutes",Steven Soderbergh,2001,"George Clooney, Cecelia Ann Birt",The Secret Life Of Walter Mitty,1 hr. 54 min.,Ben Stiller,2013,"Ben Stiller, Kristen Wiig, Patton Oswalt, Shirley MacLaine, Adam Scott, Kathryn Hahn",0
The Matrix Reloaded (Widescreen Edition) [DVD] , 138 minutes ,Andy Wachowski,2007,Keanu Reeves,The First Grader,1 hr. 43 min.,Justin Chadwick,2011,"Naomie Harris, Oliver Litondo, Emily Njoki, Hannah Wacera, Tony Kgoroge, Israel Makoe",0
The Good Shepherd    ,"2 hours, 48 minutes",Robert De Niro,2006,"Matt Damon, Angelina Jolie",Straight Outta Tompkins,1 hr. 33 min.,Zephyr Benson,2015,"Zephyr Benson, Aaron Costa Ganis, Jon McCormick, Adonis Rodriguez, Christina Saragaglia, Mike Steinmetz",0
