Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
The Tribe,2015.0,Miroslav Slaboshpitsky,"Grigoriy Fesenko,Yana Novikova,Rosa Babiy,Alexander Dsiadevich,Yaroslav Biletskiy,Ivan Tishko,Alexander Osadchiy,Alexander Sidelnikov,Alexander Panivan",1.5,"Crime, Drama",130 minutes,Guns & Talks,2001,Jin Jang,"Hyeon-jun Shin, Ha-kyun Shin, Bin Won",7.0,"Action, Drama, Comedy",120 min ,0
True Grit,2010.0,,"Jeff Bridges,Matt Damon,Josh Brolin,Barry Pepper,Hailee Steinfeld",3.5,"Action, Adventure, Drama, Western",110 minutes,Legendary Assassin,2008,Wu Jing,"Wu Jing, Celina Jade, Kara Hui",6.2,"Action, Thriller",89 min ,0
Walk Hard: The Dewey Cox Story,2007.0,Jake Kasdan,"John C. Reilly,Jenna Fischer,Raymond J. Barry,Kristen Wiig,Tim Meadows,Harold Ramis,Chris Parnell",3.0,"Comedy, Music",96 minutes,Fortress 2,2000,Geoff Murphy,"Christopher Lambert, Beth Toussaint, Willie Garson",4.4,"Action, Sci-Fi",92 min ,0
La Ceremonie,1995.0,Claude Chabrol,"Sandrine Bonnaire,Isabelle Huppert,Jacqueline Bisset,Jean-Pierre Cassel",4.0,"Drama, Foreign, Thriller",111 minutes,Man of Tai Chi,2013,Keanu Reeves,"Tiger Hu Chen, Keanu Reeves, Karen Mok",6.1,"Action, Drama",105 min ,0
My Winnipeg,2008.0,Guy Maddin,"Ann Savage,Louis Negin,Amy Stewart,Darcy Fehr",4.0,"Documentary, Drama, History, Indie",80 minutes,Steele Justice,1987,Robert Boris,"Sela Ward, Martin Kove, Ronny Cox",4.4,"Action, Crime, Drama",95 min ,0
Going Clear: Scientology and the Prison of Belief,2015.0,Alex Gibney,,3.5,Documentary,119 minutes,Go Goa Gone,2013,Krishna D.K.,"Saif Ali Khan, Kunal Khemu, Vir Das",6.5,"Action, Adventure, Comedy",111 min ,0
Broken City,2013.0,Allen Hughes,"Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones,Jeffrey Wright,Barry Pepper,Kyle Chandler,Griffin Dunne,Natalie Martinez",3.0,"Mystery, Thriller",109 minutes,Time Again,2011,Ray Karwel,"Scott F. Evans, John T. Woods, Angela Rachelle",5.5,"Action, Adventure, Sci-Fi",82 min ,0
Wolf Creek,2005.0,,"John Jarratt,Nathan Phillips,Cassandra Magrath,Kestie Morassi",0.0,"Foreign, Horror, Thriller",99 minutes,North Shore,1987,William Phelps,"Matt Adler, Nia Peeples, Gregory Harrison",6.4,"Action, Drama, Romance",96 min ,0
Endless Love,2014.0,Shana Feste,"Alex Pettyfer,Gabriella Wilde,Bruce Greenwood,Joely Richardson,Rhys Wakefield,Robert Patrick,Dayo Okeniyi,Emma Rigby,Anna Enger",2.0,"Drama, Romance",103 minutes,Moonshine County Express,1977,Gus Trikonis,"John Saxon, Susan Howard, William Conrad",5.9,"Action, Crime, Drama",95 min ,0
That Awkward Moment,2014.0,Tom Gormican,"Zac Efron,Imogen Poots,Miles Teller,Addison Timlin,Michael B. Jordan,Jessica Lucas,Josh Pais",2.0,"Comedy, Romance",,Super,2005,Puri Jagannadh,"Nagarjuna Akkineni, Sonu Sood, Ayesha Takia",5.0,"Action, Comedy, Drama",151 min ,0
Across the Universe,2007.0,Julie Taymor,"Jim Sturgess,Joe Anderson,Dana Fuchs,T.V. Carpio,Bono,Eddie Izzard,Martin Luther McCoy",4.0,"Adventure, Drama, Music, Romance",133 minutes,Foolproof,2003,William Phillips,"Ryan Reynolds, Kristin Booth, Joris Jarsky",6.5,"Action, Comedy, Crime",94 min ,0
Hotel for Dogs,2009.0,Thor Freudenthal,"Emma Roberts,Jake T. Austin,Don Cheadle,Lisa Kudrow,Kevin Dillon,Johnny Simmons,Kyla Pratt",2.5,"Comedy, Family",100 minutes,Proud Heritage,1989,Sergiu Nicolaescu,"Sergiu Nicolaescu, Serban Ionescu, Adrian Pintea",7.5,"Action, Drama, History",136 min ,0
Chico and Rita,2012.0,"Fernando Trueba,Javier Mariscal,Tono Errando","Emar Xor Ona,Limara Meneses,Mario Guerra,Lenny Mandel",3.5,"Animation, Foreign, Music, Romance",94 minutes,Dragon Blade,2015,Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody",6.2,"Action, Adventure, Drama",127 min ,0
3 Women,1977.0,,"Shelley Duvall,Janice Rule,Robert Fortier,Ruth Nelson,John Cromwell",4.0,"Drama, Indie",125 minutes,Down Twisted,1987,Albert Pyun,"Carey Lowell, Charles Rocket, Trudy Dochterman",7.0,"Action, Adventure, Crime",88 min ,0
Samba,2015.0,"Eric Toledano,Olivier Nakache","Omar Sy,Tahar Rahim,Charlotte Gainsbourg,Izia Higelin,Hélène Vincent,Christiane Millet",2.5,"Comedy, Drama",118 minutes,From Mexico with Love,2009,Jimmy Nickerson,"Kuno Becker, Steven Bauer, Stephen Lang",5.4,"Action, Drama",96 min ,0
Kingsman: The Secret Service,2015.0,Matthew Vaughn,"Colin Firth,Mark Strong,Samuel L. Jackson,Michael Caine,Jack Davenport,Taron Egerton",2.0,"Action, Adventure, Comedy, Crime",129 minutes,The Last Warrior,1989,Martin Wragge,"Gary Graham, Maria Holvoe, Cary-Hiroyuki Tagawa",5.2,"Action, Drama, War",94 min ,0
Mongol,2008.0,Sergei Bodrov,"Tadanobu Asano,Khulan Chuluun,Amadu Mamadakov,Honglei Sun,Aliya",3.5,,,Die Hard 2,1990,Renny Harlin,"Bruce Willis, William Atherton, Bonnie Bedelia",7.1,"Action, Thriller",124 min ,0
Sex Drive,2008.0,Sean Anders,"Josh Zuckerman,Clark Duke,Amanda Crew,James Marsden,Seth Green",2.0,"Adventure, Comedy, Romance",109 minutes,Sseom,2004,Youn-hyun Chang,"Soo Go, Ji-hyo Song, Dong-kyu Lee",6.3,"Action, Crime, Mystery",118 min ,0
Paper Towns,2015.0,Jake Schreier,"Nat Wolff,Cara Delevingne,Austin Abrams,Justice Smith,Halston Sage,Jaz Sinclair,Caitlin Carver,Griffin Freeman,Cara Buono",3.0,"Adventure, Mystery, Romance",109 minutes,Mountain Patrol,2004,Chuan Lu,"Duobujie, Lei Zhang, Liang Qi",7.7,"Action, Drama",90 min ,0
The Colony,2013.0,Jeff Renfroe,"Laurence Fishburne,Kevin Zegers,Bill Paxton,Charlotte Sullivan,John Tench,Atticus Dean Mitchell,Dru Viergever,Romano Orzari",1.5,"Action, Science Fiction, Thriller",95 minutes,Search and Destroy,1979,William Fruet,"Perry King, Don Stroud, Tisa Farrow",5.7,"Action, Drama, Thriller",92 min ,0
Our Irish Cousins,2013.0,,,3.0,,99 minutes,Iron Eagle IV,1995,Sidney J. Furie,"Louis Gossett Jr., Jason Cadieux, Joanne Vannicola",3.0,"Action, Drama",96 min ,0
The Canyons,2013.0,Paul Schrader,"Lindsay Lohan,James Deen,Gus Van Sant,Nolan Gerard Funk,Amanda Brooks,Tenille Houston",1.0,Thriller,,Rio Conchos,1964,Gordon Douglas,"Richard Boone, Stuart Whitman, Anthony Franciosa",6.6,"Action, Drama, War",107 min ,0
Tears of the Black Tiger,2007.0,,"Chartchai Ngamsan,Stella Malucchi,Suwinit Panjamawat,Supakorn Kitsuwon,Arawat Ruangvuth,Sombati Medhanee",3.0,"Action, Drama, Foreign, Romance, Western",110 minutes,Peking Express,1951,William Dieterle,"Joseph Cotten, Corinne Calvet, Edmund Gwenn",5.4,"Drama, Thriller, Action",95 min ,0
Speed Racer,2008.0,,"Emile Hirsch,Matthew Fox,Christina Ricci,Paulie Litt,Susan Sarandon,John Goodman",1.5,"Action, Family, Thriller",135 minutes,Shark Week,2012,Christopher Ray,"Yancy Butler, Patrick Bergin, Joshua Michael Allen",2.5,"Action, Horror, Sci-Fi",89 min ,0
Patang,2012.0,Prashant Bhargava,"Mukund Shukla,Sugandha Garg,Aakash Maherya,Seema Biswas,Pannaben Soni",4.0,,,The Professionals,1966,Richard Brooks,"Burt Lancaster, Lee Marvin, Robert Ryan",7.4,"Action, Adventure, Western",117 min ,0
Girl on a Bicycle,2014.0,Jeremy Leven,"Vincenzo Amato,Nora Tschirner,Paddy Considine,Louise Monot,Stéphane Debac,Brice Fournier,Kellie Shirley",0.5,"Comedy, Romance",101 minutes,The Soldier,1982,James Glickenhaus,"Ken Wahl, Alberta Watson, Jeremiah Sullivan",5.1,"Action, Adventure, Thriller",96 min ,0
Endless Love,2014.0,Shana Feste,"Alex Pettyfer,Gabriella Wilde,Bruce Greenwood,Joely Richardson,Rhys Wakefield,Robert Patrick,Dayo Okeniyi,Emma Rigby,Anna Enger",2.0,"Drama, Romance",103 minutes,Heroes,2008,Samir Karnik,"Sohail Khan, Vatsal Seth, Amrita Arora",5.7,"Action, Adventure, Comedy",139 min ,0
Silent Light,2009.0,,"Cornelio Wall,Miriam Toews,Maria Pankratz,Peter Wall,Elisabeth Fehr,Jacobo Klassen",4.0,"Drama, Foreign, Indie",142 minutes,Double Barrel,2015,Lijo Jose Pellissery,"Prithviraj Sukumaran, Indrajith, Arya",5.8,"Action, Comedy, Thriller",158 min ,0
Southpaw,2015.0,Antoine Fuqua,"Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,Naomie Harris,50 Cent",3.0,"Action, Drama",123 minutes,Fang Shi Yu,1972,Yang Ming Tsai,"Fei Meng, Lin Lin Li, Yasuaki Kurata",5.9,"Action, Drama",90 min ,0
The Perfect Guy,2015.0,David M. Rosenthal,"Michael Ealy,Sanaa Lathan,Morris Chestnut,Kathryn Morris,Rutina Wesley",2.0,Thriller,100 minutes,The Dawn Patrol,1930,Howard Hawks,"Richard Barthelmess, Douglas Fairbanks Jr., Neil Hamilton",8.0,"War, Drama, Action",108 min ,0
Lonesome Jim,2006.0,Steve Buscemi,"Casey Affleck,Liv Tyler,Mary Kay Place,Seymour Cassel,Kevin Corrigan,Mark Boone Junior",3.0,"Comedy, Drama, Indie, Romance",91 minutes,American Muscle,2014,Ravi Dhar,"Nick Principe, Robin Sydney, Todd Farmer",3.9,Action,90 min ,0
The Terrorist,2000.0,Santosh Sivan,"Ayesha Dharkar,Parmeshwaran,Vishnu Vardhan,Bhanu Prakash,Vishwas,K. Krishna",4.0,"Comedy, Drama, Romance",95 minutes,'71,2014,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris",7.2,"Action, Drama, Thriller",99 min ,0
Mountains of the Moon,2014.0,Kamaleswar Mukherjee,"Dev,Martin Cito Otto,Nabeel Khan,Paul Ditchfield,David James",2.0,Adventure,143 minutes,Moscow Heat,2004,Jeff Celentano,"Michael York, Alexander Nevsky, Richard Tyson",4.8,"Action, Drama",90 min ,0
Diana,2013.0,Oliver Hirschbiegel,"Naomi Watts,Naveen Andrews,Charles Edwards,Douglas Hodge,Lee Asquith-Coe,Cas Anvar,Geraldine James,Juliet Stevenson,Laurence Belcher,Michael Byrne,Douglas Hodge,Mary Stockley,Chris Cowlin,Daniel Pirrie,Raffaello Degruttola",1.0,Drama,,Radar Men from the Moon,1952,Fred C. Brannon,"George Wallace, Aline Towne, Roy Barcroft",4.5,"Action, Sci-Fi",167 min ,0
The Greatest,2010.0,,"Pierce Brosnan,Susan Sarandon,Carey Mulligan,Johnny Simmons,Aaron Johnson,Zoe Kravitz,Jennifer Ehle,Amy Morton,Michael Shannon",2.0,Drama,99 minutes,National Security,2003,Dennis Dugan,"Martin Lawrence, Steve Zahn, Colm Feore",5.5,"Action, Comedy, Crime",88 min ,0
16 Blocks,2006.0,Richard Donner,"Bruce Willis,Mos Def,David Morse,Tig Fong,Cylk Cozart,Michael F. Keenan,Sasha Roiz",3.0,"Action, Adventure, Crime, Thriller",105 minutes,Monsters vs. Aliens,2009,Rob Letterman,"Reese Witherspoon, Rainn Wilson, Stephen Colbert",6.6,"Animation, Action, Adventure",94 min ,0
"Spring, Summer, Fall, Winter... and Spring",2003.0,,,4.0,"Drama, Foreign",103 minutes,The Assassination Bureau,1969,Basil Dearden,"Oliver Reed, Diana Rigg, Telly Savalas",6.7,"Action, Adventure, Comedy",110 min ,0
Rio Bravo,1959.0,,,4.0,"Action, Drama, Western",141 minutes,The Final Comedown,1972,Oscar Williams,"Billy Dee Williams, D'Urville Martin, Celia Milius",5.8,"Action, Crime, Drama",83 min ,0
Finding Vivian Maier,2014.0,"John Maloof,Charlie Siskel",,2.5,Documentary,83 minutes,The Shadow Men,1997,Timothy Bond,"Eric Roberts, Sherilyn Fenn, Dean Stockwell",4.0,"Action, Sci-Fi, Thriller",95 min ,0
Bad Turn Worse,2014.0,"Simon Hawkins,Zeke Hawkins","Mark Pellegrino,Jon Gries,Jeremy Allen White,William Devane,Logan Huffman,Mackenzie Davis",3.0,"Crime, Drama, Thriller",92 minutes,Paradise Island,1930,Bert Glennon,"Kenneth Harlan, Marceline Day, Tom Santschi",4.3,"Action, Adventure, Romance",68 min ,0
Going Clear: Scientology and the Prison of Belief,2015.0,Alex Gibney,,3.5,Documentary,119 minutes,We're Going to Eat You,1980,Hark Tsui,"Norman Chu, Eddy Ko, Melvin Wong",6.7,"Action, Adventure, Comedy",90 min ,0
The Ocean of Helena Lee,2015.0,Jim Akin,"Moriah Blonna,Tom Dunne,Maria McKee",4.0,Drama,88 minutes,Mutants,2008,Amir Valinia,"Michael Ironside, Louis Herthum, Tony Senzamici",2.4,"Action, Horror, Sci-Fi",83 min ,0
Wreck-It Ralph,2012.0,,"John C. Reilly,Jack McBrayer,Jane Lynch,Alan Tudyk,Ed O'Neill,Sarah Silverman",3.0,"Animation, Comedy, Family",104 minutes,The Night Caller,1975,Henri Verneuil,"Jean-Paul Belmondo, Charles Denner, Adalberto Maria Merli",7.0,"Action, Thriller, Drama",91 min ,0
The Amazing Spider-Man 2,2014.0,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,Felicity Jones,Paul Giamatti,Sally Field,Marton Csokas,Embeth Davidtz,Denis Leary,Chris Zylka,B.J. Novak",2.0,"Action, Adventure, Fantasy",142 minutes,Best Men,1997,Tamra Davis,"Dean Cain, Andy Dick, Sean Patrick Flanery",5.7,"Action, Comedy, Crime",90 min ,0
Ellie Parker,2005.0,,"Naomi Watts,Rebecca Rigg,Scott Coffey,Mark Pelligrino,Blair Mastbaum,Chevy Chase",3.0,"Comedy, Indie",95 minutes,Peacemaker,1990,Kevin Tenney,"Robert Forster, Lance Edwards, Hilary Shepard",5.2,"Action, Sci-Fi",100 min ,0
Ouija,2014.0,Stiles White,"Olivia Cooke,Ana Coto,Daren Kagasoff",3.0,Horror,89 minutes,Route Irish,2010,Ken Loach,"Mark Womack, Andrea Lowe, John Bishop",6.4,"Action, Drama, Thriller",109 min ,0
12,2009.0,Nikita Mikhalkov,,3.5,"Crime, Drama, Foreign, Suspense",159 minutes,The Return of the Musketeers,1989,Richard Lester,"Michael York, Oliver Reed, Frank Finlay",6.0,"Action, Adventure, Comedy",102 min ,0
Valentino: The Last Emperor,2009.0,Matt Tyrnauer,,3.0,"Documentary, Indie",96 minutes,Nautilus,2000,Rodney McDonald,"Richard Norton, Hannes Jaenicke, Miranda Wolfe",3.8,"Action, Sci-Fi",97 min ,0
Cut Bank,2015.0,Matt Shakman,"Teresa Palmer,Liam Hemsworth,John Malkovich,Bruce Dern,Billy Bob Thornton,Michael Stuhlbarg",1.5,Thriller,93 minutes,Full Impact,1993,David Huey,"Gary Daniels, Kent Ducanon, Linda Bennett",3.4,Action,72 min ,0
The SpongeBob Movie: Sponge Out of Water,2015.0,Paul Tibbitt,"Tom Kenny,Bill Fagerbakke,Rodger Bumpass,Clancy Brown,Carolyn Lawrence,Mr. Lawrence,Antonio Banderas,Slash",2.5,"Adventure, Animation, Comedy",93 minutes,Clive of India,1935,Richard Boleslawski,"Ronald Colman, Loretta Young, Colin Clive",6.5,"Action, Adventure, Biography",94 min ,0
The Galapagos Affair: Satan Came to Eden,2014.0,"Daniel Geller,Dayna Goldfine","Cate Blanchett,Sebastian Koch,Thomas Kretschmann,Diane Kruger,Josh Radnor,Thomas Kretschmann",2.5,"Documentary, Thriller",126 minutes,Once Upon a Time in China IV,1993,Bun Yuen,"Wenzhuo Zhao, Jean Wang, Siu Chung Mok",5.9,Action,102 min ,0
The Time Traveler's Wife,2009.0,Robert Schwentke,"Rachel McAdams,Eric Bana,Arliss Howard,Ron Livingston,Stephen Tobolowsky,Brooklynn Proulx",2.5,"Drama, Romance, Science Fiction",107 minutes,Are You Being Served?,1977,Bob Kellett,"John Inman, Mollie Sugden, Frank Thornton",6.3,"Action, Adventure, Comedy",95 min ,0
Aquamarine,2006.0,Elizabeth Allen,"Sara Paxton,Emma Roberts,Joanna ""JoJo"" Levesque,Jake McDorman,Arielle Kebbel,Tammin Sursok,Dichen Lachman,Julia Blake",2.0,"Drama, Family, Fantasy, Romance, Science Fiction",104 minutes,Code Name Vengeance,1987,David Winters,"Robert Ginty, Shannon Tweed, Cameron Mitchell",3.8,"Action, Adventure, Drama",96 min ,0
Barry Lyndon,1975.0,,"Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Kruger,Leonard Rossiter,Michael Hordern",4.0,"Drama, Foreign, Romance, War",184 minutes,Special Ops,2010,Tom Shell,"A.J. Draven, Steven Bauer, Finola Hughes",3.1,"Action, Thriller",98 min ,0
Hit and Run,2012.0,"Dax Shepard,David Palmer","Dax Shepard,Tom Arnold,Kristen Bell,Kal Bennett,Beau Bridges,Kristin Chenoweth,Bradley Cooper,Michael Rosenbaum,Jess Rowland",3.5,"Action, Comedy, Romance",100 minutes,Tere Naam,2003,Satish Kaushik,"Salman Khan, Bhoomika Chawla, Mahima Chaudhry",7.2,"Action, Drama, Romance",132 min ,0
The Lifeguard,2013.0,Liz W. Garcia,"Kristen Bell,Mamie Gummer,Martin Starr,Alex Shaffer,Amy Madigan,Joshua Harto",2.0,"Comedy, Drama, Romance",94 minutes,The Champagne Gang,2006,Daniel Zirilli,"Lacey Toups, Candise Lakota, Tarah Tobiason",3.7,"Action, Adventure",91 min ,0
Four Lovers,2012.0,Antony Cordier,"Marina Fois,Elodie Bouchez,Roschdy Zem,Nicolas Duvauchelle,Alexia Stresi",1.5,,,Mannat,2006,Gurbir Singh Grewal,"Jimmy Shergill, Kulraj Randhawa, Kanwaljit Singh",7.6,"Action, Crime, Drama",165 min ,0
Monkey Kingdom,2015.0,"Mark Linfield,Alastair Fothergill",Tina Fey,3.0,Documentary,81 minutes,Cherry Bomb,2011,Kyle Day,"Julin, Nick Manning, John Gabriel",3.4,Action,82 min ,0
Nymphomaniac: Vol. II,2014.0,Lars von Trier,"Charlotte Gainsbourg,Stellan Skarsgård,Shia LaBeouf,Jean-Marc Barr,Udo Kier,Jamie Bell,Willem Dafoe,Mia Goth,Michael Pas,Stacy Martin",3.0,"Drama, Mystery",123 minutes,Kickboxer 3: The Art of War,1992,Rick King,"Sasha Mitchell, Dennis Chan, Richard Comar",3.8,"Action, Sport, Thriller",92 min ,0
R100,2015.0,Hitoshi Matsumoto,"Nao Ōmori,Mao Daichi,Shinobu Terajima,Hairi Katagiri,Eriko Satô,Ai Tominaga,Naomi Watanabe,Gin Maeda",3.0,"Comedy, Drama",100 minutes,Blitz,2011,Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen",6.2,"Action, Crime, Thriller",97 min ,0
Kidnapping Mr. Heineken,2015.0,Daniel Alfredson,"Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel",1.0,"Action, Crime, Drama, Thriller",,Reptile 2001,1999,Hyung-rae Shim,"Dan Cashman, Bruce Cornwell, Dennis Howard",2.6,"Action, Horror, Fantasy",99 min ,0
Annie,2014.0,Will Gluck,"Quvenzhané Wallis,Jamie Foxx,Rose Byrne,Cameron Diaz,Adewale Akinnuoye-Agbaje",3.0,"Comedy, Drama, Music",118 minutes,Lydia Bailey,1952,Jean Negulesco,"Dale Robertson, Anne Francis, Charles Korvin",6.7,"Action, Adventure, History",89 min ,0
The Forger,2015.0,Philip Martin,"John Travolta,Christopher Plummer,Tye Sheridan,Jennifer Ehle,Abigail Spencer",2.0,"Crime, Drama, Thriller",92 minutes,The Comancheros,1961,Michael Curtiz,"John Wayne, Stuart Whitman, Ina Balin",6.9,"Action, Western, Adventure",107 min ,0
Far from the Madding Crowd,2015.0,Thomas Vinterberg,"Carey Mulligan,Juno Temple,Michael Sheen,Tom Sturridge,Matthias Schoenaerts,Hilton McRae",3.0,Drama,119 minutes,Brannigan,1975,Douglas Hickox,"John Wayne, Richard Attenborough, Judy Geeson",6.1,"Action, Comedy, Crime",111 min ,0
[REC] 4: Apocalypse,2015.0,Jaume Balagueró,"Manuela Velasco,Héctor Colomé,María Alfonsa Rosso,Paco Manzanedo,Mariano Venancio",2.0,"Horror, Thriller",96 minutes,Jungle Raiders,1985,Antonio Margheriti,"Christopher Connelly, Marina Costa, Lee Van Cleef",4.9,"Action, Adventure",95 min ,0
Wings of Desire,1988.0,,,4.0,"Drama, Fantasy, Foreign, Romance, Science Fiction",128 minutes,Renegade Force,1998,Martin Kunert,"Michael Rooker, Robert Patrick, Diane DiLascio",5.6,"Action, Thriller",90 min ,0
The Outsider,2013.0,Brian A Miller,"Shannon Elizabeth,James Caan,Jason Patric,Craig Fairbrass,Melissa Ordway",1.0,"Action, Crime, Drama",94 minutes,For a Fistful of Diamonds,2009,Dominique Milano,"Chuti Tiu, Abdel-Aziz Essayed, Fabrice Sopoglian",2.8,Action,87 min ,0
A Prairie Home Companion,2006.0,Robert Altman,"Woody Harrelson,Garrison Keillor,Meryl Streep,Lily Tomlin,Tommy Lee Jones,Kevin Kline,Virginia Madsen,John C. Reilly,Lindsay Lohan,L.Q. Jones,Maya Rudolph,Tim Russell,Sue Scott",4.0,"Comedy, Drama, Music",105 minutes,The Getaway,1972,Sam Peckinpah,"Steve McQueen, Ali MacGraw, Ben Johnson",7.5,"Action, Crime, Thriller",122 min ,0
Dear Mr. Watterson,2013.0,Joel Allen Schroeder,Seth Green,2.5,Documentary,89 minutes,Once Upon a Time in China IV,1993,Bun Yuen,"Wenzhuo Zhao, Jean Wang, Siu Chung Mok",5.9,Action,102 min ,0
Smart People,2008.0,Noam Murro,"Dennis Quaid,Sarah Jessica Parker,Thomas Haden Church,Ellen Page,Ashton Holmes",2.5,"Comedy, Drama, Indie, Romance",95 minutes,Age of the Dragons,2011,Ryan Little,"Danny Glover, Vinnie Jones, Corey Sevier",3.4,"Action, Adventure, Fantasy",91 min ,0
Red Riding Trilogy,2010.0,Julian Jarrold,"Mark Addy,Sean Bean,Andrew Garfield,Paddy Considine,David Morrissey",4.0,"Crime, Drama, Mystery",102 minutes,Recognize,2012,Terry Miles,"One Way Boobe, Big sam of the Eastside Boys, City Boys",3.2,"Action, Crime, Drama",92 min ,0
Mistress America,2015.0,Noah Baumbach,"Greta Gerwig,Lola Kirke,Charlie Gillette,Dean Wareham,Heather Lind,Seth Barrish",3.0,Comedy,84 minutes,Airspeed,1999,Robert Tinnell,"Elisha Cuthbert, Bronwen Booth, Joe Mantegna",3.4,"Adventure, Action, Drama",93 min ,0
The Gambler,2014.0,Rupert Wyatt,"Mark Wahlberg,Brie Larson,John Goodman,Jessica Lange,Michael K. Williams",2.0,"Crime, Drama, Thriller",111 minutes,The Big Tits Dragon,2010,Takao Nakano,"Sora Aoi, Risa Kasumi, Mari Sakurai",4.5,"Action, Comedy, Horror",73 min ,0
The Band Wagon,1953.0,,,4.0,"Comedy, Music",,La Femme Nikita,1990,Luc Besson,"Anne Parillaud, Marc Duret, Patrick Fontana",7.4,"Action, Thriller",117 min ,0
Oldboy,2013.0,Spike Lee,"Josh Brolin,Samuel L. Jackson,Elizabeth Olsen,Sharlto Copley,Lance Reddick,Michael Imperioli,Richard Portnow,Max Casella",3.0,"Drama, Mystery, Thriller",,Golimar,2010,Puri Jagannadh,"Tottempudi Gopichand, Priyamani, Roja",5.7,"Action, Crime, Drama",160 min ,0
Monsters,2010.0,,,3.5,"Drama, Foreign, Science Fiction, Thriller",94 minutes,Street Law,1995,Damian Lee,"Jeff Wincott, Paco Christian Prieto, Christina Cox",4.5,"Action, Drama",98 min ,0
Real Steel,2011.0,Shawn Levy,"Hugh Jackman,Dakota Goyo,Evangeline Lilly,Anthony Mackie,Kevin Durand,Hope Davis,James Rebhorn",3.0,"Action, Drama, Science Fiction, Sport",127 minutes,Heart of a Dragon,1985,Sammo Kam-Bo Hung,"Jackie Chan, Sammo Kam-Bo Hung, Emily Chu",6.5,"Action, Comedy, Crime",91 min ,0
The Walk,2015.0,Robert Zemeckis,"Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz,James Badge Dale,Steve Valentine,Mark Camacho",2.5,Drama,123 minutes,Shootfighter: Fight to the Death,1993,Patrick Alan,"Bolo Yeung, Maryam d'Abo, William Zabka",5.3,Action,100 min ,0
The Namesake,2006.0,Mira Nair,"Kal Penn,Tabu,Irrfan Khan,Sahira Nair,Jacinda Barrett,Zuleikha Robinson,Glenne Headly",3.5,"Drama, Indie",122 minutes,Snakes on a Plane,2006,David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips",5.6,"Action, Thriller",105 min ,0
Glory Road,2006.0,James Gartner,"Josh Lucas,Derek Luke,Jon Voight,Damaine Radcliff,Austin Nichols,Mehcad Brooks,Alphonso McAuley,Al Shearer,Sam Jones II",3.0,Drama,118 minutes,All About the Benjamins,2002,Kevin Bray,"Ice Cube, Mike Epps, Tommy Flanagan",5.7,"Action, Comedy, Crime",95 min ,0
Man from Reno,2015.0,Dave Boyle,"Ayako Fujitani,Pepe Serna,Kazuki Kitamura,Hiroshi Watanabe,Tetsuo Kuramochi,Elisha Skorman,Masami Kosaka,Rome Kanda",3.0,"Crime, Mystery, Thriller",111 minutes,The Perfect Storm,2000,Wolfgang Petersen,"George Clooney, Mark Wahlberg, Diane Lane",6.4,"Action, Adventure, Drama",130 min ,0
Fargo,1996.0,Joel Coen,"Frances McDormand,William H. Macy,Steve Buscemi,Peter Stormare,Harve Presnell",4.0,"Comedy, Crime, Drama",98 minutes,Woman They Almost Lynched,1953,Allan Dwan,"John Lund, Brian Donlevy, Audrey Totter",6.7,"Action, Drama, Music",90 min ,0
The Do-Deca-Pentathlon,2012.0,,"Mark Kelly,Steve Zissis,Jennifer Lafleur,Reid Williams,Julie Vorus,Noel Wells",3.0,Comedy,76 minutes,No Contest,1995,Paul Lynch,"Shannon Tweed, Robert Davi, Andrew Dice Clay",4.3,"Action, Crime, Drama",98 min ,0
The Longest Ride,2015.0,George Tillman Jr,"Scott Eastwood,Britt Robertson,Lolita Davidovich,Melissa Benoist,Jack Huston,Oona Chaplin,Alan Alda,Amy Parrish",1.5,"Drama, Romance",139 minutes,China Dolls,2008,Don Barnhart Jr.,"Linda Vu, Don Barnhart Jr., Don Turner",4.6,"Action, Adventure, Drama",74 min ,0
Grace is Gone,2007.0,,"John Cusack,Shelan O'Keefe,Gracie Bednarczyk,Alessandro Nivola",3.0,"Drama, Indie",85 minutes,Dishdogz,2006,Mikey Hilb,"Marshall Allman, Haylie Duff, Luke Perry",5.3,"Action, Drama, Sport",90 min ,0
Dom Hemingway,2014.0,Richard Shepard,"Jude Law,Richard E. Grant,Demián Bichir,Emilia Clarke,Kerry Condon,Mădălina Diana Ghenea",3.0,"Comedy, Crime, Drama",93 minutes,Paul Blart: Mall Cop,2009,Steve Carr,"Kevin James, Keir O'Donnell, Jayma Mays",5.2,"Action, Comedy, Crime",91 min ,0
