Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
A probabilistic framework for feature-based speech recognition,"J Glass, J Chang, M McCandlessâ?¦",,,Exploiting Versions for Handling Updates in Broadcast Disks,"E Pitoura, P Chrysanthis",VLDB,1999,0
Off-Training-Set Error for the Gibbs and the Bayes Optimal Generalizers,"M Knill, T Grossman, D Wolpert",,1994.0,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,"R Goldman, J Widom",VLDB,1997,0
Collaboratively Controlled Objects in Support of Collaboration,LJ Bricker,"&hellip;  dissertation, University of Washington, Seattle, Washington,",,Process Automation as the Foundation for E-Business,"F Casati, M Shan",VLDB,2000,0
TCP in Presence ofBursty Losses,"E Altman, K Avrachenkov, C Barakat","Proc. of ACM Sigmetrics,",,Synthesis of Extended Transaction Models Using ACTA,"P Chrysanthis, K Ramamritham",ACM Trans. Database Syst.,1994,0
Finite element modelling of discontinuously reinforced metal matrix composites,E Weissenbek,,1994.0,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",U Dayal,VLDB,1999,0
On XML and Databases: Where's the Beef? (Panel Abstract),MJ Carey,,,Architecture of Oracle Parallel Server,"R Bamford, D Butler, B Klots, N MacNaughton",VLDB,1998,0
Discovery of multiple-level association rules from large databases,"J Han, Y Fu",,1995.0,RETINA: A REal-time TraffIc NAvigation System,"K Lam, E Chan, T Kuo, S Ng, D Hung",SIGMOD Conference,2001,0
Supporting Incremental Join Queries on Ranked Inputs,"ANYC Chang, JR Smith, CSLJS Vitter",,,Coalescing in Temporal Databases,"M Bіhlen, R Snodgrass, M Soo",VLDB,1996,0
Structural graph-matching approach to image understanding,"GP Ford, J Zhang","Proceedings of SPIE,",1992.0,Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,"D Buttler, M Coleman, T Critchlow, R Fileto, W Han, L Liu, C Pu, D Rocco, L Xiong",SIGMOD Record,2002,0
"Rectilinear shortest paths through polygonal obstacles in O (n log 3= 2 n) time,&quot;","KL Clarkson, S Kapoor, PM Vaidya",Unpublished,,Indexing and Querying XML Data for Regular Path Expressions,"Q Li, B Moon",VLDB,2001,0
An ID-based signature scheme based upon Rabin's public key cryptosystem.,"GE Lukes, CC Chang, CH Lin","Proceedings 25 th Annual 1991 IEEE International Carnahan  &hellip;,",1991.0,Book Review Column,K Aberer,SIGMOD Record,2001,0
On Digital Signature and Public Key Cryptographic,"RL Rivest, A Shamir, LM Adleman","MIT Laboratory for Computer science, Technical Report, MIT/LCS/",,Data Management Research at The MITRE Corporation,"A Rosenthal, L Seligman, C McCollum, B Blaustein, B Thuraisingham, E Lafferty",SIGMOD Record,1995,0
A transformation framework for the automatic control of derived data,"S Koening, R Paige",Proceedings of the 7th International VLDB,,A Framework for Semantic Gossiping,"K Aberer, P Cudrщ-Mauroux, M Hauswirth",SIGMOD Record,2002,0
Discrimination between different kind of surface defects on compact discs,"PF Odgaard, MV Wickerhauser","Submitted for publication,",2003.0,Image Mining in IRIS: Integrated Retinal Information System,"W Hsu, M Lee, K Goh",SIGMOD Conference,2000,0
Technological cooperation: A new type of relationship in the advance of National Innovation Systems,"JCF de Arroyabe, N Arranz","&hellip;  International Conference on Management of Technology, IAMOT &hellip;,",,Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi",VLDB,1995,0
Horward. A complete axiomatization for functional and multivalued dependencies in database relations,"C Beeri, R Fagin, H John",Proceedings of the 1977 ACM SIGMOD International Conference ,,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,"T Johnson, D Shasha",VLDB,1994,0
Ethnic soccer clubs in Milwaukee: a study in assimilation,JC Pooley,,1968.0,Parallelism and its Price: A Case Study of NonStop SQL/MP,"S Englert, R Glasstone, W Hasan",SIGMOD Record,1995,0
Cache-Conscious Radix-Decluster Projections,"S Manegold, P Boncz, N Nes, M Kersten","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004.0,Open Issues in Parallel Query Optimization,"W Hasan, D Florescu, P Valduriez",SIGMOD Record,1996,0
"Mary van Kleeck, Taylorism and the control of management knowledge","C Nyland, T Heenan",,,Understanding the semantics of sensor data,M Mani,SIGMOD Record,2003,0
Logical abstractions in Haskell,"NA Day, J Launchbury, J Lewis",Submitted for,,Integration of Data Mining with Database Technology,"A Netz, S Chaudhuri, J Bernhardt, U Fayyad",VLDB,2000,0
A RICH Counter for Antimatter and Isotope Identification in the Cosmic Radiation,"P Carison, T Francke, M Suffert, N Weber","Proceedings of the 23rd International Cosmic Ray Conference, &hellip;,",,A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,"M Gebhardt, M Jarke, S Jacobs",SIGMOD Conference,1997,0
CMOS thermal converters,D Jaeggi,"Ph. D. dissertation, ETH Zurich, Switzerland,",,Improving Timeliness in Real-Time Secure Database Systems,"S Son, R David, B Thuraisingham",SIGMOD Record,1996,0
"Analysis, modeling and generation of self-similar VBR video trac","MW Garrett, W Willinger","Proc. ACM SIGCOMM,",,A Query Language and Optimization Techniques for Unstructured Data,"P Buneman, S Davidson, G Hillebrand, D Suciu",SIGMOD Conference,1996,0
Formal semantics and analysis of object queries,GM Bierman,,,Random Sampling for Histogram Construction: How much is enough?,"S Chaudhuri, R Motwani, V Narasayya",SIGMOD Conference,1998,0
Non-intrusive thermometry in shock layers using multi-line fluorescence imaging,"PC Palma, PM Danehy, AFP Houwing","Proc. 21st Int. Sym. on Shock Waves, Great Keppel Island,  &hellip;,",,Efficient Computation of Iceberg Cubes with Complex Measures,"J Han, J Pei, G Dong, K Wang",SIGMOD Conference,2001,0
On the numerical determination of the dimension of an attractor,F Takens,"Lecture Notes in Mathematics,",1985.0,A Database Platform for Bioinformatics,S Banerjee,VLDB,2000,0
Impurity transport simulation in Radiatively Improved and ITB plasmas in FTU,"L Carraro, M Finkenthal, K Fournier, L Gabellieri, ",,,The GMAP: A Versatile Tool for Physical Data Independence,"O Tsatalos, M Solomon, Y Ioannidis",VLDB,1994,0
Duplicate record elimination in large data files,"D Bitton, DJ DeWitt","ACM Transactions on Database Systems,",1983.0,Object Query Standards,A Wade,SIGMOD Record,1996,0
Knowledge-based geological visualisation using AVS,"IM Brown, MJ Herbert",,,OPTICS: Ordering Points To Identify the Clustering Structure,"M Ankerst, M Breunig, H Kriegel, J Sander",SIGMOD Conference,1999,0
Transport mechanisms in the choroid plexus,M Pollay,"Fed Proc,",1974.0,"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",P Seshadri,SIGMOD Conference,1999,0
At Home in the Universe,S Kauffman,,,"Report on the 10th Conference on Database Systems for Business, Technology, and the Web (BTW 2003)",,,2003,0
Relationship of Success and Expectation to Affect on Goal-Seeking Tasks,EA Locke,"Journal of Personality and Social Psychology,",,Guest Editorial: Databases and the Web,,,2000,0
Extendible hashing---a fast access method for dynamic files,"R Fagin, J Nievergelt, N Pippenger, HR Strong","ACM Transactions on Database Systems,",1979.0,Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,"N Kabra, D DeWitt",SIGMOD Conference,1998,0
LoadBalancingandDataLocalityinHierarchicalN-bodyMethods,"JP Singh, C Holt, T Totsuka, A Gupta, JL Hennessy","Technical Report CSL-TR-92-505, Stanford University,",,Reminiscences on Influential Papers,,,1998,0
Weir,S Reis,"San Diego, California,",,Where Will Object Techonology Drive Data Administration?,A Rosenthal,SIGMOD Record,1998,0
Computer-supported meeting environment for collaborative software development,"E Kuwana, E Yana, Y Sakamoto, Y Nakamura, K  ","Information and Software Technology,",1996.0,Two-Body Job Searches,"M Winslett, X Ma, T Yu",SIGMOD Record,2003,0
"De dynamiek op de arbeidsmarkt in de zorgsector (AMOZ-II), oktober 1996, Æ? 29,--",H Vermeulen,,,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,"S Milliner, A Bouguettaya, M Papazoglou",VLDB,1995,0
On user criteria for data model evaluation,WC McGee,"ACM Transactions on Database Systems,",1976.0,On the Issue of Valid Time(s) in Temporal Databases,"S Kokkotos, E Ioannidis, T Panayiotopoulos, C Spyropoulos",SIGMOD Record,1995,0
A Tool for Vision based Pedestrian Detection Performance Evaluation,"M Bertozzi, A Broggi, P Grisleri, A Tibaldi",,,ProTDB: Probabilistic Data in XML,"A Nierman, H Jagadish",VLDB,2002,0
Querying Web Metadata: Native Score Management and Text Support in Databases,"G Ozsoyoglu, IS Altingovde, A Al-Hamdani, SA Ozel, ","ACM Transactions on Database Systems,",,Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems,"B Berendt, M Spiliopoulou",VLDB J.,2000,0
Estimation of Hydrogen Penetration and Buildup in First Wall Materials of a Fusion Reactor,"IV Al'tovskii, MV Zhuk, VV Pistunovich","At. Energ.,",1987.0,Information Integration and XML in IBM's DB2,P Selinger,VLDB,2002,0
SIGMOD Sister Societies,"S Ceri, LA Kalinichenko, M Kitsuregawa, H Lu, V  ","SIGMOD Record,",2000.0,Analyzing Quantitative Databases: Image is Everything,"A Amir, R Kashi, N Netanyahu",VLDB,2001,0
Spatial watermark for image verification,"MP Queluz, P Lamy","Proc. SPIE,",2000.0,Fast Evaluation Techniques for Complex Similarity Queries,"K Bіhm, M Mlivoncic, H Schek, R Weber",VLDB,2001,0
Denial-of-Service Resilience in Peer-to-Peer File Sharing Systems,"D Dumitriu, E Knightly, A Kuzmanovic, I Stoica, W  ",,,A Probabilistic Relational Model and Algebra,"D Dey, S Sarkar",ACM Trans. Database Syst.,1996,0
Cooperation and Punishment in Groups: Economic Trade-offs,"MD Rutherford, R Kurzban, J Tooby, L Cosmides","&hellip;  paper, University of California, Santa Barbara, CA,",,Mining Frequent Itemsets Using Support Constraints,"K Wang, Y He, J Han",VLDB,2000,0
On Computing Correlated Aggregates over Continual Data Streams Databases,"J Gehrke, F Korn, D Srivastava",Proc. of the 2001 ACM SIGMOD Intl. Conf. on Management of ,,Editorial,,,2002,0
Trees,"Y Gurevich, L Harrington","Automata and Games. Procs 14th ACM STOC,",,StatiX: making XML count,"J Freire, J Haritsa, M Ramanath, P Roy, J Simщon",SIGMOD Conference,2002,0
Spatial search for multicomponent objects in a geographic information system using symbolic models  ,S Menon,,1990.0,Query Processing for High-Volume XML Message Brokering,"Y Diao, M Franklin",VLDB,2003,0
Planning for an Evaluation Network and Institutionalization.,HR Smock,"New Directions for Higher Education,",1982.0,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",,,2000,0
Using Large Data Bases for Interactive Problem Solving,ED Carlson,"VLDB,",,The hyperion project: from data integration to data coordination,"M Arenas, V Kantere, A Kementsietsidis, I Kiringa, R Miller, J Mylopoulos",SIGMOD Record,2003,0
Guest editorial,"F Casati, MC Shan, D Georgakopoulos","The VLDB Journal The International Journal on Very Large  &hellip;,",2001.0,Efficient dynamic mining of constrained frequent sets,"L Lakshmanan, C Leung, R Ng",ACM Trans. Database Syst.,2003,0
Fast Codebook Design for Vector Quantization on Partitioned Space,"S Momose, K Sano, T Nakamura",,,Loading Databases Using Dataflow Parallelism,"T Barclay, R Barnes, J Gray, P Sundaresan",SIGMOD Record,1994,0
Data Constructors: On the Integration ofRules and Relations. In llth Intern,"M Jarke, V Linnemann, JW Schmidt","Conference on Very Large Data Bases, Stockholm,",,DBCache: database caching for web application servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H Pirahesh, B Lindsay, H Woo, L Brown",SIGMOD Conference,2002,0
Pergolide for levodopa-induced complications in Parkinsonâ??s disease,"CE Clarke, JM Speller","Cochrane Database Syst Rev,",2000.0,ACT-NET - The Active Database Management System Manifesto: A Rulebase of ADBMS Features,,SIGMOD Record,1996,0
A Computational Analysis of the Auction Algorithm,BL Schwartz,"Unpublished Manuscript,",,Selective information dissemination in P2P networks: problems and solutions,"M Koubarakis, C Tryfonopoulos, S Idreos, Y Drougas",SIGMOD Record,2003,0
M&amp;M-Query: Database support for the annotation and retrieval of biological research articles,"K Baclawski, N Fridman","Proc. ACM SIGMOD Conference,",1993.0,Semantic Data Caching and Replacement,"S Dar, M Franklin, B Jѓnsson, D Srivastava, M Tan",VLDB,1996,0
Digital Image Restoration: A survey,HC Andrews,"IEEE Computer,",,Storage Service Providers: a Solution for Storage Management? (Panel),"B жzden, E Gabber, B Hillyer, W Ng, E Shriver, D DeWitt, B Gordon, J Gray, J Wilkes",VLDB,2001,0
Crosscorrelation properties of pseudorandom and related sequences,"DV Sarwate, MB Pursley","Proc. IEEE,",,The LyriC Language: Querying Constraint Objects,"A Brodsky, Y Kornatzky",SIGMOD Conference,1995,0
Designing qosmic: A quality of service sensitive multicast internet protocol,"A Banerjea, M Faloutsos, R Pankaj",Proceedings of ACM,,A Raster Approximation For Processing of Spatial Joins,"G Zimbrao, J Souza",VLDB,1998,0
"The History of the National Bank of Greece, 1842-1902",JA Valaoritis,,1902.0,Distributed Top-K Monitoring,"B Babcock, C Olston",SIGMOD Conference,2003,0
Algorithms for cochannel source separation and signal estimation,A Mathur,,1996.0,Sequence Query Processing,"P Seshadri, M Livny, R Ramakrishnan",SIGMOD Conference,1994,0
A Content-Based Multimedia Server for Massively Parallel Architectures,"WO'Connell, IT Ieong, D Schrader, C Watson, G Au,  ","SIGMOD Conference,",,Continuously adaptive continuous queries over streams,"S Madden, M Shah, J Hellerstein, V Raman",SIGMOD Conference,2002,0
"Shihab Shamma Neural Systems Laboratory, Electrical and Computer Engineering, University of Maryland ","M Elhilali, JB Fritz, DJ Klein, J Simon",,,Chair's Message,,,2002,0
Executable Specifications of C++ Classes,"S Kamin, T Kraus","submitted for publication,",,TAM: A System for Dynamic Transactional Activity Management,"T Zhou, L Liu, C Pu",SIGMOD Conference,1999,0
Multidatabase interoperability in the Jupiter system,"J Murphy, J Grimson","Information and Software Technology,",1995.0,CMVF: A Novel Dimension Reduction Scheme for Efficient Indexing in A Large Image Database,"J Shen, A Ngu, J Shepherd, D Huynh, Q Sheng",SIGMOD Conference,2003,0
Environmental Adult Education: Critique and Creativity in a Globalizing World,DE Clover,"New Directions for Adult and Continuing Education,",2003.0,XML-Based Information Mediation with MIX,"C Baru, A Gupta, B Ludфscher, R Marciano, Y Papakonstantinou, P Velikhov, V Chu",SIGMOD Conference,1999,0
Probability fusion for correlated multimedia streams,"PK Atrey, MS Kankanhalli","Proceedings of the 12th annual ACM international conference  &hellip;,",2004.0,Efficient and Extensible Algorithms for Multi Query Optimization,"P Roy, S Seshadri, S Sudarshan, S Bhobe",SIGMOD Conference,2000,0
The Impact of CASE on IS Professionals' Work and Motivation to Use CASE,"J Iivari, J Maansaari",,,"Title, Foreword",,,1994,0
A framework for opportunistic scheduling in wireless networks,"X Liu, EKP Chong, NB Shroff","Computer Networks,",2003.0,Interviewing During a Tight Job Market,,,2002,0
Advances in Inorganic Chemistry and Radiochemistry,"G HARBOTTLE, N Sutin",,,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"G Dong, J Su",SIGMOD Record,2000,0
The Active Information System: A Data-Driven System for the Analysis of Imprecise Data,CA Montgomery,,,The Zero Latency Enterprise,D Liles,VLDB,2000,0
"Geography, Trade and Growth: Problems and Possibilities for the New Zealand Economy",P McCann,,,Selective information dissemination in P2P networks: problems and solutions,"M Koubarakis, C Tryfonopoulos, S Idreos, Y Drougas",SIGMOD Record,2003,0
Understanding and using the Implicit Association Test: II. Methodological issues,"BA Nosek, AG Greenwald, MR Banaji","Unpublished manuscript,",,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,"M Garofalakis, B жzden, A Silberschatz",VLDB,1997,0
"Gain measurements in optically pumped, far-infrared laser media","A Semet, S Obenschain, NC Luhmann Jr","&hellip;  on Infrared Physics, Zurich, Switzerland, Aug. 11-15, 1975. &hellip;,",1976.0,Transaction Timestamping in (Temporal) Databases,"C Jensen, D Lomet",VLDB,2001,0
High-Speed Data Paths in Host-Based Routers,"S Walton, A Hutton, J Touch","IEEE Computer,",1998.0,A Conceptual Architecture for Semantic Web Enabled Web Services,"C Bussler, D Fensel, A Maedche",SIGMOD Record,2002,0
Decisional balance measure for assessing and predicting smoking status,"WF Velicer, CC DiClemente, JO Prochaska, N  ","Journal of Personality and Social Psychology,",1985.0,An Effective Hash Based Algorithm for Mining Association Rules,"J Park, M Chen, P Yu",SIGMOD Conference,1995,0
A Tool for Vision based Pedestrian Detection Performance Evaluation,"M Bertozzi, A Broggi, P Grisleri, A Tibaldi",,,A System for Keyword Proximity Search on XML Databases,"A Balmin, V Hristidis, N Koudas, Y Papakonstantinou, D Srivastava, T Wang",VLDB,2003,0
"Innovative methods for installing fiber optic ED AREAS IN COMMUNICATIONS, VOL. SAC-1, NO. 3, APRIL  ",JB Masterson,Proc. 29th Int. Wire Cuble,,DTL's DataSpot: Database Exploration Using Plain Language,"S Dar, G Entin, S Geva, E Palmon",VLDB,1998,0
"J., Matthews, RS &amp; Smith, B",FMG Gabelnick,L.â??New Directions for Teaching and Learning:,,Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases,"R Braumandl, J Clauпen, A Kemper",VLDB,1998,0
Immunogold localization of callose and other cell wall components in pea nodule transfer cells,"P Dahiya, NJ Brewin","Protoplasma,",2000.0,The SDSS skyserver: public access to the sloan digital sky server data,"A Szalay, J Gray, A Thakar, P Kunszt, T Malik, J Raddick, C Stoughton, J vandenBerg",SIGMOD Conference,2002,0
The Garlic project - group of 2 &raquo;,"MT Roth, M Arya, L Haas, M Carey, W Cody, R Fagin, ","Proceedings of the 1996 ACM SIGMOD international conference  &hellip;,",1996.0,Unpacking The Semantics of Source and Usage To Perform Semantic Reconciliation In Large-Scale Information Systems,"K Smith, L Obrst",SIGMOD Record,1999,0
Flow graph machine models in microcode synthesis,"RA Mueller, J Varghese","ACM SIGMICRO Newsletter,",1983.0,Analysis of existing databases at the logical level: the DBA companion project,"F Marchi, S Lopes, J Petit, F Toumani",SIGMOD Record,2003,0
Standardising and validating high spatial resolution satellite data in the Kalahari rangelands of  ,OP Dube,"Proc 28th Int Symp Rem Sens and 3rd Symp Afr Assoc Rem Sens  &hellip;,",,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"E Agichtein, L Gravano, J Pavel, V Sokolova, A Voskoboynik",SIGMOD Conference,2001,0
Fourth International Conference on Infrared Physics(CIRP 4),"FK Kneubuhl, TS Moss","Zurich, Switzerland, 22-26 Aug. 1988,",1988.0,Data Management Research at The MITRE Corporation,"A Rosenthal, L Seligman, C McCollum, B Blaustein, B Thuraisingham, E Lafferty",SIGMOD Record,1995,0
Use of hematocrit changes as an indicator of blood loss in adult trauma patients who receive  ,KS Oman,"JOURNAL OF EMERGENCY NURSING,",1995.0,Editor's Notes,M Franklin,SIGMOD Record,2000,0
In Uncertainty in Artificial Intelligence,J Suzuki,"Proceedings of the Ninth Conference, Heckerman,",,Introduction (Special Issue on Multimedia Databases),"M жzsu, S Christodoulakis",VLDB J.,1998,0
Reasoning and inference in spatial knowledge acquisition: The cognitive map as an internalized GIS,"RG Golledge, S Bell, VJ Dougherty","Annual Conference of the Association of American Geographers &hellip;,",,An Experimental System for Object-Based Sharing in Federated Databases,"D Fang, S Ghandeharizadeh",VLDB J.,1996,0
"Kweelt: More than just â??yet another framework to query XML!â??, SIGMOD demonstration session,  ",A Sahuguet,,,Orthogonal Optimization of Subqueries and Aggregation,"C Galindo-Legaria, M Joshi",SIGMOD Conference,2001,0
Recruitment and retention of women graduate students in computer science and engineering: results of ,"J Cuny, W Aspray",,,Web Services (Industrial Session),F Cabrera,VLDB,2003,0
Removal of NO x by corona discharge induced by sharp rising nanosecond pulse voltage,"S Masuda, Y Wu","Proc Int Conf Electrostatics, Oxford,",,The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS,"Y Shyy, J Arroyo, S Su, H Lam",VLDB J.,1996,0
Effficient importance sampling for Monte Carlo evaluation of exceedance probabilities,"HP Chan, TL Lai",,2004.0,Performance Measurements of Tertiary Storage Devices,"T Johnson, E Miller",VLDB,1998,0
Nested Relation Based Database Knowledge Representation,"Q Chen, Y Kambayashi",,,PBIR - Perception-Based Image Retrieval,"E Chang, T Cheng, L Chang",SIGMOD Conference,2001,0
Energy Dissipation in Multichromophoric Single Dendrimers,"FC De Schryver, T Vosch, M Cotlet, M Van der  ","Acc. Chem. Res,",2005.0,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,M Lesk,VLDB,1994,0
A Case Study in the Development of Customer Care: Concept and Solution,"CG Wolf, A Lee, M Touma, S Daijavad","Submitted for publication,",,Winnowing: Local Algorithms for Document Fingerprinting,"S Schleimer, D Wilkerson, A Aiken",SIGMOD Conference,2003,0
"The Component Attenuation Model for Low and Moderate Seismic Regions, Procs. of the 2003 Pacific  ","NTK Lam, JL Wilson","Procs. of the 2003 Pacific Conference on Earthquake  &hellip;,",,The Prototype of the DARE System,"T Catarci, G Santucci",SIGMOD Conference,2001,0
Greedy Perimeter Stateless Routing,"B Karp, H Kung",Proceedings of ACM Conf. on Mobile Computing and Networking ,,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"V Hristidis, N Koudas, Y Papakonstantinou",SIGMOD Conference,2001,0
Educational therapy.,J Hellmuth,,1966.0,Profiling and Internet Connectivity in Automotive Environments,"M Cilia, P Hasselmayer, A Buchmann",VLDB,2002,0
"Opening Doors: Students' Perspectives on Juggling Work, Family, and College.","L Matus-Grossman, S Gooden",,2002.0,Semantic Interoperability in Information Services: Experiencing with CoopWARE,A Gal,SIGMOD Record,1999,0
"Design multicast protocols for non-cooperative networks, 2004","W Wang, XY Li, Z Sun",Submitted for,,Indexing of now-relative spatio-bitemporal data,"S Saltenis, C Jensen",VLDB J.,2002,0
A History of System R and SQL/Data System (Invited Paper),"DD Chamberlin, AM Gilbert, RA Yost","VLDB,",,Push Technology Personalization through Event Correlation,"A Adi, D Botzer, O Etzion, T Yatzkar-Haham",VLDB,2000,0
The real state of software quality-practitioners' experiences,"T Hall, DN Wilson","SOFTWARE QUALITY MANAGEMENT-INTERNATIONAL CONFERENCE-,",1997.0,Pixel-oriented Database Visualizations,D Keim,SIGMOD Record,1996,0
Connectivity-Based Garbage Collection,"M Hirzel, A Diwan, M Hertz",,,Mining Frequent Patterns without Candidate Generation,"J Han, J Pei, Y Yin",SIGMOD Conference,2000,0
Databases for Networks,HV Jagadish,"SIGMOD Conference,",1994.0,Rainbow: Distributed Database System for Classroom Education and Experimental Research,"A Helal, H Li",VLDB,2000,0
Gibbs. Concurrency control in groupware systems,"CA Ellis, J Simon","SIGMOD Conference,",,Business-to-business interactions: issues and enabling technologies,"B Medjahed, B Benatallah, A Bouguettaya, A Ngu, A Elmagarmid",VLDB J.,2003,0
Investigating the response of offshore foundations in soft clay soils,"BW Byrne, MJ Cassidy",,,DBCache: database caching for web application servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H Pirahesh, B Lindsay, H Woo, L Brown",SIGMOD Conference,2002,0
Antibiotics for preventing recurrent urinary tract infection in non-pregnant women,"X Albert, I Huertas, II Pereiro, J Sanfelix, V  ","Cochrane Database Syst Rev,",2004.0,The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,"J Ambite, C Knoblock, M Kolahdouzan, M Muslea, C Shahabi, S Thakkar",VLDB,2001,0
"Indigenous forest-dwelling communities in Indonesiaâ??s outer islands: livelihood, rights, and  ",C Zerner,"Unpublished manuscript,",,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",U Dayal,VLDB,1999,0
Learning literacy through play: Puerto Rican kindergarten children,E Jacob,"Awakening to literacy,",,"Set Containment Joins: The Good, The Bad and The Ugly","K Ramasamy, J Patel, J Naughton, R Kaushik",VLDB,2000,0
Distributed Detection by a Large Number of sensors in Tandem,"JD Papastavrou, M Athans",Proc. 29th IEEE Conf: Decision and,,The Software Information Base: A Server for Reuse,"P Constantopoulos, M Jarke, J Mylopoulos, Y Vassiliou",VLDB J.,1995,0
THE SEARCH FOR THE STANDARD MODEL HIGGS BOSON AT ALEPH,PA MCNAMARA III,,2001.0,Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95),,,1996,0
"Bacterial abundance, activity, and diversity at extremely cold temperatures in Arctic sea ice [Ph. D ",K Junge,"University of Washington, Seattle,",,Incremental Maintenance of Externally Materialized Views,"M Staudt, M Jarke",VLDB,1996,0
Generation of slow inhibitory and excitatory postsynaptic potentials,B Libet,"Fed Proc,",1970.0,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,"J Flokstra, M Keulen, J Skowronek",SIGMOD Conference,1994,0
An Internet-Based Negotiation Server for E-Commerce,"Y Stanley, H Chunbo, H JOACHIMâ?¦","Very LArge Data Bases J,",,Editor's Notes,M Franklin,SIGMOD Record,1999,0
Antibiotics for treating scrub typhus,"R Panpanich, P Garner","Cochrane Database Syst Rev,",2002.0,S3: Similarity Search in CAD Database Systems,"S Berchtold, H Kriegel",SIGMOD Conference,1997,0
The controlling in Logistic Projects,FAD SÃ¡ndor,"International Conference on Management, Enterprises and  &hellip;,",,An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,"J Domingo-Ferrer, J Herrera-Joancomartэ",SIGMOD Record,1998,0
"New York, NY, 1991",I Dekker,,,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,"L Golab, M жzsu",VLDB,2003,0
Provisions and Obligations in Policy Rule Management,"C Bettini, S Jajodia, XS Wang, D Wijesekera","Journal of Network and Systems Management,",2003.0,Fractal prefetching BБTrees: optimizing both cache and disk performance,"S Chen, P Gibbons, T Mowry, G Valentin",SIGMOD Conference,2002,0
Rewiring techniques for deep submicron design closure,CW Chang,,2001.0,Schema-driven Customization of Web Services,"S Abiteboul, B Amann, J Baumgarten, O Benjelloun, F Ngoc, T Milo",VLDB,2003,0
Microsoft Visual C++ owner's manual version 5.0,B Zaratian,"Microsoft Programming Series,",1997.0,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),"M Livny, R Ramakrishnan, K Beyer, G Chen, D Donjerkovic, S Lawande, J Myllymaki, R Wenger",SIGMOD Conference,1997,0
Parallel Data Mining for Association Rules on Shared-memory Systems,"MJ ZAKI, S PARTHASARATHY, M OGIHARA","Data Mining and Knowledge Discovery,",1998.0,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,"R Goldman, J Widom",VLDB,1997,0
Hyattsville,MVS REPORT,"Md,",,"Don't Be Lazy, Be Consistent: Postgres-R, A New Way to Implement Database Replication","B Kemme, G Alonso",VLDB,2000,0
Report on l irst International Workshop on Real-Time Database Systems,S Son,"SIGMOD Record,",1996.0,Modularization Techniques for Active Rules Design,"E Baralis, S Ceri, S Paraboschi",ACM Trans. Database Syst.,1996,0
Pull for Data Broadcast,"S Acharya, M Franklin, S Zdonik, B Push","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",,The SIFT Information Dissemination System,"T Yan, H Garcia-Molina",ACM Trans. Database Syst.,1999,0
Object reusability: the making of data management,M Fowles,"Conference proceedings on Data Management 91 table of  &hellip;,",1992.0,Very Large Databases in a Commercial Application Environment,K Hess,VLDB,1996,0
Promoting Deep and Durable Learning in the Online Classroom,"DJ Hacker, DS Niederhauser","New Directions for Teaching and Learning,",2000.0,Type-Checking OQL Queries In the ODMG Type Systems,S Alagic,ACM Trans. Database Syst.,1999,0
,,,,Focused Crawling Using Context Graphs,"M Diligenti, F Coetzee, S Lawrence, C Giles, M Gori",VLDB,2000,0
Binary membrane structure in chloroplast lamellae,CJ Arntzen,,1970.0,"High-Performance and Scalability through Application Tier,In-Memory Data Management",,VLDB,2000,0
