Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Switching to Learn,"Shahin Shahrampour, Mohammad Amin Rahimian, Ali Jadbabaie","11 March, 2015",,On the Local Hessian in Back-propagation,"Huishuai Zhang, Wei Chen, Tie-Yan Liu",December 2018,Neurips 2018,0
Algorithms for nonnegative matrix factorization with the beta-divergence,"Cdric Fvotte, Jrme Idier","8 March, 2011",,Hierarchical Modular Optimization of Convolutional Networks Achieves Representations Similar to Macaque IT and Human Ventral Stream,"Daniel L. Yamins, Ha Hong, Charles Cadieu, James J. DiCarlo",December 2013,Neurips 2013,0
Stochastic Divergence Minimization for Biterm Topic Model,"Zhenghang Cui, Issei Sato, Masashi Sugiyama","30 April, 2017",,Newtron: an Efficient Bandit algorithm for Online Multiclass Prediction,"Elad Hazan, Satyen Kale",December 2011,Neurips 2011,0
Efficient classification using parallel and scalable compressed model and Its application on intrusion detection,"Tieming Chen, Xu Zhang, Shichao Jin, Okhee Kim","14 May, 2014",,Transelliptical Graphical Models,"Han Liu, Fang Han, Cun-hui Zhang",December 2012,Neurips 2012,0
Formal Limitations on the Measurement of Mutual Information,"David McAllester, Karl Stratos","2 January, 2019",,Robust Subspace Approximation in a Stream,"Roie Levin, Anish Prasad Sevekari, David Woodruff",December 2018,Neurips 2018,0
AAANE: Attention-based Adversarial Autoencoder for Multi-scale Network Embedding,"Lei Sang, Min Xu, Shengsheng Qian, Xindong Wu","24 March, 2018",,Learning Linear Dynamical Systems via Spectral Filtering,"Elad Hazan, Karan Singh, Cyril Zhang",December 2017,Neurips 2017,0
Learning Multiscale Features Directly From Waveforms,"Zhenyao Zhu, Jesse H. Engel, Awni Hannun","5 April, 2016",,Thy Friend is My Friend: Iterative Collaborative Filtering for Sparse Matrix Estimation,"Christian Borgs, Jennifer Chayes, Christina E. Lee, Devavrat Shah",December 2017,Neurips 2017,0
Non-Stationary Streaming PCA,"Daniel Bienstock, Apurv Shukla, SeYoung Yun","30 March, 2019",,Phoneme Recognition with Large Hierarchical Reservoirs,"Fabian Triefenbach, Azarakhsh Jalalvand, Benjamin Schrauwen, Jean-pierre Martens",December 2010,Neurips 2010,0
Lifelong Federated Reinforcement Learning: A Learning Architecture for Navigation in Cloud Robotic Systems,"Boyi Liu, Lujia Wang, Ming Liu, Chengzhong Xu","25 March, 2019",,Is Input Sparsity Time Possible for Kernel Low-Rank Approximation?,"Cameron Musco, David Woodruff",December 2017,Neurips 2017,0
Finite-Sample Analyses for Fully Decentralized Multi-Agent Reinforcement Learning,"Kaiqing Zhang, Zhuoran Yang, Han Liu, Tong Zhang, Tamer Ba?ar","26 January, 2019",,On the Recursive Teaching Dimension of VC Classes,"Xi Chen, Xi Chen, Yu Cheng, Bo Tang",December 2016,Neurips 2016,0
Enabling FDD Massive MIMO through Deep Learning-based Channel Prediction,"Maximilian Arnold, Sebastian Drner, Sebastian Cammerer, Sarah Yan, Jakob Hoydis, Stephan ten Brink","8 January, 2019",,3D Social Saliency from Head-mounted Cameras,"Hyun S. Park, Eakta Jain, Yaser Sheikh",December 2012,Neurips 2012,0
Infinitely imbalanced binomial regression and deformed exponential families,Tomonari Sei,"21 April, 2013",,"How hard is my MDP?"" The distribution-norm to the rescue""","Odalric-Ambrym Maillard, Timothy A. Mann, Shie Mannor",December 2014,Neurips 2014,0
Interaction Pursuit with Feature Screening and Selection,"Yingying Fan, Yinfei Kong, Daoji Li, Jinchi Lv","28 May, 2016",,RenderNet: A deep convolutional network for differentiable rendering from 3D shapes,"Thu H. Nguyen-Phuoc, Chuan Li, Stephen Balaban, Yongliang Yang",December 2018,Neurips 2018,0
Deep Learning Methods for Efficient Large Scale Video Labeling,"Miha Skalic, Marcin Pekalski, Xingguo E. Pan","14 June, 2017",,Learning User Perceived Clusters with Feature-Level Supervision,"Ting-Yu Cheng, Guiguan Lin, xinyang gong, Kang-Jun Liu, Shan-Hung Wu",December 2016,Neurips 2016,0
Stochastic Variance Reduction for Nonconvex Optimization,"Sashank J. Reddi, Ahmed Hefny, Suvrit Sra, Barnabas Poczos, Alex Smola","4 April, 2016",,Expressive Power and Approximation Errors of Restricted Boltzmann Machines,"Guido F. Montufar, Johannes Rauh, Nihat Ay",December 2011,Neurips 2011,0
Dynamic Multi-Relational Chinese Restaurant Process for Analyzing Influences on Users in Social Media,"Himabindu Lakkaraju, Indrajit Bhattacharya, Chiranjib Bhattacharyya","7 May, 2012",,Weighted Likelihood Policy Search with Model Selection,"Tsuyoshi Ueno, Kohei Hayashi, Takashi Washio, Yoshinobu Kawahara",December 2012,Neurips 2012,0
Rapid Prediction of Electron-Ionization Mass Spectrometry using Neural Networks,"Jennifer N. Wei, David Belanger, Ryan P. Adams, D. Sculley","17 March, 2019",,Toward Robustness against Label Noise in Training Deep Discriminative Neural Networks,Arash Vahdat,December 2017,Neurips 2017,0
Optimal Completion Distillation for Sequence Learning,"Sara Sabour, William Chan, Mohammad Norouzi","14 January, 2019",,Biclustering Using Message Passing,"Luke O'Connor, Soheil Feizi",December 2014,Neurips 2014,0
Quantum machine learning with glow for episodic tasks and decision games,"Jens Clausen, Hans J. Briegel","27 January, 2016","Phys. Rev. A 97, 022303 (2018)",Bayesian optimization for automated model selection,"Gustavo Malkomes, Charles Schaff, Roman Garnett",December 2016,Neurips 2016,0
KeyIn: Discovering Subgoal Structure with Keyframe-based Video Prediction,"Karl Pertsch, Oleh Rybkin, Jingyun Yang, Kosta Derpanis, Joseph Lim, Kostas Daniilidis, Andrew Jaegle","11 April, 2019",,Factorized Latent Spaces with Structured Sparsity,"Yangqing Jia, Mathieu Salzmann, Trevor Darrell",December 2010,Neurips 2010,0
Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis,"Jimei Yang, Scott Reed, Ming-Hsuan Yang, Honglak Lee","4 January, 2016",,Re-evaluating evaluation,"David Balduzzi, Karl Tuyls, Julien Perolat, Thore Graepel",December 2018,Neurips 2018,0
Second Rethinking of Network Pruning in the Adversarial Setting,"Shaokai Ye, Kaidi Xu, Sijia Liu, Hao Cheng, Jan-Henrik Lambrechts, Huan Zhang, Aojun Zhou, Kaisheng Ma, Yanzhi Wang, Xue Lin","29 March, 2019",,Generative Shape Models: Joint Text Recognition and Segmentation with Very Little Training Data,"Xinghua Lou, Ken Kansky, Wolfgang Lehrach, CC Laan, Bhaskara Marthi, D. Phoenix, Dileep George",December 2016,Neurips 2016,0
Riemannian stochastic variance reduced gradient,"Hiroyuki Sato, Hiroyuki Kasai, Bamdev Mishra","10 April, 2017",,Learning the context of a category,Dan Navarro,December 2010,Neurips 2010,0
A Statistical Learning Approach to Modal Regression,"Yunlong Feng, Jun Fan, Johan A. K. Suykens","8 March, 2017",,Automatic Neuron Detection in Calcium Imaging Data Using Convolutional Networks,"Noah Apthorpe, Alexander Riordan, Robert Aguilar, Jan Homann, Yi Gu, David Tank, H. Sebastian Seung",December 2016,Neurips 2016,0
The Structure Transfer Machine Theory and Applications,"Baochang Zhang, Lian Zhuo, Ze Wang, Jungong Han, Xiantong Zhen","31 March, 2018",,Sparse Filtering,"Jiquan Ngiam, Zhenghao Chen, Sonia A. Bhaskar, Pang W. Koh, Andrew Y. Ng",December 2011,Neurips 2011,0
Analysis of Distributed Stochastic Dual Coordinate Ascent,"Tianbao Yang, Shenghuo Zhu, Rong Jin, Yuanqing Lin","23 March, 2014",,Learning Kernels Using Local Rademacher Complexity,"Corinna Cortes, Marius Kloft, Mehryar Mohri",December 2013,Neurips 2013,0
Convex Optimization for Linear Query Processing under Approximate Differential Privacy,"Ganzhao Yuan, Yin Yang, Zhenjie Zhang, Zhifeng Hao","16 May, 2016",,Top-Down Regularization of Deep Belief Networks,"Hanlin Goh, Nicolas Thome, Matthieu Cord, Joo-Hwee Lim",December 2013,Neurips 2013,0
Scalable Kernel Clustering: Approximate Kernel k-means,"Radha Chitta, Rong Jin, Timothy C. Havens, Anil K. Jain","16 February, 2014",,Deep Predictive Coding Network with Local Recurrent Processing for Object Recognition,"Kuan Han, Haiguang Wen, Yizhen Zhang, Di Fu, Eugenio Culurciello, Zhongming Liu",December 2018,Neurips 2018,0
Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,"Rad Niazadeh, Tim Roughgarden, Joshua R. Wang","23 May, 2018",,Neural Program Meta-Induction,"Jacob Devlin, Rudy R. Bunel, Rishabh Singh, Matthew Hausknecht, Pushmeet Kohli",December 2017,Neurips 2017,0
Generalization Error Bounds with Probabilistic Guarantee for SGD in Nonconvex Optimization,"Yi Zhou, Yingbin Liang, Huishuai Zhang","6 March, 2019",,Cyclades: Conflict-free Asynchronous Machine Learning,"Xinghao Pan, Maximilian Lam, Stephen Tu, Dimitris Papailiopoulos, Ce Zhang, Michael I. Jordan, Kannan Ramchandran, Christopher R",December 2016,Neurips 2016,0
Estimating Time-varying Brain Connectivity Networks from Functional MRI Time Series,"Ricardo Pio Monti, Peter Hellyer, David Sharp, Robert Leech, Christoforos Anagnostopoulos, Giovanni Montana","13 April, 2014",,Greedy Feature Construction,"Dino Oglic, Thomas Grtner",December 2016,Neurips 2016,0
Size-Independent Sample Complexity of Neural Networks,"Noah Golowich, Alexander Rakhlin, Ohad Shamir","6 June, 2018",,Neural representation of action sequences: how far can a simple snippet-matching model take us?,"Cheston Tan, Jedediah M. Singer, Thomas Serre, David Sheinberg, Tomaso Poggio",December 2013,Neurips 2013,0
A Probabilistic Adaptive Search System for Exploring the Face Space,"Andres G. Abad, Luis I. Reyes Castro","28 April, 2016",,Equilibrated adaptive learning rates for non-convex optimization,"Yann Dauphin, Harm de Vries, Yoshua Bengio",December 2015,Neurips 2015,0
"Momentum and Stochastic Momentum for Stochastic Gradient, Newton, Proximal Point and Subspace Descent Methods","Nicolas Loizou, Peter Richtrik","28 March, 2018",,Neural Guided Constraint Logic Programming for Program Synthesis,"Lisa Zhang, Gregory Rosenblatt, Ethan Fetaya, Renjie Liao, William Byrd, Matthew Might, Raquel Urtasun, Richard Zemel",December 2018,Neurips 2018,0
Exploration--Exploitation in MDPs with Options,"Ronan Fruit, Alessandro Lazaric","17 April, 2017",,Matrix Manifold Optimization for Gaussian Mixtures,"Reshad Hosseini, Suvrit Sra",December 2015,Neurips 2015,0
"Some results on a $?$-divergence, an~extended~Fisher information and~generalized~Cramr-Rao inequalities",Jean-Franois Bercher,"27 May, 2013","Geometric Sciences of Information, Paris : France (2013)",Infinite Latent SVM for Classification and Multi-task Learning,"Jun Zhu, Ning Chen, Eric P. Xing",December 2011,Neurips 2011,0
Randomized Sketches of Convex Programs with Sharp Guarantees,"Mert Pilanci, Martin J. Wainwright","28 April, 2014",,The Local Rademacher Complexity of Lp-Norm Multiple Kernel Learning,"Marius Kloft, Gilles Blanchard",December 2011,Neurips 2011,0
ZigZag: A new approach to adaptive online learning,"Dylan J. Foster, Alexander Rakhlin, Karthik Sridharan","13 April, 2017",,Geometry-Aware Recurrent Neural Networks for Active Visual Recognition,"Ricson Cheng, Ziyan Wang, Katerina Fragkiadaki",December 2018,Neurips 2018,0
Crowdsourcing with Sparsely Interacting Workers,"Yao Ma, Alex Olshevsky, Venkatesh Saligrama, Csaba Szepesvari","20 June, 2017",,Pixels to Graphs by Associative Embedding,"Alejandro Newell, Jia Deng",December 2017,Neurips 2017,0
Discretization of Temporal Data: A Survey,"P. Chaudhari, D. P. Rana, R. G. Mehta, N. J. Mistry, M. M. Raghuwanshi","18 February, 2014","International Journal of Computer Science and Information Security (IJCSIS), ISSN:1947-5500, Vol. 11, No. 2",On the Fine-Grained Complexity of Empirical Risk Minimization: Kernel Methods and Neural Networks,"Arturs Backurs, Piotr Indyk, Ludwig Schmidt",December 2017,Neurips 2017,0
Towards Self-Supervised High Level Sensor Fusion,"Qadeer Khan, Torsten Schn, Patrick Wenzel","12 February, 2019",,Online Convex Optimization with Stochastic Constraints,"Hao Yu, Michael Neely, Xiaohan Wei",December 2017,Neurips 2017,0
Experimentally detecting a quantum change point via Bayesian inference,"Shang Yu, Chang-Jiang Huang, Jian-Shun Tang, Zhih-Ahn Jia, Yi-Tao Wang, Zhi-Jin Ke, Wei Liu, Xiao Liu, Zong-Quan Zhou, Ze-Di Cheng, Jin-Shi Xu, Yu-Chun Wu, Yuan-Yuan Zhao, Guo-Yong Xiang, Chuan-Feng Li, Guang-Can Guo, Gael Sents, Ramon Muoz-Tapia","23 January, 2018","Phys. Rev. A 98, 040301(R) (2018)",State Aware Imitation Learning,"Yannick Schroecker, Charles L. Isbell",December 2017,Neurips 2017,0
Decentralized learning with budgeted network load using Gaussian copulas and classifier ensembles,"John Klein, Mahmoud Albardan, Benjamin Guedj, Olivier Colot","26 April, 2018",,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Marco Cuturi,December 2013,Neurips 2013,0
On the Approximation Properties of Neural Networks,"Jonathan W. Siegel, Jinchao Xu","3 April, 2019",,Recurrent Models of Visual Attention,"Volodymyr Mnih, Nicolas Heess, Alex Graves, koray kavukcuoglu",December 2014,Neurips 2014,0
Deep Clustering and Conventional Networks for Music Separation: Stronger Together,"Yi Luo, Zhuo Chen, John R. Hershey, Jonathan Le Roux, Nima Mesgarani","15 June, 2017",,Online L1-Dictionary Learning with Application to Novel Document Detection,"Shiva P. Kasiviswanathan, Huahua Wang, Arindam Banerjee, Prem Melville",December 2012,Neurips 2012,0
Value Iteration Networks,"Aviv Tamar, Yi Wu, Garrett Thomas, Sergey Levine, Pieter Abbeel","20 March, 2017","Advances in Neural Information Processing Systems 29 pages 2154--2162, 2016",Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization,"Mark Schmidt, Nicolas L. Roux, Francis R. Bach",December 2011,Neurips 2011,0
Self-Weighted Multiview Metric Learning by Maximizing the Cross Correlations,"Huibing Wang, Jinjia Peng, Xianping Fu","18 March, 2019",,The streaming rollout of deep networks - towards fully model-parallel execution,"Volker Fischer, Jan Koehler, Thomas Pfeil",December 2018,Neurips 2018,0
Separable Dictionary Learning,"Simon Hawe, Matthias Seibert, Martin Kleinsteuber","21 March, 2013",,A Computational Decision Theory for Interactive Assistants,"Alan Fern, Prasad Tadepalli",December 2010,Neurips 2010,0
Performance Analysis and Dynamic Evolution of Deep Convolutional Neural Network for Nonlinear Inverse Scattering,"Lianlin Li, Long Gang Wang, Fernando L. Teixeira","9 January, 2019",,Working hard to know your neighbor's margins: Local descriptor learning loss,"Anastasiia Mishchuk, Dmytro Mishkin, Filip Radenovic, Jiri Matas",December 2017,Neurips 2017,0
Removing Algorithmic Discrimination (With Minimal Individual Error),"El Mahdi El Mhamdi, Rachid Guerraoui, L Nguyn Hoang, Alexandre Maurer","7 June, 2018",,Principal Geodesic Analysis for Probability Measures under the Optimal Transport Metric,"Vivien Seguy, Marco Cuturi",December 2015,Neurips 2015,0
Adversarial Active Learning for Deep Networks: a Margin Based Approach,"Melanie Ducoffe, Frederic Precioso","27 February, 2018",,Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization,"Mark Schmidt, Nicolas L. Roux, Francis R. Bach",December 2011,Neurips 2011,0
Doubly Decomposing Nonparametric Tensor Regression,"Masaaki Imaizumi, Kohei Hayashi","8 March, 2016",,Synthesis of MCMC and Belief Propagation,"Sung-Soo Ahn, Michael Chertkov, Jinwoo Shin",December 2016,Neurips 2016,0
On stochastic gradient Langevin dynamics with dependent data streams in the logconcave case,"M. Barkhagen, N. H. Chau, . Moulines, M. Rsonyi, S. Sabanis, Y. Zhang","25 March, 2019",,Exploiting spatial overlap to efficiently compute appearance distances between image windows,"Bogdan Alexe, Viviana Petrescu, Vittorio Ferrari",December 2011,Neurips 2011,0
Verifying Properties of Binarized Deep Neural Networks,"Nina Narodytska, Shiva Prasad Kasiviswanathan, Leonid Ryzhyk, Mooly Sagiv, Toby Walsh","31 May, 2018",,Bipartite Stochastic Block Models with Tiny Clusters,Stefan Neumann,December 2018,Neurips 2018,0
Machine Learning for Indoor Localization Using Mobile Phone-Based Sensors,"David Mascharka, Eric Manley","22 May, 2015",,Coding efficiency and detectability of rate fluctuations with non-Poisson neuronal firing,Shinsuke Koyama,December 2012,Neurips 2012,0
Joint Estimation and Inference for Data Integration Problems based on Multiple Multi-layered Gaussian Graphical Models,"Subhabrata Majumdar, George Michailidis","8 March, 2018",,Sanity Checks for Saliency Maps,"Julius Adebayo, Justin Gilmer, Michael Muelly, Ian Goodfellow, Moritz Hardt, Been Kim",December 2018,Neurips 2018,0
Iterative Least Trimmed Squares for Mixed Linear Regression,"Yanyao Shen, Sujay Sanghavi","10 February, 2019",,Removing the Feature Correlation Effect of Multiplicative Noise,"Zijun Zhang, Yining Zhang, Zongpeng Li",December 2018,Neurips 2018,0
Graph Structure Learning from Unlabeled Data for Event Detection,"Sriram Somanchi, Daniel B. Neill","5 January, 2017",,Cooperative neural networks (CoNN): Exploiting prior independence structure for improved classification,"Harsh Shrivastava, Eugene Bart, Bob Price, Hanjun Dai, Bo Dai, Srinivas Aluru",December 2018,Neurips 2018,0
Single-Forward-Step Projective Splitting: Exploiting Cocoercivity,"Patrick R. Johnstone, Jonathan Eckstein","24 February, 2019",,Simultaneous Sampling and Multi-Structure Fitting with Adaptive Reversible Jump MCMC,"Trung T. Pham, Tat-jun Chin, Jin Yu, David Suter",December 2011,Neurips 2011,0
Time Series Segmentation through Automatic Feature Learning,"Wei-Han Lee, Jorge Ortiz, Bongjun Ko, Ruby Lee","26 January, 2018",,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction,"Liang-Chieh Chen, Maxwell Collins, Yukun Zhu, George Papandreou, Barret Zoph, Florian Schroff, Hartwig Adam, Jon Shlens",December 2018,Neurips 2018,0
Prediction of Dynamical time Series Using Kernel Based Regression and Smooth Splines,"Raymundo Navarrete, Divakar Viswanath","20 June, 2018",,Learning Overcomplete HMMs,"Vatsal Sharan, Sham M. Kakade, Percy S. Liang, Gregory Valiant",December 2017,Neurips 2017,0
"Segmentation of optic disc, fovea and retinal vasculature using a single convolutional neural network","Jen Hong Tan, U. Rajendra Acharya, Sulatha V. Bhandary, Kuang Chua Chua, Sobha Sivaprasad","1 February, 2017",,A Pseudo-Bayesian Algorithm for Robust PCA,"Tae-Hyun Oh, Yasuyuki Matsushita, In Kweon, David Wipf",December 2016,Neurips 2016,0
The Classification of Cropping Patterns Based on Regional Climate Classification Using Decision Tree Approach,"T. A. Munandar, Sumiati","25 March, 2018","Journal of Computer Science 2017, 13 (9): 408.415",Avoiding Discrimination through Causal Reasoning,"Niki Kilbertus, Mateo Rojas Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, Bernhard Schlkopf",December 2017,Neurips 2017,0
Optimizing Cost-Sensitive SVM for Imbalanced Data :Connecting Cluster to Classification,"Qiuyan Yan, Shixiong Xia, Fanrong Meng","6 February, 2017",,On Binary Classification in Extreme Regions,"Hamid JALALZAI, Stephan Clmenon, Anne Sabourin",December 2018,Neurips 2018,0
PAC-Bayes-Bernstein Inequality for Martingales and its Application to Multiarmed Bandits,"Yevgeny Seldin, Nicol Cesa-Bianchi, Peter Auer, Franois Laviolette, John Shawe-Taylor","30 January, 2012",,Assessing Generative Models via Precision and Recall,"Mehdi S. M. Sajjadi, Olivier Bachem, Mario Lucic, Olivier Bousquet, Sylvain Gelly",December 2018,Neurips 2018,0
On Context-Dependent Clustering of Bandits,"Claudio Gentile, Shuai Li, Purushottam Kar, Alexandros Karatzoglou, Evans Etrue, Giovanni Zappella","27 February, 2017",,Convolutional Neural Fabrics,"Shreyas Saxena, Jakob Verbeek",December 2016,Neurips 2016,0
Analysis of Fast Structured Dictionary Learning,"Saiprasad Ravishankar, Anna Ma, Deanna Needell","31 May, 2018",,Bayesian latent structure discovery from multi-neuron recordings,"Scott Linderman, Ryan P. Adams, Jonathan W. Pillow",December 2016,Neurips 2016,0
MobiRNN: Efficient Recurrent Neural Network Execution on Mobile GPU,"Qingqing Cao, Niranjan Balasubramanian, Aruna Balasubramanian","2 June, 2017",,PCA of high dimensional random walks with comparison to neural network training,"Joseph Antognini, Jascha Sohl-Dickstein",December 2018,Neurips 2018,0
Primal Method for ERM with Flexible Mini-batching Schemes and Non-convex Losses,"Dominik Csiba, Peter Richtrik","7 June, 2015",,StopWasting My Gradients: Practical SVRG,"Reza Harikandeh, Mohamed Osama Ahmed, Alim Virani, Mark Schmidt, Jakub Konen, Scott Sallinen",December 2015,Neurips 2015,0
Modelling-based experiment retrieval: A case study with gene expression clustering,"Paul Blomstedt, Ritabrata Dutta, Sohan Seth, Alvis Brazma, Samuel Kaski","4 January, 2016",,Deep Submodular Functions: Definitions and Learning,"Brian W. Dolhansky, Jeff A. Bilmes",December 2016,Neurips 2016,0
A Direct Sum Result for the Information Complexity of Learning,"Ido Nachum, Jonathan Shafer, Amir Yehudayoff","15 April, 2018",,Adaptive Skills Adaptive Partitions (ASAP),"Daniel J. Mankowitz, Timothy A. Mann, Shie Mannor",December 2016,Neurips 2016,0
Self-Learning Camera: Autonomous Adaptation of Object Detectors to Unlabeled Video Streams,"Adrien Gaidon, Gloria Zen, Jose A. Rodriguez-Serrano","18 June, 2014",,Poisson Process Jumping between an Unknown Number of Rates: Application to Neural Spike Data,"Florian Stimberg, Andreas Ruttor, Manfred Opper",December 2014,Neurips 2014,0
Fast Support Vector Machines Using Parallel Adaptive Shrinking on Distributed Systems,"Jeyanthi Narasimhan, Abhinav Vishnu, Lawrence Holder, Adolfy Hoisie","19 June, 2014",,Unsupervised Learning of 3D Structure from Images,"Danilo Jimenez Rezende, S. M. Ali Eslami, Shakir Mohamed, Peter Battaglia, Max Jaderberg, Nicolas Heess",December 2016,Neurips 2016,0
Generalization in Deep Networks: The Role of Distance from Initialization,"Vaishnavh Nagarajan, J. Zico Kolter","13 January, 2019",,Straggler Mitigation in Distributed Optimization Through Data Encoding,"Can Karakus, Yifan Sun, Suhas Diggavi, Wotao Yin",December 2017,Neurips 2017,0
Effective Bayesian Modeling of Groups of Related Count Time Series,Nicolas Chapados,"15 May, 2014",,Clustering Signed Networks with the Geometric Mean of Laplacians,"Pedro Mercado, Francesco Tudisco, Matthias Hein",December 2016,Neurips 2016,0
On Combining Machine Learning with Decision Making,"Theja Tulabandhula, Cynthia Rudin","12 March, 2014",,Constructing Skill Trees for Reinforcement Learning Agents from Demonstration Trajectories,"George Konidaris, Scott Kuindersma, Roderic Grupen, Andrew G. Barto",December 2010,Neurips 2010,0
Training Variational Autoencoders with Buffered Stochastic Variational Inference,"Rui Shu, Hung H. Bui, Jay Whang, Stefano Ermon","26 February, 2019",,Analytical Results for the Error in Filtering of Gaussian Processes,"Alex K. Susemihl, Ron Meir, Manfred Opper",December 2011,Neurips 2011,0
Sequential Dynamic Decision Making with Deep Neural Nets on a Test-Time Budget,"Henghui Zhu, Feng Nan, Ioannis Paschalidis, Venkatesh Saligrama","30 May, 2017",,The Perturbed Variation,"Maayan Harel, Shie Mannor",December 2012,Neurips 2012,0
An Expectation Conditional Maximization approach for Gaussian graphical models,"Zehang Richard Li, Tyler H. McCormick","6 February, 2019",,Greedy Algorithms for Cone Constrained Optimization with Convergence Guarantees,"Francesco Locatello, Michael Tschannen, Gunnar Raetsch, Martin Jaggi",December 2017,Neurips 2017,0
Walk-Steered Convolution for Graph Classification,"Jiatao Jiang, Zhen Cui, Chunyan Xu, Chengzheng Li, Jian Yang","16 April, 2018",,Linear decision rule as aspiration for simple decision heuristics,zgr imek,December 2013,Neurips 2013,0
Towards Structured Deep Neural Network for Automatic Speech Recognition,"Yi-Hsiu Liao, Hung-Yi Lee, Lin-shan Lee","3 June, 2015",,Probabilistic Joint Image Segmentation and Labeling,"Adrian Ion, Joao Carreira, Cristian Sminchisescu",December 2011,Neurips 2011,0
Neural Task Graphs: Generalizing to Unseen Tasks from a Single Video Demonstration,"De-An Huang, Suraj Nair, Danfei Xu, Yuke Zhu, Animesh Garg, Li Fei-Fei, Silvio Savarese, Juan Carlos Niebles","6 March, 2019",,Towards Robust Interpretability with Self-Explaining Neural Networks,"David Alvarez Melis, Tommi Jaakkola",December 2018,Neurips 2018,0
Coresets for Kernel Regression,"Yan Zheng, Jeff M. Phillips","31 May, 2017",,Near-Optimal Entrywise Sampling for Data Matrices,"Dimitris Achlioptas, Zohar S. Karnin, Edo Liberty",December 2013,Neurips 2013,0
Computationally Efficient Estimation of the Spectral Gap of a Markov Chain,"Richard Combes, Mikael Touati","7 February, 2019",,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,"Cristina Savin, Sophie Denve",December 2014,Neurips 2014,0
The Limits of Post-Selection Generalization,"Kobbi Nissim, Adam Smith, Thomas Steinke, Uri Stemmer, Jonathan Ullman","15 June, 2018",,Multiparty Differential Privacy via Aggregation of Locally Trained Classifiers,"Manas Pathak, Shantanu Rane, Bhiksha Raj",December 2010,Neurips 2010,0
Continuum directions for supervised dimension reduction,Sungkyu Jung,"21 March, 2018",Comput. Stat. Data Anal. 125 (2018) 27-43,A Spectral View of Adversarially Robust Features,"Shivam Garg, Vatsal Sharan, Brian Zhang, Gregory Valiant",December 2018,Neurips 2018,0
Robust Hypothesis Testing Using Wasserstein Uncertainty Sets,"Rui Gao, Liyan Xie, Yao Xie, Huan Xu","27 May, 2018",,Generalization Properties of Learning with Random Features,"Alessandro Rudi, Lorenzo Rosasco",December 2017,Neurips 2017,0
Max-Margin Stacking and Sparse Regularization for Linear Classifier Combination and Selection,"Mehmet Umut Sen, Hakan Erdogan","8 June, 2011",,Extracting Latent Structure From Multiple Interacting Neural Populations,"Joao Semedo, Amin Zandvakili, Adam Kohn, Christian K. Machens, Byron M. Yu",December 2014,Neurips 2014,0
Partially Exchangeable Networks and Architectures for Learning Summary Statistics in Approximate Bayesian Computation,"Samuel Wiqvist, Pierre-Alexandre Mattei, Umberto Picchini, Jes Frellsen","29 January, 2019",,Infinite Latent SVM for Classification and Multi-task Learning,"Jun Zhu, Ning Chen, Eric P. Xing",December 2011,Neurips 2011,0
Engineering Safety in Machine Learning,Kush R. Varshney,"16 January, 2016",,Communication Complexity of Distributed Convex Learning and Optimization,"Yossi Arjevani, Ohad Shamir",December 2015,Neurips 2015,0
Noninteractive Locally Private Learning of Linear Models via Polynomial Approximations,"Di Wang, Adam Smith, Jinhui Xu","26 February, 2019",,One-shot learning and big data with n=2,"Lee H. Dicker, Dean P. Foster",December 2013,Neurips 2013,0
A Complex Networks Approach for Data Clustering,"Francisco A. Rodrigues, Guilherme Ferraz de Arruda, Luciano da Fontoura Costa","26 January, 2011",,Efficient online algorithms for fast-rate regret bounds under sparsity,"Pierre Gaillard, Olivier Wintenberger",December 2018,Neurips 2018,0
Learning from the memory of Atari 2600,"Jakub Sygnowski, Henryk Michalewski","4 May, 2016",,-regression with Heavy-tailed Distributions,"Lijun Zhang, Zhi-Hua Zhou",December 2018,Neurips 2018,0
Wages of wins: could an amateur make money from match outcome predictions?,Albrecht Zimmermann,"17 February, 2017",,Adaptive Primal-Dual Splitting Methods for Statistical Learning and Image Processing,"Tom Goldstein, Min Li, Xiaoming Yuan",December 2015,Neurips 2015,0
Pyrcca: regularized kernel canonical correlation analysis in Python and its applications to neuroimaging,"Natalia Y. Bilenko, Jack L. Gallant","4 March, 2015",,A Dirty Model for Multi-task Learning,"Ali Jalali, Sujay Sanghavi, Chao Ruan, Pradeep K. Ravikumar",December 2010,Neurips 2010,0
Power efficient Spiking Neural Network Classifier based on memristive crossbar network for spike sorting application,"Anand Kumar Mukhopadhyay, Indrajit Chakrabarti, Arindam Basu, Mrigank Sharad","25 February, 2018",,Computing Nash Equilibria in Generalized Interdependent Security Games,"Hau Chan, Luis E. Ortiz",December 2014,Neurips 2014,0
