ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
2024,Tribeca,Minnesota Vikings Camera Case,19.99,,FVA3052,,
2025,Logitech,Logitech N315 Lapdesk,24.88,The Logitech N315 Lapdesk is designed to protect your lap from laptop heat and to keep your lap cool and comfortable even after extended laptop use. The retractable mouse pad lets you use your mouse even when you don t have a table handy.,N315,2.0,15.0 x 11.0 x 1.0 inches
2026,MSI,MSI N570GTX Graphics Card,393.99,This graphics card gives the user the assurance of having a high-performance graphics card capable of handling the heaviest payloads. The MSI N570GTX features a GeForce GTX570 engine guaranteeing that blur never interrupts your gaming action.,N570GTXM2D12D5O,3.2,13.8 x 10.5 x 3.3 inches
2027,Canon,Canon 8367A001AA BCI-1421 Black Ink Tank For image PROGRAF W8200Pg Large Format Printer,149.0,Canon 8367A001AA BCI-1421 Black Ink Tank For image PROGRAF W8200Pg Large Format Printer,8367A001AA,1.15,4.75 x 4.5 x 1.0 inches
2028,iLuv,JWin iLuv Premium Earphones Pink,26.88,The iLuv Premium Earphones are the perfect accessory for your iPod shuffle. In-line volume controls give you fingertip control and the open-back design creates airflow across the drivers to deliver optimum sound impact. The result is a user-earphone set that provides a premium rich tone with a wide range of highs and lows.,IEP505PNK,9.92,8.35 x 4.41 x 1.97 inches
2029,Acer,Acer Iconia Tablet Bluetooth Keyboard,49.0,The Bluetooth Keyboard for the Acer Iconia Tab is the perfect accessory for increased productivity. Wirelessly connect to your Tab for seamless typing and navigation. This slim keyboard is the perfect travel companion for when you take your Tab on the road. It conveniently fits in your carry-on luggage for simple and easy transport.,A500K01,0.8,6.57 x 2.36 x 2.17 inches
2030,Toshiba,Toshiba 55  Class LCD 1080p 120Hz HDTV 55G310U,899.0,Featuring an all-new design this 55  Class LCD 1080p 120Hz HDTV. Contact your local cable or satellite TV provider for details on how to upgrade.,55G310U,90.39,52.28 x 33.49 x 4.09 inches
2031,Energizer,Energizer ER-P240 Cordless Phone Battery,11.88,Energizer ER-P240 Cordless Phone Battery,,0.1875,3.0 x 1.5 x 0.5 inches
2032,Sony,Sony Handycam Mini DVD RW for DVD Camcorders 3-Pack,12.0,Sony Mini DVD discs with AccuCore technology are 100 times more scratch-resistant than standard discs for ideal video protection. Rewritable discs can be recorded on many times.,3DPW30R2H,0.25,4.17 x 3.86 x 0.28 inches
2033,CyberPower,CyberPower 2800 Joules 8 Oulet Surge Protector,23.88,The CyberPower 880 surge suppressor is a Computer Audio Video Grade unit and provides powerful surge suppression with a rating of 2800 Joules. It is equipped with a RJ-11 port that protects phone fax modem DSL equipment and also a RG-6 gold-platted coax port that is perfect for your cable modem cable TV lines and DSS equipment. EMI RFI shielding will rid your equipment from any harmful interfaces and MOV technology ensures the protection of all connected electronics and the surge suppressor itself.,880,2.3,14.5 x 9.0 x 2.25 inches
2034,Canon,Canon CLI-221 Magenta Ink Cartridge 2948B001,16.84,,CLI221MAG,0.1,3.5 x 1.0 x 1.0 inches
2035,Micro Innovations,Micro Innovations Full Size Multimedia Stereo Headset,13.82,Micro Innovations Full Size Multimedia Stereo Headset,MM750H,0.8,11.34 x 8.66 x 4.13 inches
2036,Sumdex,Sumdex Aircube for 15  MacBook Pro,21.59,,138546,1.0,14.75 x 10.25 x 1.15 inches
2037,Magna Case,Magna Case Travel Camera Case SLR DSLR Shoulder Pack,47.99,,127329,1.8,11.5 x 8.0 x 7.0 inches
2038,Corsair,Corsair XMS2 4 GB 2 X 2 GB PC2-6400 800 MHz 240-PIN DDR2 Dual-Channel Memory Kit - TWIN2X4096-6400C5,74.82,Corsair XMS2 4 GB 2 X 2 GB PC2-6400 800 MHz 240-PIN DDR2 Dual-Channel Memory Kit - TWIN2X4096-6400C5,TWIN2X4096-6400C5,0.1,7.5 x 5.0 x 0.5 inches
2039,Clarity,Clarity Professional XL45 Digital Extra Loud CID Big Button Speakerphone,96.84,Clarity Professional XL45 Digital Extra Loud CID Big Button Speakerphone,54500.001,3.1,12.25 x 10.5 x 3.75 inches
2040,StarTech,StarTech.com PM1115U Fast Ethernet Print Server,40.84,Print server save you money by letting you share one printer between many networked users instead of having to purchase separate printers for each individual. The StarTech.com PM1115U Fast Ethernet Print Server does not require a dedicated print server PC so you can position the printer anywhere you want on your network and avoid the performance bottleneck you  d have with an always-on PC acting as the print server.,PM1115U,1.12,2.95 x 2.17 x 0.79 inches
2041,Skooba Design,Skooba Design Skooba Skin 1617 Large Laptop Sleeve in Blue Microsuede with Blue Lining,33.99,,725-303,3.0,17.0 x 12.5 x 2.5 inches
2042,Draper,Draper Glass Beaded Rolleramic Electric Screen - AV Format 8 x 10,1551.95,,115041,194.0,
2043,Draper,Draper Truss-Style Dress Kit Black Velour,1584.0,,222045,90.0,
2044,Philips,Philips 6 HDMI Ethernet Cable,27.0,The Philips 6 HDMI Ethernet Cable delivers the best digital audio and video performance possible with resolutions up to 4x 1080p . The 24k gold-plated connectors optimize your signal and copper braided reinforced aluminum shielding protects against signal loss.,SWV3481S/17,0.45,9.5 x 9.5 x 3.5 inches
2045,JWin,jWIN Bluetooth Keyboard for iPad iPhone,63.88,The jWIN Bluetooth Keyboard for iPad iPhone lets you type easily on your iPad or iPhone. Built-in Bluetooth technology make it easy to go wireless. It has dedicated keys for your iPad.,IBTKB20BLK,12.23,10.43 x 5.47 x 0.98 inches
2046,Dell,Dell Piano Black Inspiron 560 i560-2191NBK Desktop PC Bundle with Intel Pentium Dual-Core E6700 Processor 500GB Hard Drive 20  Widescreen Monitor and Windows 7 Home Premium,498.0,The Dell Inspiron 560 i560-2191NBK Desktop PC is equipped with what you need to complete everyday tasks. Microsoft Windows 7 Home Premium is the most up to date operating system from Microsoft and provides you with a range of tools for computing.,Dell Inspiron 560,36.85,25.13 x 19.63 x 18.25 inches
2047,X-Acto,X-ACTO ProX Electric Pencil Sharpener Silver,59.97,Keep pencils sharp and ready to write with the X-ACTO ProX Electric Pencil Sharpener. This electric sharpener is ideal for high-capacity environments. The X-ACTO ProX Electric Pencil Sharpener features an automatic shut-off and illumination when the pencil is sharpened.,1612,4.0,
2048,Corsair,Corsair Value Select CMV4GX3M1A1333C9 4GB DDR3 1333MHz SDRAM Desktop Memory Module,49.82,Corsair built its reputation on performance memory that shines in the most demanding computing situations extreme gaming and high-transaction processing environments. The Corsair Value Select 4GB DDR3 SDRAM Desktop Memory Module stands up to the test. So we brought the same reliability testing and Corsair quality to a line of memory designed to support standard computing situations such as popular office applications. Now it s one of our most popular memory lines.,CMV4GX3M1A1333C9,0.1,6.0 x 4.25 x 1.25 inches
2049,Da-Lite,Da-Lite Matte White Deluxe Model B Manual Screen - 60 x 60 AV Format,118.99,,40223,21.0,
2050,Adobe,Adobe Creative Suite v.5.0 Design Premium Upgrade Version Windows,578.54,Adobe Creative Suite v.5.0 Design Premium Upgrade Version Windows software is the ultimate toolkit for designers who need to express their wildest ideas with precision work fluidly across media and produce exceptional results in print web interactive and mobile design. Craft eye-catching images and graphics lay out stunning pages build standards-based websites create interactive content without writing code and extend page layouts for viewing with eBook reading devices.,65065612,0.5,7.9 x 7.1 x 1.8 inches
2051,CP TECH,CP Technologies Clearlinks 6.6 Premium Gold HDMI Cable,11.4,With the Clearlinks 6.6 Premium Gold HDMI Cable from CP Technologies you can have a truly lossless high definition experience. Get uncompressed audio and video from your entertainment with this one-cable connection. No more tangling with numerous wires and cables just to enjoy your favorite media on your HDTV   hook up your components with a CP Technologies Clearlinks 6.6 Premium Gold HDMI cable today.,CL-HDMI-PG-6.6FT,0.3,7.5 x 6.75 x 1.5 inches
2052,IOGEAR,IOGEAR 2.4GHz Multimedia Keyboard Black,62.95,Enjoy the freedom of wireless connectivity with Iogear s slim and ergonomic wireless 2.4GHz Multimedia Keyboard with built-in laser trackball. The 2.4GHz wireless keyboard and laser trackball combo allows you to work up to 33 away from your computer. It s the ideal solution for the living room home entertainment and computer enthusiast also a perfect solution for meeting room presentation needs.,GKM561RW4,1.9,14.8 x 8.4 x 1.9 inches
2053,Tribeca,Georgetown Hoyas iPhone 4 Case Black Shell,29.99,,FVA3162,,
2054,Samsung,Samsung 1GB DDR2 SDRAM Desktop Memory Module,22.88,Samsung s 1GB DDR2 SDRAM Desktop Memory Module defines next-generation memory. The advance Samsung-designed 40nm-class technology enables us to shrink the charge needed to achieve full-scale power-making high performance and energy efficiency one. You gain computing power while using less power. Incredible quality control unparalleled manufacturing standards and a decades-long commitment to excellence mean that when you buy a stick of Samsung DDR you are making a solid investment.,MV-2V1G4/US,0.06,8.0 x 3.5 x 0.5 inches
2055,Samsung,Samsung HT-D5300 3D Wi-Fi Ready Home Theater System,298.0,3D home theater entertainment adds a powerful web-enabled gateway with the Wi-Fi-ready Samsung HT-D5300 Home Theater System. Samsung Smart TV opens up the entire internet to your whims with the ability to browse sites includes Vudu streaming access Samsung TV apps and search for content both online and on your TV. When it s movie time the power of 3D technology delivers an immersive depth and an unparalleled cinema-quality 3D experience with an impressive 1000 watts of 5.1-channel audio. And the multi-format disc playback gives you greater movie-watching versatility.,HT-D5300,29.4,22.09 x 16.38 x 13.54 inches
2056,Energizer,Energizer 9V NiMH 150mAH Rechargeable Battery,12.97,Energizer Recharge batteries are great for use in your household devices such as digital cameras toys remote controls flashlights and portable audio players.,NH22NBP,1.0,4.3 x 3.7 x 0.7 inches
2057,HP,HP 45 Black Inkjet Cartridge 51645A,34.97,Work at home while getting at-work results with this Hewlett Packard 800 Series Black Ink Cartridge.,HP 51645A#140,0.35,1.0 x 1.0 x 1.0 inches
2058,Belkin,Belkin 14-Foot Cat6 Ethernet Cable,7.88,The RJ45 High Performance Category 6 UTP Patch Cable  is the perfect performance upgrade. Used to replace any Cat 5 cable that fails to support 100 Base-T or Gigabit Ethernet. With RJ45 male-to-male connectors and a snagless molded strain relief.,A3L980v14-BLK-S,0.46,168.0 x 2.0 x 0.3 inches
2059,Sony,Sony 1GB Memory Stick Pro Duo Mark 2 2-Pack,29.0,Get even  more  storage with the Sony 1GB Memory Stick 2-Pack. You ll get maximum storage for your compact digital camera portable audio device or PSP handheld.,,,
2060,Panasonic,Panasonic KX-TG6445T 5-Handset DECT Talking Caller ID with Dual Keypad Telephone,108.84,,KX-TG6445T,4.55,6.3 x 6.2 x 5.4 inches
2061,KIMBERLY-CLARK PROFESSIONAL,Kimberly-Clark Professional Scott Jumbo Two-Ply Bathroom Tissue 4 ct,41.97,Jumbo bathroom tissue. non-perforated.,03148,11.0,18.375 x 9.25 x 8.125 inches
2062,Brenthaven,Brenthaven ProLite III Shoulder Case Black,79.99,,114717,4.49,19.0 x 14.0 x 5.0 inches
2063,Brother,Brother LC51C Cyan Inkjet Cartridge For MFC-240C Multi-Function Printer,13.49,Ink cartridges are designed for use with Brother DCP130C FAX1360 FAX1860 FAX1960 FAX2480 FAX2580C MFC240C MFC440CN MFC665CW MFC845CW MFC2480C MFC3360C MFC5460CN and MFC5860CN. The standard black cartridge yields approximately 500 pages at 5 percent coverage. Each standard color cartridge yields approximately 400 pages at 5 percent coverage.,LC51C,0.134,
2064,Gear Head,Gear Head MP2300BLK 3 Button Wireless Optical Wheel Mouse - Black Silver,13.82,Gear Head 3 Button Wireless Optical Wheel Mouse - Black Silver,MP2300BLK,0.4,8.4 x 5.9 x 1.9 inches
2065,MacCase,MacCase 15  Premium Leather MacBook Pro PowerBook Sleeve,111.96,,93714,2.15,15.25 x 10.75 x 0.75 inches
2066,SIIG,SIIG USB Premium Aluminum Keyboard with Hub,69.84,Upgrade your desktop s look with the USB Premium Aluminum Keyboard from SIIG. Its stylish low-profile brushed aluminum design makes a statement while staying practical with two built-in USB 2.0 ports.,JK-US0412-S1,2.46,20.0 x 8.0 x 2.0 inches
2067,Draper,Draper M1300 Signature Series V Electric Screen  - NTSC 230 diagonal,5382.7,,100327,315.0,
2068,Draper,Draper High Contrast Grey Ultimate Access Series E Electric Screen  - AV Format 72 x 96,2282.45,,119175,138.0,
2069,Draper,Draper DiamondScreen Rear Projection Screen with System 400 Black Frame - 160 diagonal NTSC Format,30515.5,,127149,754.0,
2070,Kodak,Kodak 10C Color Ink Cartridge,19.97,Print bright vivid long lasting photos with the Kodak Color Ink Cartridge 10C is a convenient 5-ink color cartridge and a part of the Kodak All-in-One Printer system. The Kodak Color Ink Cartridge 10C delivers approximately 420 pages.,10C,1.2,5.31 x 3.0 x 2.0 inches
2071,Case Logic,Case Logic Kindle DX  Case,23.99,,153344,0.19,11.25 x 8.0 x 1.25 inches
2072,Lexar Media,Lexar Media LJDFF8GBASBNA 4GB JumpDrive FireFly USB 2.0 Flash Drive,16.57,Lexar Media LJDFF8GBASBNA 4GB JumpDrive FireFly USB 2.0 Flash Drive,LJDFF8GBASBNA,0.08,6.3 x 4.5 x 0.18 inches
2073,Pioneer,Pioneer 6.5  4-Way Speakers 350W,113.0,The Pioneer 6.5  4-Way Speakers have a carbon graphite IMPP interlaced Aramid fiber cone.,TS-A1684R,4.9,16.0 x 8.5 x 4.4 inches
2074,Simplism,Outdoor Bag for iPad White,39.99,Simplism Outdoor Bag for iPad protects your iPad not only from scratches and dust but also from rain.,TR-ODBIPAD-WT/EN,0.9,9.8 x 8.4 x 1.4 inches
2075,Basyx,Basyx Return Shell 48-1 4 x24 x29 Medium Cherry,252.0,,,79.0,
2076,iFrogz,iFrogz iPod iPhone Lux Car Charger Red,11.0,The ifrogz iPod iPhone Lux Car Charger is compatible with all iPads iPhones and iPods. The charger has a sleek two-tone Luxe finish.,CHARGERLUXRED,0.1,6.9 x 3.9 x 0.75 inches
2077,Ampad,Ampad Spiral Steno Book Gregg Rule 6 Canary 70 Sheets,5.15,The Ampad Spiral Steno Book features WireLock binding to prevent snagging. The spiral steno book also features a red center line and a Rigid Kraft cover and back.,25473,0.517,
2078,Wintec,Wintec FileMate 16GB Color Mini USB Flash Drive Aqua,24.84,Express yourself with a wide variety of brilliant colors to match your netbook style and personality. The Wintec FileMate Color Mini USB Flash Drive offers high capacity storage in an assortment of the latest contemporary colors. Perfect for anybody with a sense for style the Color Mini is the perfect file storage companion for school work or play. Small compact and convenient for travel the Wintec FileMate Color Mini USB Flash Drive allows you to bring music pictures and videos anywhere to transfer and share with others.,3FMSP01U2AQ-16G-R,0.12,6.0 x 4.0 x 0.75 inches
2079,Dymo,DYMO D1 Standard Tape Cartridge for Dymo Label Makers 1 4in x 23ft Black on Clear,17.27,Durable scratch- and chemical-resistant. Easy-peel split-back makes separation of label backing a snap Ideal for asset tagging posting instructions and caution statements.,43610,0.057,
2080,Acme,Acme Smart 15  Laptop Sleeve Wet Black Antik,29.88,The Smart Laptop Sleeve is a great looking laptop sleeve at an even greater looking price. The Sleeve is ultra slender with a designer-styled front panel and a highly water-resistant exterior. But while sexy on the outside it s all business on the inside as the Smart Laptop Sleeve boasts some heavy-duty protection too. From ballistic nylon and premium tricot lining to its closed-cell foam padding this sexy little bag has a lot more going for it than simply good looks.,AM00778-CEU,,15.0 x 13.5 x 1.5 inches
2081,Alera,Alera Valencia Series Reversible Return Bridge Shell,109.0,The Alera Valencia Series Reversible Return Bridge Shell coordinates with other Valencia Series items. This reversible return bridge shell can be used in universal applications as either a return or a bridge.,VA354824MY,84.0,47.25 x 29.5 x 23.5 inches
2082,Da-Lite,Da-Lite Silver Matte Model C Manual Screen - 8 x 8 AV Format,441.95,,90544,50.0,
2083,Da-Lite,Da-Lite Cherry Veneer Model B Manual Screen with Matte White Fabric - 60 x 60 diagonal Video Format,167.99,,73179,16.0,
2084,Cables Unlimited,Cables Unlimited SATA II 3Gbps to eSATA Cable with Straight Connectors,9.82,Connect eSATA external drives and enclosures to SATA II 3Gbps enabled systems with the Cables Unlimited SATA II 3Gbps to eSATA Cable with Straight Connectors. These cables are constructed of ultra high quality materials and shielded for perfect impedance and data protection. Cables Unlimited SATA II 3Gbps to eSATA Cable With Straight Connectors are the smart way to hook up your external SATA enclosure.,FLT-6600-39,0.9,7.5 x 5.0 x 1.0 inches
2085,HP,HP Webcam HD 3110,33.88,The HP Webcam HD 3110 is a True HD 720p autofocus widescreen webcam capable of video frame rates of up to 30 frames per second in HD resolution. The HP Webcam is perfect for video chatting taking photos and creating emailing or posting video blogs including YouTube .,HP BK357AA,0.55,2.925 x 2.76 x 2.571 inches
2086,PC Treasures,PC Treasures SlipIt 17.3  Neoprene Laptop Case Titan,19.99,Give scratches and scuffs the slip with the SlipIt Laptop Case. Featuring an attractive and durable lycra exterior shell a protective neoprene middle layer wrapped in lush velvet and carrying handles that wrap completely around your laptop for strapping support this form fitting weather resistant case protects against bumps dings and surface scratches.,07627,1.7,17.0 x 11.0 x 1.5 inches
2087,Sony,Sony Cyber-shot DSC-W560 14MP Compact Camera Blue w 4x Optical Zoom 720p Movie 3.0  LCD w 50 Bonus Prints,149.0,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value Shoot more life with the Sony DSC-W560. Capture landscapes with one touch using Sweep Panorama mode get that perfect portrait with Smile Shutter technology and snap wider scenes with the 26mm wide-angle lens. Get high quality photos with 14.1 megapixels and automatically get clear shots with SteadyShot image stabilization and iAuto all in a sleek little design. Note Memory card not included. Purchase of a memory card is highly recommended.,DSC-W560/L,0.85,8.0 x 6.0 x 3.0 inches
2088,Endust,Endust for Electronics Ultimate Office Cleaning Combo,64.99,Keep all the surfaces in your office sparkling clean with the Endust for Electronics Ultimate Office Cleaning Combo. Use the Endust for Electronics Duster to blow dust and particles off of your office equipment and use the Anti-Static Aerosol Cleaner for your computer s plastic surfaces your desk and other surfaces. Both screen cleaners are safe for all flat screens and are alcohol and ammonia free.,12886BP,2.7,9.2 x 6.8 x 6.4 inches
2089,Targus,Targus Red TG-6660TR Tripod With 3-Way Panhead,29.98,The Targus Red TG-6660TR Tripod With 3-Way Panhead is designed to stabilize most digital cameras and camcorders and is great for photographers of all levels of experience. The tripod features a quick release plate that makes it a breeze to switch from handheld shooting to tripod and back again. The tripod can extend to a height of 66-inches when in use and folds away to 17-inches for easy storage.,TG-6660TR,4.17,27.0 x 5.3 x 4.5 inches
2090,NETGEAR,Netgear ProSafe GS716T 16-Port Ethernet Switch,238.0,Joining Netgear s family of Smart Switches with simple switch management at no extra cost these 16- and 24-port Gigabit switches are high on value and capability. With 16 or 24 10 100 1000Mbps ports each capable of powering 2000Mbps of data throughput in full duplex mode per port plus two optional fiber ports it provides fast backbone and connects servers or power users delivering large amounts of multimedia image and video information in no time at all.,GS716T-200NAS,7.52,20.5 x 12.1 x 4.25 inches
2091,Visiontek,VisionTek 900252 Radeon HD 4650 1 GB 128-bit GDDR2 PCI Express 2.0 Graphics card.,86.92,,900252,1.4,10.7 x 8.3 x 2.8 inches
2092,Scosche,Scosche FPTM Mirrored Screen Protector Kit for iPod touch 4G 2pk,21.88,These mirrored screen protectors protect the screen of your iPod touch 4G from scratches and bumps. Mirrored finish for sleek appeal.,FPTM,0.05,6.8 x 3.8 x 1.8 inches
2093,Night Owl,Night Owl ZEUS-810 16-Channel H.264 DVR Kit with 1TB Hard Drive,773.82,Night Owl s Zeus-810 is an advanced 16 Channel H.264 smart DVR with 8 Indoor Outdoor night vision cameras that allows you to access it remotely from both the internet via Internet Explorer and or select 3G 4G smart phones including your iPhone Android and select Blackberry Models. The kit comes with everything you need to set it up yourself. This is truly a Do-it-Yourself security system. The system is packed with features like preinstalled 1 TB HD motion activated recording real time email alerts digital watermarking of recorded files HDMI output USB backup D1 recording and a simple point and click interface. Stop paying monthly fees for an outdated alarm system Night Owl s surveillance systems do not charge any monthly fees and give you 24 7 security day or night. In addition Night Owl is one of the only security companies with 24 7 technical phone support. Rest assured that you will able to reach us any time any day.,,,
2094,Epson,Epson T125420 Yellow DURABrite Cartridge,11.88,The Epson T125420 Yellow DURABrite Cartridge is a DURABrite Ultra Ink cartridge that offers a superior image quality with smudge water and fade resistance.,T125420,0.1,4.4 x 3.3 x 0.7 inches
2095,Tribeca,Baltimore Ravens iPod Touch 4G Hard Case,29.99,,FVA4584,,
2096,Middle Atlantic,Middle Atlantic Cable Management Straps,12.99,,TW12,0.2,
2097,Inland,Inland Titan Pro Rolling Notebook Case,47.88,Get through the airport faster with the Titan Pro Rolling Notebook Case. This wheeled case makes travel easy and hassle-free.,IPI02453,17.0,15.94 x 11.8 x 2.99 inches
2098,HP,HP 564 Tri-color Combo Inkjet Cartridge CD994FN,26.5,HP Vivera inks offer radiant color enhanced shadow detail and reduced image grain for stunning color prints and exceptional black-and-white images.,HP CD994FN,0.25,6.38 x 4.53 x 1.44 inches
2099,COBRA,Cobra 4-Pin Microphone With Noise Canceling Feature,18.36,Cobra 4-Pin Microphone With Noise Canceling Feature,HG-M77,0.64,8.5 x 5.9 x 3.0 inches
2100,Grandtec,Grandtec MOU-600I Virtually Indestructible Mouse,20.84,The Grandtec MOU-600I Virtually Indestructible Mouse is a silicone-based optical mouse which features a unique combination of durability and comfort. The silicone-based material is impervious to most anything including water coffee and cleaning solutions. The Virtually Indestructible Mouse is the perfect companion to the revolutionary Virtually Indestructible Keyboard.,MOU-600I,0.45,4.5 x 4.3 x 3.5 inches
2101,Imation,Imation 26654 Swivel 8GB USB2.0  Flash Drive,25.84,The Imation 26654 Swivel 8GB USB 2.0 Flash Drive is a compact powerful flash drive featuring a unique swivel cap design and an ultra-fast USB 2.0 connection. The speed saves valuable time when transferring sharing or storing critical data large business presentations digital media and other large files. Plug-and-play format enables you to drag and drop files and transfer data on any computer with a USB 1.1 or 2.0 port. Flash drive offers 100 000 write cycles and includes a USB extension cable and neck strap.,26654,0.12,2.17 x 0.67 x 0.55 inches
2102,Elite Screens,Elite M150XWV1 Screens Manual Projection Screen,187.84,Shipping Note This item is shipped via a freight trucking service. The company will call you to schedule a delivery appointment so ensure someone is home at the scheduled delivery time. Please note that this item is available for curbside delivery only and will not be moved into your home or garage. We recommend you have help available to move the item to its final location. The Manual M150XWV1 Projection Screen has auto locking system provides variable height settings. Standard 4-side black masking borders. MaxWhite screen material is durable and easy to clean.,M150XWV1,43.0,117.225 x 5.4 x 5.4 inches
2103,Kensington,Kensington K72274US Notebook Keypad Calculator with USB Hub - PC   MAC Compatible,22.88,Kensington K72274US Notebook Keypad Calculator with USB Hub - Don t struggle with those awkward number keys on your laptop anymore. The Notebook Keypad Calculator with USB Hub is a full 19-key pad so your fingers glide quickly through data entry. Or switch to stand-alone calculator mode to easily make and enter calculations.,K72274US,0.73,5.5 x 2.75 x 1.0 inches
2104,IOGEAR,IOGear 2-Port USB 2.0 Printer Auto Sharing Switch Black,22.92,IOGear s USB 2.0 Printer Auto Sharing Switch enables two PCs and or Macs to easily share one USB printer multifunction printer or USB device. No more plugging and unplugging between your computers. Simply send the print job and the switch automatically makes the swap for you.,GUB211W6,0.45,8.1 x 5.5 x 1.9 inches
2105,Draper,Draper High Contrast Grey Ultimate Access Series E Electric Screen - NTSC 11 diagonal,2375.95,,119183,148.0,
2106,Coby,Coby Purple High-Performance Isolation Stereo Earphones CVEM79PUR,8.54,In-ear isolation design blocks background noise so user can experience music without distraction. Aluminum housing delivers durability performance in a lightweight package. These headphones have high-definition 10mm neodymium drivers that produce pounding bass.,CVEM79PUR,16.5,7.0 x 2.5 x 1.0 inches
2107,Audiovox,XM XMp3i Portable Satellite Radio and MP3 Player with Home Kit,149.0,Enjoy over 170 channels of commercial-free music plus sports exclusive entertainment and talk news and weather. XMp3i is SIRIUS XM s smallest and most innovative portable satellite radio and MP3 player. Loaded with features the XMp3i is capable of recording up to 100 hours of live XM programming including up to 10 hours of songs from XM s commercial-free music channels and gives users the ability to pause rewind and replay up to 30 minutes of live satellite radio at the touch of a button. The XMp3i also features SIRIUS XM s revolutionary PowerConnect technology.,XPMP3H1,2.4,9.85 x 7.0 x 2.9 inches
2108,Atrend,Atrend-Bbox A201-12CP B Box Series Single-Sealed 10  Up-Fire Enclosure,60.88,The Atrend-Bbox A201-12CP B Box Series Single-Sealed 10  Up-Fire Enclosure fits Dodge Ram Quad Cabs 2002 and up. It is custom built so that you can put it under your seat and save space.,A201-12CP,19.45,33.5 x 14.0 x 8.25 inches
2109,Generic,Regular Staples 15 000ct,0.0,The Regular Staples are easy to use and are great for offices.,1005NX-B,,4.37 x 2.519 x 2.165 inches
2110,Targus,Targus Antibacterial Screen Cleaning Cloth,8.88,The Targus Antibacterial Screen Cleaning Cloth is designed for use with laptops tablets monitors and more. The cleaning cloth is over 99 percent effective at killing common bacteria and will quickly clean and help disinfect the screen with one wipe. Featuring soft scratch-resistant material the cloth is also safe to use with phones LCD monitors and plasma screens and provides a fast and efficient way to safely clean and disinfect your screen.,AWV02US,0.01,7.0 x 5.0 x 0.05 inches
2111,Rubbermaid Commercial,Rubbermaid Commercial Slim Jim Gray Confidential Document Retrofit Lid Kit,52.97,Locking slotted lid for retrofitting waste receptacle.,9W16GY,1.65,14.5 x 12.5 x 3.0 inches
2112,Motorola,Motorola Droid 2 Vehicle Dock with Vpa,25.82,Designed for your DROID 2 by Motorola the Motorola Droid 2 Vehicle Dock with Vpa triggers a dashboard app to access your music Internet radio or Google Maps Navigation while keeping your phone charged.,89431N,2.5,3.7 x 2.4 x 2.4 inches
2113,Da-Lite,Da-Lite Video Spectra 1.5 Model C with CSR Manual Screen - 7 x 9 AV Format,697.99,,82976,62.0,
2114,Da-Lite,Da-Lite High Power Model C Manual Screen - 8 x 10 AV Format,797.99,,83207,66.0,
2115,Da-Lite,Da-Lite Video Spectra 1.5 Advantage Manual with CSR - Video Format 84 diagonal,847.99,,85703,63.0,
2116,Da-Lite,Da-Lite High Power Model B Manual Screen with CSR - 84 x 84 AV Format,372.99,,85303,28.0,
2117,Case Logic,Case Logic 12.1  Laptop Sleeve,19.99,,147731,0.64,12.4 x 9.4 x 1.5 inches
2118,Cables To Go,Cables To Go 3 Mini USB Cable,5.88,The Cables To Go 3 Mini USB Cable is a handy replacement for a lost cable or a nice spare for the office. Just plug and play for many digital camera models cell phones MP3 players PDAs and other mini-USB devices. This cable provides a transfer rate up to 480Mbps depending upon the peripheral s USB version and is ideal for transferring pictures from your digital camera to your PC or Mac. Foil and braid shielding reduces EMI RFI interference and twisted pair construction helps reduce crosstalk thus ensuring high-speed error-free data transfer.,27329,0.1,9.5 x 5.3 x 0.25 inches
2119,ANTEC,Antec TriCool 92mm Double Ball Bearing Case Fan,8.25,The Antec TriCool 92mm Double Ball Bearing Case Fan offers reliable stable performance with the perfect balance of silence and efficiency.,TRICOOL 92MM DBB,0.35,8.9 x 7.25 x 2.0 inches
2120,NETGEAR,Netgear ProSafe Plus 8-Port Ethernet Switch,78.88,The Netgear ProSafe Plus 8-Port Ethernet Switch allows you to meet today s need of a constantly functioning network without the headache of maintaining complex network systems. The ProSafe switch is intuitive and easy to use maximizing traffic and minimizing worry.,GS108E100NAS,1.9,7.3 x 5.2 x 4.0 inches
2121,Compaq,Compaq Black 20  Presario CQ1-2025 All-in-One Desktop PC with AMD Fusion E-350 Processor Windows 7 Home Premium,479.0,The Compaq Presario CQ1-2025 is an all-in-one PC that includes all your computing essentials plus a few extras built-in at a price worth cheering about. It fits the PC and display into a slim easy-to-use affordable package that meets your computing needs and fits in any environment. Plus AMD VISION Technology accelerates everyday applications so that you can live life in real time. Rich graphics and powerful processing technology help the Compaq Presario CQ1-2025 All-in-One Desktop PC provide you with a revolutionary computer experience.,HP CQ1-2025,16.3,20.0 x 13.6 x 6.0 inches
2122,Coolermaster,Cooler Master ATX Centurion 534 Tower Black,56.25,The Cooler Master ATX Centurion 534 Tower features a special mesh design that provides superior airflow and maximum cooling performance. The tool-free design provides easy assembly for quick maintenance and upgrades.,CENTURION534BK,21.05,22.0 x 20.0 x 11.1 inches
2123,3M,3M Dry-Erase Board Porcelain 8 x4 Aluminum Frame,707.59,,,56.0,
