id,title,time,director,year,star,cost
3972,My Little Friend    ,"1 hour, 14 minutes",Deirdre Herlihy,2013,"Daniel Armando, Ryan Andrew Balas","Rent SD $1.99,Buy SD $4.99,"
3973,"Silent Enemy, The - 1958    ","1 hour, 48 minutes",William Fairchild,2011,"Laurence Harvey, Dawn Addams","Buy SD $5.99,"
3974,A Field Full Of Secrets    ,"1 hour, 22 minutes",Charles Maxwell,2014,"Colin Andrews, Francine Blake","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3975,Blast from the Past , 112 minutes ,Hugh Wilson,2010,Brendan Fraser,$5.55 
3976,Eat Pray Love , 286 minutes ,Ryan Murphy,2010,Julia Roberts,$6.34 
3977,Within Madness    ,"1 hour, 13 minutes",J.M. Stelly,2015,"Kaci Champion,Jessica Dickerson","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3978,12 Angry Men (1957)    ,"1 hour, 37 minutes",Sidney Lumet,1957,"Martin Balsam, John Fiedler","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3979,Midnight in Garden of Good & Evil , 156 minutes ,Clint Eastwood,2010,Kevin Spacey,$7.49 
3980,Bathhouse (English Subtitled)   ,"1 hour, 47 minutes",Crisaldo Pablo,2005,"Jet Alcantara, Ray An Dulay","Buy SD $9.99,"
3981,The Mission (Two-Disc Special Edition) , 125 minutes ,Roland Joffé,2003,Robert De Niro,$13.00 
3982,The Boy In The Striped Pajamas , 94 minutes ,Mark Herman,2011,Asa Butterfield,$4.70 
3983,Gettysburg (Widescreen Edition) , 254 minutes ,Ronald F. Maxwell,2005,Tom Berenger,$3.74 
3984,Man On Fire    ,"2 hours, 27 minutes",Tony Scott,2004,"Denzel Washington, Dakota Fanning","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
3985,Tom Selleck Western Collection (Monte Walsh / Last Stand at Saber River / Crossfire Trail) , 306 minutes ,Various,2009,Various,$13.32 
3986,Selena , 128 minutes ,Gregory Nava,2007,Jennifer Lopez,$4.99 
3987,Quills    ,"2 hours, 5 minutes",Philip Kaufman,2000,"Geoffrey Rush, Kate Winslet","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3988,Groundhog Day    ,"1 hour, 42 minutes",Harold Ramis,1993,"Bill Murray, Andie MacDowell","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3989,War Horse , 146 minutes ,Steven Spielberg,2012,Jeremy Irvine,$9.18 
3990,Marie Antoinette    ,"2 hours, 3 minutes",Sofia Coppola,2006,"Kirsten Dunst, Jason Schwartzman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
3991,Night Moves    ,"1 hour, 53 minutes",Kelly Reichardt,2014,"Jesse Eisenberg, Dakota Fanning","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3992,Practical Magic / The Witches of Eastwick (Double Feature) [Blu-ray] , 222 minutes ,Various,2010,Various,$14.50 
3993,The Audrey Hepburn DVD Collection (Roman Holiday / Sabrina / Breakfast at Tiffany's) (1961) , 344 minutes ,Various,2013,Various,$9.49 
3994,The World's Fastest Indian , 127 minutes ,Roger Donaldson,2006,Anthony Hopkins,$9.13 
3995,Brigadoon , 108 minutes ,Vincente Minnelli,2005,Cyd Charisse,$11.44 
3996,Fantomas [Blu-ray] , 337 minutes ,Louis Feuillade,1916,Edmund Bréon,$44.96 
3997,Addicted (English Subtitled) (English Subtitled)   ,"1 hour, 54 minutes",Park Young-hoon,2002,"Lee Byung-hun,Lee Mi-yeon","Buy SD $9.99,"
3998,Charlie Wilson's War    ,"1 hour, 43 minutes",Mike Nichols,2007,"Tom Hanks, Amy Adams","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3999,The King's Speech    ,"1 hour, 59 minutes",Tom Hooper,2010,"Colin Firth, Helena Bonham Carter","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
4000,A Study in Scarlet (Sherlock Holmes) (1933)    ,"1 hour, 12 minutes",Edwin L. Marin,2007,"Reginald Owen, Anna May Wong","Buy SD $4.99,"
4001,Vertigo , 130 minutes ,Alfred Hitchcock,2012,James Stewart,$8.49 
4002,Casablanca , 103 minutes ,Michael Curtiz,2010,Humphrey Bogart,$13.37 
4003,Run all Night (2014) (Blu-ray+DVD+DIGITAL HD UltraViolet Combo Pack) ,,Jaume Collet-Serra,2015,Liam Neeson,$14.99 
4004,I Melt With You    ,"2 hours, 3 minutes",Mark Pellington,2011,"Thomas Jane, Jeremy Piven","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4005,Mask: Director's Cut , 127 minutes ,Peter Bogdanovich,2004,Cher,$6.18 
4006,Happy Tears    ,"1 hour, 36 minutes",Mitchell Lichtenstein,2010,"Parker Posey, Demi Moore","Rent HD $3.99,Rent SD $2.99,Buy HD $5.99,Buy SD $4.99,"
4007,A Little Princess    ,"1 hour, 38 minutes",Alfonso Cuarón,1995,"Liesel Matthews, Eleanor Bron","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4008,Fast & Frantic    ,"1 hour, 24 minutes",Andrew Wilmot,2010,"Craig Palm,Jonathan Pienaar","Rent SD $2.99,Buy HD $12.99,Buy SD $11.99,"
4009,Montana    ,"1 hour, 49 minutes",Mo Ali,2015,"Michelle Fairley,Lars Mikkelsen","Rent HD $7.99,Rent SD $6.99,Buy HD $9.99,Buy SD $7.99,"
4010,Invincible (2006)    ,"1 hour, 44 minutes",Ericson Core,2006,"Mark Wahlberg, Greg Kinnear","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4011,My Sister's Keeper (2009)    ,"1 hour, 50 minutes",Nick Cassavetes,2009,"Abigail Breslin, Walter Raney","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4012,The Falklands Play    ,"1 hour, 32 minutes",Michael Samuels,2002,"Patricia Hodge, James Fox","Buy SD $7.99,"
4013,The Brass Teapot    ,"1 hour, 42 minutes",Ramaa Mosley,2013,"Juno Temple, Michael Angarano","Rent HD $0.99,Rent SD $0.99,Buy HD $9.99,Buy SD $9.99,"
4014,The Bad Seed (1956) , 129 minutes ,Mervyn LeRoy,2005,Nancy Kelly,$5.93 
4015,The Hunt for Red October    ,"2 hours, 16 minutes",John McTiernan,1990,"Sean Connery, Alec Baldwin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4016,The Twilight Saga: Breaking Dawn Part 1 Extended Edition    ,"2 hours, 5 minutes",Bill Condon,2011,"Taylor Lautner, Gil Birmingham","Buy HD $14.99,Buy SD $9.99,"
4017,Tiny Times 1.0 (English Subtitled)   ,"1 hour, 56 minutes",Jinming Guo,2013,"Mi Yang, Amber Kuo","Buy SD $9.99,"
4018,Season of the Witch    ,"1 hour, 30 minutes",George A. Romero,1973,"Jan White, Raymond Laine","Buy SD $9.99,"
4019,Superman: The Movie    ,"2 hours, 24 minutes",Richard Donner,1978,"Marlon Brando, Gene Hackman","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4020,Little Miss Sunshine    ,"1 hour, 43 minutes",Jonathan Dayton,2006,"Abigail Breslin, Greg Kinnear","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4021,Alamar (English Subtitled)   ,"1 hour, 14 minutes",Pedro González-Rubio,2009,"Jorge Machado, Roberta Palombini","Buy SD $7.99,"
4022,Dances with Wolves    ,"3 hours, 2 minutes",Kevin Costner,1990,"Kevin Costner, Mary McDonnell","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4023,8 Mile    ,"1 hour, 51 minutes",Curtis Hanson,2002,"Eminem, Kim Basinger","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4024,The Darjeeling Limited , 91 minutes ,Wes Anderson,2008,Owen Wilson,$4.97 
4025,The King's Speech , 119 minutes ,Tom Hooper,2011,Colin Firth,$9.99 
4026,Sometimes in Life    ,"1 hour, 14 minutes",Anthony Vallone,2010,"Enea Ceku, Wayne David Parker","Buy SD $14.99,"
4027,The Lottery of Birth    ,"1 hour, 17 minutes",Raoul Martinez,2013,"Michael Albert, Stanley Aronowitz","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4028,12 Years a Slave , 134 minutes ,Steve McQueen,2014,Chiwetel Ejiofor,$7.50 
4029,TCM Spotlight: Charlie Chan Collection (Dark Alibi / Dangerous Money / The Trap / The Chinese Ring) , 199 minutes ,Phil Karlson,2010,Sidney Toler,$16.75 
4030,The Players Club , 103 minutes ,Ice Cube,2007,Bernie Mac,$4.97 
4031,The Lincoln Lawyer , 118 minutes ,Brad Furman,2011,Marisa Tomei,$4.75 
4032,New Hope    ,"2 hours, 5 minutes",Rodney Ray,2012,"Samuel Davis, Perry Frost","Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4033,Of Mice and Men , 115 minutes ,Gary Sinise,2001,John Malkovich,$36.96 
4034,"Love, Lies & Lullabies    ","1 hour, 34 minutes",Rod Hardy,2013,"Susan Dey, Lorraine Toussaint","Buy SD $5.96,"
4035,Lovelife    ,"1 hour, 37 minutes",Jon Harmon Feldman,1997,"Saffron Burrows, Bruce Davison","Buy SD $4.99,"
4036,The Boy Next Door , 91 minutes ,Rob Cohen,2015,Jennifer Lopez,$12.99 
4037,"Hunchback of Notre Dame, The (BD) [Blu-ray] ", 117 minutes ,Various,2015,Various,$13.89 
4038,Simon Birch , 114 minutes ,Mark Steven Johnson,1999,Joseph Mazzello,$4.99 
4039,The Last of the Mohicans , 117 minutes ,Michael Mann,2014,Daniel Day-Lewis,$17.49 
4040,Topper Returns (1941)    ,"1 hour, 29 minutes",Roy Del Ruth,2007,"Joan Blondell, Roland Young","Buy SD $7.99,"
4041,The Devil's Backbone    ,"1 hour, 48 minutes",Guillermo del Toro,2001,"Marisa Paredes, Eduardo Noriega","Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
4042,Mean Girls (2004) , 97 minutes ,Various,2004,Various,$3.74 
4043,Joy Ride [Blu-ray] , 90 minutes ,John Dahl,2013,Paul Walker,$4.99 
4044,Do the Right Thing    ,"2 hours, 1 minute",Spike Lee,1989,"Danny Aiello, Ossie Davis","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4045,Please Be Normal    ,"1 hour, 30 minutes",Haik Kocharian,2015,"Sam Waterston, Louis Cancelmi","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
4046,Zipper    ,"1 hour, 53 minutes",Patrick Wilson,2015,"Patrick Wilson,Lena Headey","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $12.99,"
4047,The Cost of Love    ,"1 hour, 31 minutes",Carl Medland,2011,"Christopher Kelham, Valmike Rampersad","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4048,The Secret In Their Eyes    ,"2 hours, 10 minutes",Juan José Campanella,2010,"Soledad Villamil, Ricardo Darín","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4049,The Last Airbender    ,"1 hour, 44 minutes",M. Night Shyamalan,2010,"Noah Ringer, Dev Patel","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4050,The Pet    ,"1 hour, 32 minutes",D. Stevens,2015,"Pierre Dulat, Andrea Edmondson","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
4051,Afterlife    ,"1 hour, 1 minute",Paul Perry,2007,"Paul Perry, Jeff Long","Buy SD $7.99,"
4052,The African Queen , 105 minutes ,Various,2010,Various,$8.88 
4053,Only Lovers Left Alive    ,"2 hours, 4 minutes",Jim Jarmusch,2014,"Tom Hiddleston, Mia Wasikowska","Buy HD $14.99,Buy SD $12.99,"
4054,Joyride    ,"1 hour, 32 minutes",Quinton Peeples,1996,"Tobey Maguire, Amy Hathaway","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4055,Tuck Everlasting    ,"1 hour, 31 minutes",Jay Russell,2002,"Alexis Bledel, William Hurt","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4056,TCM Greatest Classic Films Collection: Romantic Comedies (Adam's Rib / Woman of the Year / The Philadelphia Story / Bringing Up Baby) , 433 minutes ,George Cukor,2009,Katharine Hepburn,$14.74 
4057,Woman Wanted    ,"1 hour, 51 minutes",Kiefer Sutherland,2000,"Holly Hunter, Kiefer Sutherland","Buy SD $9.99,"
4058,American History X    ,"1 hour, 59 minutes",Tony Kaye,1998,"Edward Norton, Edward Furlong","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4059,Always , 123 minutes ,Steven Spielberg,1999,Richard Dreyfuss,$10.04 
4060,Blow , 123 minutes ,Ted Demme,2008,Johnny Depp,$3.99 
4061,Tarantino XX: 8-Film Collection (Reservoir Dogs / True Romance / Pulp Fiction / Jackie Brown / Kill Bill: Vol. 1 / Kill Bill: Vol. 2 / Death Proof / Inglourious Basterds) [Blu-ray] , 1043 minutes ,Quentin Tarantino,2012,Uma Thurman,$74.99 
4062,Longford    ,"1 hour, 33 minutes",Tom Hooper,2007,"Lee Boardman, Jim Broadbent","Buy HD $9.99,Buy SD $7.99,"
4063,As Good As It Gets    ,"2 hours, 19 minutes",James L. Brooks,1997,"Jack Nicholson, Helen Hunt","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
4064,The Riverman    ,"1 hour, 31 minutes",Bill Eagles,2004,"Bruce Greenwood, Sam Jaeger","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
4065,Cargo 200 (English Subtitled)   ,"1 hour, 26 minutes",Aleksey Balabanov,2015,"Agniya Kuznetsova, Aleksey Poluyan","Buy SD $9.99,"
4066,The Descendants    ,"1 hour, 55 minutes",Alexander Payne,2011,"George Clooney, Shailene Woodley","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4067,Fiddler on the Roof    ,"3 hours, 2 minutes",Norman Jewison,1971,"Topol, Norma Crane","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4068,The Second Coming    ,53 minutes,Jack Walsh,1995,"Al Giordano,Jeff Constan","Buy SD $9.99,"
4069,Some Kind of Wonderful (Special Collector's Edition) , 94 minutes ,Howard Deutch,2013,Eric Stoltz,$8.74 
4070,Inside Man    ,"2 hours, 10 minutes",Spike Lee,2006,"Denzel Washington, Clive Owen","Rent HD $3.99,Rent SD $2.99,"
4071,Sideways    ,"2 hours, 7 minutes",Alexander Payne,2004,"Paul Giamatti, Thomas Haden Church","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4072,Mean Girls    ,"1 hour, 37 minutes",Mark Waters,2004,"Lindsay Lohan, Rachel McAdams","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4073,Inglourious Basterds    ,"2 hours, 34 minutes",Quentin Tarantino,2009,"Brad Pitt, Mélanie Laurent","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4074,Batman Begins [Blu-ray] , 140 minutes ,Christopher Nolan,2008,Christian Bale,$7.94 
4075,Total Recall    ,"1 hour, 59 minutes",Len Wiseman,2012,"Colin Farrell, Kate Beckinsale","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4076,The Proud Rebel    ,"1 hour, 53 minutes",Michael Curtiz,1958,"Alan Ladd, Olivia de Havilland","Buy SD $4.99,"
4077,The Miracle of Our Lady of Fatima , 102 minutes ,John Brahm,2006,Angela Clarke,$12.26 
4078,Bridge of Spies   ,0 seconds,Steven Spielberg,2015,"Tom Hanks,Mark Rylance","Pre-order HD $19.99,Pre-order SD $14.99,"
4079,A Night For Dying Tigers - (2010)    ,"1 hour, 37 minutes",Terry Miles,2010,"Jennifer Beals, Gil Bellows","Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
4080,Romeo + Juliet    ,"2 hours, 1 minute",Baz Luhrmann,1996,"Leonardo DiCaprio, Claire Danes","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4081,Blood Diamond    ,"2 hours, 24 minutes",Edward Zwick,2006,"Leonardo DiCaprio, Djimon Hounsou","Rent HD $3.99,Rent SD $2.99,Buy SD $9.99,"
4082,Turner and Hooch , 99 minutes ,Roger Spottiswoode,2002,Tom Hanks,$4.89 
4083,Blissful Lies    ,"2 hours, 21 minutes",Jennifer Brown-Thomas,2012,"Leann Hunley, Zach Rose","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4084,"Crazy, Stupid, Love ", 118 minutes ,Glenn Ficarra,2011,Steve Carell,$4.99 
4085,Harold and Maude , 91 minutes ,Hal Ashby,2000,Ruth Gordon,$5.13 
4086,The American Friend [Blu-ray] , 127 minutes ,Wim Wenders,1916,Dennis Hopper,$35.96 
4087,The Departed [Blu-ray] , 152 minutes ,Martin Scorsese,2007,Leonardo DiCaprio,$7.88 
4088,Western Approaches    ,"1 hour, 20 minutes",Pat Jackson,2014,"Eric Fullerton, Duncan MacKenzie","Buy SD $9.99,"
4089,Minesweeper    ,"1 hour, 7 minutes",William Berke,1943,"Richard Arlen, Jean Parker","Buy SD $9.99,"
4090,Girl on a Bicycle    ,"1 hour, 42 minutes",Jeremy Leven,2013,"Nora Tschirner, Vincenzo Amato","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4091,Guess Who's Coming to Dinner (40th Anniversary Edition) , 107 minutes ,Stanley Kramer,2008,Katharine Houghton,$8.74 
4092,True Grit , 129 minutes ,Various,2007,Various,$4.99 
4093,Murder On The Orient Express , 127 minutes ,Sidney Lumet,2013,Lauren Bacall,$8.75 
4094,For Love of the Game , 138 minutes ,Sam Raimi,2000,Kevin Costner,$6.54 
4095,Will to Love    ,"1 hour, 24 minutes",Chris B. Stokes,2015,"Marques Houston,Keshia Knight Pulliam","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
4096,One Body Too Many    ,"1 hour, 16 minutes",Frank McDonald,2007,"Jack Haley, Jean Parker","Buy SD $4.99,"
4097,Virtually a Virgin  (English Subtitled)   ,"1 hour, 43 minutes",Péter Bacsó,2008,"Julia Ubrankovics, Attila Tóth","Buy SD $9.99,"
4098,Mystery Of Mr. Wong    ,"1 hour, 13 minutes",William Nigh,1939,"Boris Karloff, Grant Withers","Buy SD $9.99,"
4099,Unwanted Presence    ,"1 hour, 31 minutes",Michael G. Barrett,2014,"Danielle Moceri, Sherry Morris","Rent HD $5.99,Rent SD $4.99,Buy HD $11.99,Buy SD $10.99,"
4100,Thelma & Louise    ,"2 hours, 10 minutes",Ridley Scott,1991,"Susan Sarandon, Geena Davis","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4101,Gabi: Russian Coffee (English Subtitled)   ,"1 hour, 57 minutes",Chang Yoon-Hyun,2012,"Jin-mo Ju,So-yeon Kim","Buy SD $7.99,"
4102,Reservoir Dogs (15th Anniversary Edition) [Blu-ray] , 99 minutes ,Quentin Tarantino,2007,Kirk Baltz,$5.00 
4103,The Stallion (English Subtitled)   ,53 minutes,Not Available,2005,Not Available,"Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4104,Letters To Juliet    ,"1 hour, 46 minutes",Gary Winick,2010,"Amanda Seyfried, Marcia DeBonis","Rent HD $3.99,Rent SD $2.99,Buy HD $18.99,Buy SD $17.99,"
4105,The Terminal    ,"2 hours, 9 minutes",Steven Spielberg,2004,"Tom Hanks, Catherine Zeta-Jones","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4106,The Royal Tenenbaums (The Criterion Collection) , 110 minutes ,Wes Anderson,2002,Owen Wilson,$13.99 
4107,Home for the Holidays , 103 minutes ,Jodie Foster,2001,Holly Hunter,$6.55 
4108,Moneyball , 133 minutes ,Bennett Miller,2012,Brad Pitt,$9.66 
4109,Winds Of The Wasteland    ,55 minutes,Mack V. Wright,1936,"John Wayne, Phyllis Fraser","Buy SD $9.99,"
4110,The Memphis Belle (1944)    ,42 minutes,William Wyler,2007,"Stanley Wray, Robert Morgan","Buy SD $7.99,"
4111,A Lonely Place to Die [Blu-ray] , 99 minutes ,Julian Gilbey,2012,Melissa George,$4.75 
4112,Barfly    ,"1 hour, 40 minutes",Barbet Schroeder,1987,"Mickey Rourke, Faye Dunaway",
4113,420: The Documentary    ,"1 hour, 28 minutes",Amy Povah,2014,"James Ball, David Chavez","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4114,The Boy    ,"1 hour, 52 minutes",Craig Macneill,2015,"David Morse,Rainn Wilson","Rent HD $0.99,Rent SD $0.99,Buy HD $4.99,Buy SD $4.99,"
4115,We Are Marshall (Widescreen Edition) , 131 minutes ,McG,2007,Matthew Mcconaughey,$3.99 
4116,The Perks of Being a Wallflower , 102 minutes ,Stephen Chbosky,2013,Logan Lerman,$4.99 
4117,Friday Night Lights    ,"1 hour, 58 minutes",Peter Berg,2004,"Billy Bob Thornton, Lucas Black","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4118,When The Game Stands Tall    ,"1 hour, 56 minutes",Thomas Carter,2014,"Jim Caviezel, Michael Chiklis","Buy HD $14.99,Buy SD $13.99,"
4119,"To Sir, With Love ", 105 minutes ,James Clavell,2000,Judy Geeson,$9.66 
4120,Children of Men    ,"1 hour, 50 minutes",Alfonso Cuarón,2007,"Clive Owen, Juan Gabriel Yacuzzi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4121,Veronica Mars , 107 minutes ,Rob Thomas,2014,Kristen Bell,$4.99 
4122,Extinction , 113 minutes ,Miguel Ángel Vivas,2015,Clara Lago,$16.92 
4123,Flight    ,"2 hours, 19 minutes",Robert Zemeckis,2012,"Nadine Velazquez, Denzel Washington","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4124,The Ultimate Gift , 117 minutes ,Michael O. Sajbel,2007,Drew Fuller,
4125,The Bridges of Madison County , 135 minutes ,Clint Eastwood,2010,Clint Eastwood,$7.31 
4126,Between Something & Nothing    ,"1 hour, 46 minutes",Todd Verow,2008,"Robert Axel, Gil Bar-Sela","Buy SD $9.99,"
4127,Heat    ,"2 hours, 51 minutes",Michael Mann,1995,"Al Pacino, Robert De Niro","Buy HD $13.99,Buy SD $13.99,"
4128,Pirates of Silicon Valley , 97 minutes ,Martyn Burke,2005,Noah Wyle,$14.49 
4129,50 to 1 , 111 minutes ,Jim Wilson,2015,Skeet Ulrich,$9.99 
4130,The War of the Worlds , 86 minutes ,Byron Haskin,2005,Gene Barry,$5.90 
4131,Little Monsters    ,"1 hour, 42 minutes",Richard Greenberg,1989,"Fred Savage, Howie Mandel","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4132,Need for Speed (Blu-ray + Digital HD) , 131 minutes ,Scott Waugh,2014,Aaron Paul,$13.99 
4133,Blue Jasmine    ,"1 hour, 39 minutes",Woody Allen,2013,"Cate Blanchett, Joy Carlin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4134,Glory  (Mastered in 4K) (Single-Disc Blu-ray + Ultra Violet Digital Copy) , 122 minutes ,Edward Zwick,2013,Cary Elwes,$12.49 
4135,Steel Magnolias    ,"1 hour, 59 minutes",Herbert Ross,1989,"Sally Field, Dolly Parton","Buy HD $12.99,Buy SD $7.99,"
4136,Invincible , 104 minutes ,Ericson Core,2006,Mark Wahlberg,$4.99 
4137,Double Indemnity    ,"1 hour, 48 minutes",Billy Wilder,1944,"Fred MacMurray, Barbara Stanwyck","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4138,Save The Last Dance    ,"1 hour, 53 minutes",Thomas Carter,2001,"Julia Stiles, Sean Patrick Thomas","Rent SD $2.99,Buy SD $9.99,"
4139,Close Encounters of the Third Kind [Blu-ray] , 404 minutes ,Steven Spielberg,2011,Melinda Dillon,$11.49 
4140,Jesse Stone: Night Passage    ,"1 hour, 31 minutes",Robert Harmon,2006,"Tom Selleck, Saul Rubinek","Buy HD $12.99,Buy SD $9.99,"
4141,Master And Commander    ,"2 hours, 19 minutes",Peter Weir,2003,"Russell Crowe, Paul Bettany","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4142,We Bought A Zoo    ,"2 hours, 4 minutes",Cameron Crowe,2011,"Matt Damon, Scarlett Johansson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4143,Braveheart [Blu-ray] , 107 minutes ,Various,2009,Various,$9.68 
4144,Moon [Blu-ray] , 97 minutes ,Duncan Jones,2010,Sam Rockwell,$9.49 
4145,West Side Story    ,"2 hours, 32 minutes",Jerome Robbins,1961,"Natalie Wood, Richard Beymer","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4146,100 Lives    ,"1 hour, 29 minutes",Phil Darius Wallace,2013,"Phil Darius Wallace, Kenon Walker",
4147,Pressed    ,"1 hour, 46 minutes",Justin Donnelly,2013,"Luke Goss, Tyler Johnston","Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
4148,Play With Fire    ,"1 hour, 25 minutes",Soren Johnstone,2011,Michael Townsend,"Buy SD $9.99,"
4149,Munich [Blu-ray] , 164 minutes ,Steven Spielberg,2015,Eric Bana,$13.99 
4150,Some Velvet Morning    ,"1 hour, 24 minutes",Neil LaBute,2013,"Stanley Tucci, Alice Eve","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4151,Out of Africa    ,"2 hours, 42 minutes",Sydney Pollack,1985,"Meryl Streep, Robert Redford","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4152,Christine (Special Edition) , 110 minutes ,John Carpenter,2004,Harry Dean Stanton,$9.63 
4153,Luther , 123 minutes ,Eric Till,2004,Joseph Fiennes,$22.99 
4154,Die Hard    ,"2 hours, 13 minutes",John McTiernan,1988,"Bruce Willis, Bonnie Bedelia","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4155,Moonstruck (Deluxe Edition) , 102 minutes ,Norman Jewison,2006,Cher,$17.57 
4156,April Showers (English Subtitled)   ,"1 hour, 16 minutes",Ivo Ferreira,2011,"Goncalo Waddington,Joana Seixas","Buy SD $6.99,"
4157,Pearl Harbor    ,28 minutes,Educational Clearing House Inc.,2001,Tru Hawkins,"Buy SD $9.99,"
4158,Bringing Up Baby , 102 minutes ,Howard Hawks,2011,Katharine Hepburn,$8.65 
4159,White God    ,"2 hours, 2 minutes",Kornél Mundruczó,2015,"Zsófia Psotta, Sándor Zsótér","Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $12.99,"
4160,Babies    ,"1 hour, 34 minutes",Michael Ray Rhodes,2013,"Lindsay Wagner, Dinah Manoff","Buy SD $5.96,"
4161,4 Movie Marathon: James Stewart Western Collection (Bend of the River / The Far Country / Night Passage / The Rare Breed) , 377 minutes ,Anthony Mann,2012,James Stewart,$5.00 
4162,Little Nicky (New Line Platinum Series) , 84 minutes ,Steven Brill,2001,Adam Sandler,$7.47 
