Title_A,Authors_A,ISBN_A,Publisher_A,Pages_A,Price_A,Title_B,Authors_B,ISBN_B,Publisher_B,Pages_B,Price_B,Gold
MySQL Administrator's Guide,MySQL AB,9780672332654,Pearson Education,696.0,$18.49,Beginning Access 2007 VBA,,9780470046845.0," Wrox; 1 edition (April 30, 2007)",576.0,$20.19,0
Fuzziness in Database Management Systems / Edition 1,Patrick Bosc,9783790808582,Physica-Verlag HD,433.0,$289.00,Problem Solving Cases with Microsoft Access and Excel,,9781423902133.0," Cengage Learning; 6 edition (January 28, 2008)",224.0,$91.42,0
Advantage Series Microsoft Access 2000 Complete Edition (Expert and Level 1),"Sarah Hutchinson-Clifford,  Glen J. Coulthard,  Glen J. Coulthard",9780072348019,"McGraw-Hill Companies, The",328.0,,Exam 98-369 Cloud Fundamentals,,9781119062868.0," Wiley; 1 edition (November 2, 2015)",192.0,$76.18,0
Object-Oriented Database Design Clearly Explained / Edition 1,Jan L. Harrington,9780123264282,Elsevier Science & Technology Books,312.0,$1.99,Data Mining Techniques and Applications: An Introduction,,9781844808915.0," Cengage Learning EMEA (May 17, 2010)",336.0,,0
INTRODUCTION TO DATA MINING WITH CASE STUDIES,G. K. GUPTA,9788120350021,PHI Learning,,$7.50,Microsoft® Active Directory® Branch Office Guide Volume 1: Planning,,9780735618244.0," Microsoft Press; 1 edition (July 24, 2002)",88.0,$5.03,0
Managing Data Mining: Advice from Experts,Kudyba,9781591402435,IGI Global,250.0,,DBA's Guide to Databases Under Linux,,9781928994046.0," Syngress; 1 edition (May 15, 2000)",485.0,,0
Optimizing Performance in DB2,William H. Inmon,9780136382300,Prentice Hall Professional Technical Reference,208.0,,Microsoft SQL Server 2012 A Beginners Guide 5/E,,9780071761604.0," McGraw-Hill Education; 5 edition (March 23, 2012)",832.0,$24.56,0
Upgrading SAP®,Maurice Sens,9781449630072,Jones & Bartlett Learning,331.0,$55.99,Sams Teach Yourself Oracle8 Database Development in 21 Days,David Lockman,9780672310782.0," Sams; Pap/Cdr edition (August 15, 1997)",665.0,,0
Mining the World Wide Web: An Information Search Approach / Edition 1,"George Chang,  Marcus Healey,  James A. M. McHugh,  T.L. Wang",9780792373490,Springer US,170.0,$229.00,Learn SQL in 400 Minutes,Kalman Toth,9781482007428.0," CreateSpace Independent Publishing Platform (January 17, 2013)",440.0,,0
Databases Demystified: A Self-Teaching Guide,Andrew Oppel,9780072253641,"McGraw-Hill Companies, The",360.0,$1.99,Inside RRAS: Remote Access Solutions for Windows NTÂ,David Iseminger,9780471251590.0," Wiley; 1 edition (April 20, 1998)",400.0,$3.24,0
Visual FoxPro Program Basic,"Whil Hentzen,  Leonard Stearns",9780078820922,Osborne/McGraw-Hill,418.0,,Oracle8I for Windows Nt Starter Kit (Oracle Press Series),,9780072122480.0," Mcgraw-Hill Osborne Media (November 1, 2005)",688.0,$0.57,0
Metadata Management for Information Control and Business Success,Guy Tozer,9780890062807,"Artech House, Incorporated",348.0,$79.00,"Discrete Mathematics and Theoretical Computer Science: 4th International Conference, DMTCS 2003, Dijon, France, July 7-12, 2003. Proceedings (Lecture Notes in Computer Science)",,9783540405054.0," Springer; 2003 edition (August 13, 2003)",300.0,$109.00,0
Ingres: Tools for Building an Information Architecture,"Carl Malamud,  Malamudc",9780442318000,Van Nostrand Reinhold,337.0,,"String Processing and Information Retrieval: 17th International Symposium, SPIRE 2010, Los Cabos, Mexico, October 11-13, 2010, Proceedings (Lecture Notes in Computer Science)",,9783642163203.0," Springer; 2010 edition (December 9, 2010)",408.0,$109.00,0
"Advanced Database Systems: 10th British National Conference on Databases, BNCOD 10, Aberdeen, Scotland, July 6 - 8, 1992. Proceedings / Edition 1",Peter M.D. Gray,9783540556930,Springer Berlin Heidelberg,265.0,$99.00,"How to Cheat at Managing Windows Server Update Services, Volume 1",,9781597490276.0," Syngress; 1 edition (March 2, 2006)",392.0,$44.44,0
"Service Parts Planning with mySAP SCM: Processes, Structures, and Functions / Edition 1",Jorg T. Dickersbach,9783540326502,Springer Berlin Heidelberg,296.0,$54.52,dBASE IV: Programmer's Reference Guide (Database Performance Library),Edward Jones,9780672226540.0, Sams Publishing; 1st edition (January 1989),600.0,,0
Pro Data Visualization using R and JavaScript,Tom Barker,9781430258063,Apress,216.0,$39.57,PHP and MySQL for Beginners,,9780990402015.0," LearnToProgram, Incorporated (May 9, 2014)",518.0,,0
Databases in Theory and Practice,"John Paul Jones,  J. A. Jones",9781850322887,Cengage Learning,256.0,,SQL Backup and Recovery Joes 2 Pros (R): Techniques for Backing Up and Restoring Databases in SQL Server,Tim Radney,9781939666086.0," Joes 2 Pros International LLC (October 9, 2012)",152.0,,0
FoxPro Windows Advanced Multi-Users Developers Handbook,"Pat Adams,  Jordan Powell",9781566861007,Brady Publishing,1200.0,,Access 7 (Teach Yourself Computing),Moira Stephen,9780340697504.0," Teach Yourself Books (July 2, 1997)",190.0,,0
Oracle SQL Thinking: Vom Problem zum SQL-Statement mit Oracle 12c,"Cornel Brücher,  Wulf Kollmann,  Frank Jüdes",9783826695827,MITP,,$32.82,DB2 Administration Solution Pack for Z/Os: Streamlining DB2 for Z/Os Database Administration,,9780738438665.0," Vervante (August 27, 2013)",314.0,,0
Access Database Design and Programming,PhD Steven Roman,9780596002732,"O'Reilly Media, Incorporated",450.0,$30.78,Functional Reactive Programming,,9781633430105.0," Manning Publications; 1 edition (January 31, 2016)",245.0,$33.74,0
Access 2000 VBA Handbook,Susann Novalis,9780782123241,Wiley,845.0,,Mysql (Programacion / Programming) (Spanish Edition),,9788441518988.0," Anaya Multimedia; 1 Tra edition (June 30, 2005)",1118.0,,0
Exploring Microsoft Office Access 2010 Introductory,"Robert Grauer,  Mary Anne Poatsy,  Keith Mast,  Lynn Hogan",9780132092272,Prentice Hall,336.0,$16.53,Beginning Visual Basic 6 Application Development (Programmer to programmer),,9781861001092.0," Peer Information Inc. (January 15, 2000)",823.0,,0
Paradox 4 Programming Guide,Valerie Schmieder,9780915391622,"Slawson Communications, Incorporated",360.0,,Generic Programming for Borland C++/Book and Disk,,9780830642632.0, Windcrest; Pap/Dis edition (March 1993),320.0,,0
Microsoft SQL Server 6.5 Programming Unleashed,"Peter DeBetta,  John Papa,  Dave Martin",9780672312441,Sams,912.0,,Developer's Guide to Oracle Tools with CDROM,,9781556227172.0, Wordware Publishing (January 2000),800.0,,0
LAN Applications,New Riders Development Group Staff,9781562050573,New Riders,800.0,,Oracle SOA Suite 12c Handbook (Oracle Press),,9780071824552.0," McGraw-Hill Education; 1 edition (September 2, 2015)",912.0,$44.04,0
R for Everyone: Advanced Analytics and Graphics / Edition 1,Jared Lander,9780321888037,Addison-Wesley,464.0,$8.22,Geoprocessing with Python,,9781617292149.0," Manning Publications; 1 edition (March 2, 2016)",400.0,$48.39,0
Quick Course in Microsoft Access 2000: Effective Software Training for People in a Hurry,"Online Press,  Inc,  Cnline Press Anc,  Online Press Inc",9781572319790,Microsoft Press,208.0,,Oracle SQL and Introductory PL/SQL,,9780072860467.0," McGraw-Hill/Irwin; 1 edition (July 22, 2003)",264.0,$15.30,0
Modern Computational Approaches to Traditional Chinese Medicine,Zhaohui Wu,9780123985101,Elsevier Science,250.0,$150.00,"Data Warehousing and Decision Support : The State of the Art, Volume 1",,9781571090058.0, Spiral Books (April 1995),200.0,,0
Microsoft Access 2010 Step by Step,"Joyce Cox,  Joan Lambert",9780735626928,Microsoft Press,448.0,$21.86,IBM Informix Dynamic Server 11: The Next Generation in OLTP Data Server Technology,,9781583470756.0," Mc Press (June 1, 2007)",104.0,$0.01,0
High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches,Cui Yu,9783540441991,Springer Berlin Heidelberg,156.0,$99.00,The Oracle  Designer/2000 Handbook,"Carrie Anderson, David Wendelken",9780201634457.0," Addison-Wesley Professional; 1 edition (November 23, 1996)",624.0,$24.55,0
No Stress Tech Guide to Crystal Reports XI for Beginners,Indera Murphy,9780977391233,Tolana Publishing,520.0,,Design Databases: Microsoft Access 2010 (Tilde <i>skills</i>),Tilde skills,9780734607874.0," Tilde University Press; 2 edition (March 15, 2014)",190.0,,0
Processing And Managing Complex Data For Decision Support,Jerome Darmont,9781591406556,IGI Global,450.0,$94.95,MINERIA DE DATOS. REDES NEURONALES Y ARBOLES DE DECISION. Ejemplos con SAS ENTERPRISE MINER,Cesar Perez Lopez,9781493768400.0," CreateSpace Independent Publishing Platform; Bilingual edition (November 14, 2013)",196.0,,0
Oracle Developer/2000 Handbook,Robert J. Muller,9780078821806,"McGraw-Hill Companies, The",504.0,,"DB2 9 for Linux, UNIX, and Windows Database Administration: Certification Study Guide",Roger E. Sanders,9781583470770.0," Mc Press; Stg edition (October 1, 2007)",880.0,$64.95,0
Business Analytics / Edition 2,James R. Evans,9780321997821,Pearson,656.0,$61.01,Einführung in Business Intelligence mit SAP NetWeaver 7.0 (German Edition),Claus Rautenstrauch,9783540795360.0," Springer; 2009 edition (December 9, 2008)",499.0,$69.99,0
"Mambo: Installation, Administration, Anwendung und Entwicklung / Edition 1",Robert Deutz,9783540221586,Springer Berlin Heidelberg,331.0,$79.99,PHP y MySQL: Manual de Programación USERS .CODE (Manuales Users en Espanol/Spanish) (Manuales Users.Code) (Spanish Edition),,9789875262942.0, MP Ediciones S.A. (June 2005),432.0,,0
Find It Online!,Robert I. Berkman,9780830645701,T A B Books,400.0,,"Algorithms in Bioinformatics: First International Workshop, WABI 2001, Aarhus, Denmark, August 28-31, 2001, Proceedings (Lecture Notes in Computer Science)",,9783540425168.0," Springer; 2001 edition (September 21, 2001)",314.0,,0
SQL Server 7: A Beginner's Guide,"Dusan Petkovic,  Lance Ravella",9780072118919,Osborne/McGraw-Hill,479.0,,DB2 Cube Views: A Primer,,9780738499734.0, Ibm (September 2003),754.0,,0
The SAP R/3 System: An Introduction to ERP and Business Software Technology / Edition 2,"Rudiger Buck-Emden,  Dr Rudiger Buck-Emden",9780201596175,Pearson Education,288.0,$1.99,Sams Teach Yourself SQL in 24 Hours (5th Edition),,9780672335419.0," Sams Publishing; 5 edition (May 23, 2011)",504.0,$25.55,0
Zabbix Network Monitoring Essentials,"Andrea Dalle Vacche,  Stefano Kewan Lee",9781784394080,Packt Publishing,,$14.99,Expert Oracle Database 11g Administration,,9781430220176.0," Apress; 1st ed. 2009 edition (November 16, 2010)",1346.0,,0
DBASE IV SmartStart,"John M. Preston,  M. Dalkibic",9781565292512,Que,256.0,,DB2 for Os/390 and Z/OS Powering the World's E-Business Solutions,,9780738422541.0, Ibm (June 2001),342.0,,0
Fast Facts on-Line: Search Strategies for Finding Business Information,Dan Ness,9780870947001,"McGraw-Hill Companies, The",548.0,,"Business Intelligence & Data Warehousing Simplified: 500 Questions, Answers, & Tips",Arshad Khan,9781936420322.0," Mercury Learning & Information (December 15, 2011)",250.0,$27.96,0
Delphi COM Programming,Eric Harmon,9781578702213,Macmillan Technical Publishing,510.0,,Data Warehousing: Regulatory and Market Intelligence for R&D Organizations,,9780471325581.0," Wiley; 1 edition (July 13, 1998)",100.0,,0
Interactive Data Warehousing Via the Web,Harinder S. Singh,9780130803719,"Prentice Hall, Incorporated",502.0,,ARENA und Microsoft Access (German Edition),Matthias Wichmann,9783638657266.0," GRIN Verlag (November 25, 2013)",60.0,,0
Developing with Couchbase Server,MC Brown,9781449331160,"O'Reilly Media, Incorporated",88.0,$19.99,Oracle Developer/2000 Forms,Albert Lulushi,9780139490330.0, Prentice Hall PTR (November 1998),952.0,,0
Forecasting Oracle Performance,Craig Shallahamer,9781430242932,Apress,296.0,$49.99,"Distributed Algorithms: 2nd International Workshop, Amsterdam, The Netherlands, July 8-10, 1987. Proceedings (Lecture Notes in Computer Science)",Jan van Leeuwen,9783540193661.0," Springer; 1988 edition (May 1, 1988)",432.0,$119.00,0
Security Planning and Disaster Recovery,"Eric Maiwald,  William Sieglein",9780072224634,"McGraw-Hill Companies, The",299.0,,Creating Access Applications/Book and Disk,Melissa W. Dunn,9781565296367.0, Que Pub; Pap/Dskt edition (July 1994),550.0,,0
Oracle Database Programming using Java and Web Services,Kuassi Mensah,9781555583293,Elsevier Science,1120.0,$13.38,Building Queries: Using Microsoft Access 2010,,9780615827629.0," Sycamore Technical Press; 1 edition (June 24, 2013)",140.0,,0
Head First SQL: Your Brain on SQL -- A Learner's Guide,Lynn Beighley,9780596526849,"O'Reilly Media, Incorporated",610.0,$36.63,"Spatial and Temporal Databases: 13th International Symposium, SSTD 2013, Munich, Germany, August 21-23, 2013, Proceedings (Lecture Notes in Computer ... Applications, incl. Internet/Web, and HCI)",,9783642402340.0," Springer; 2013 edition (July 15, 2013)",502.0,$97.28,0
Agile Data Science: Building Data Analytics Applications with Hadoop,Russell Jurney,9781449326265,"O'Reilly Media, Incorporated",178.0,$34.42,Distributed Functions of DB2 for Z/OS and Os/390,,9780738453187.0, Ibm (June 2003),372.0,,0
Beginning Relational Data Modeling / Edition 2,"Sharon Allen,  Evan Terry",9781590594636,Apress,632.0,$34.44,DB2 Cube Views: A Primer,,9780738499734.0, Ibm (September 2003),754.0,,0
PC Data Recovery and Disaster Prevention,S. Harris,9781855541627,"Wiley, John & Sons, Incorporated",256.0,,Internet Server Construction Kit for WindowsÂ,Greg Bean,9780471126966.0," Wiley (October 4, 1995)",432.0,$11.49,0
Relational Database Systems: Analysis and Comparison,Joachim W. Schmidt,9783642688492,Springer Berlin Heidelberg,620.0,$99.00,Text Processing with Ruby: Extract Value from the Data That Surrounds You,,9781680500707.0," Pragmatic Bookshelf; 1 edition (October 2, 2015)",200.0,$32.26,0
Advances in Data Base Theory,Herve Gallaire,9780306406294,Basic Books,440.0,,Distributed Computing with IBMÂ MQSeries,Leonard Gilman,9780471149347.0," Wiley (November 8, 1996)",283.0,$2.65,0
Secure Data Management in Decentralized Systems / Edition 1,Ting Yu,9780387276946,Springer US,462.0,$199.00,Informix Universal Data Option (Client/Server),Paul R. Allen,9780079136978.0," Computing Mcgraw-Hill (August 1, 1998)",853.0,,0
Physical Database Design for SYBASE SQL Server,"Sybase Worldwide Professional Services G,  Jean Tabaka,  Dean Muench",9780131615236,Prentice Hall Professional Technical Reference,256.0,,Using Microsoft Excel and Access 2013 for Accounting (with Student Data CD-ROM),Glenn Owen,9781285183473.0," South-Western College/West; 4 edition (January 6, 2014)",384.0,$111.67,0
Mastering ColdFusion 5 with CD-ROM,"Arman Danesh,  Raymond Camden,  Kristin Aileen Motlagh",9780782129793,"Sybex, Incorporated",9780782129793.0,,Create and Use Databases (Access 2002),"Cheryl Price, Julia Wix",9781877305443.0, Software Publications (July 2002),200.0,,0
"Advances in Databases and Information Systems: Proceedings of the Second International Workshop on Advances in Databases and Information Systems (ADBIS'95), Moscow, 27-30 June 1995",Johann Eder,9783540760146,Springer London,498.0,$129.00,"PRICAI 2014: Trends in Artificial Intelligence: 13th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2014, Gold Coast, QLD, ... (Lecture Notes in Computer Science)",,9783319135595.0," Springer; 2014 edition (October 28, 2014)",1102.0,$179.00,0
Information Engineering for the Practioner: Putting Theory into Practice,William H. Inmon,9780134645797,Prentice Hall Professional Technical Reference,294.0,,dBase III User's Handbook,,9780345323781.0," Ballantine Books; 1st Ballantine Books ed edition (May 12, 1985)",275.0,,0
Expert Performance Indexing for SQL Server 2012,"Jason Strate,  Ted Krueger",9781430237419,Apress,354.0,$40.31,The Definitive DataWindow: Your Key to  PowerBuilder Success,Richard Brooks,9780201702248.0," Addison-Wesley Professional (April 6, 2000)",800.0,,0
Disaster Proofing Information Systems: A Complete Methodology for Eliminating Single Points of Failure / Edition 1,Robert Buchanan,9780071409223,McGraw-Hill Professional Publishing,268.0,$61.00,Applied Microsoft SQL Server 2008 Reporting Services,Teo Lachev,9780976635314.0," Prologika Press (August 15, 2008)",768.0,,0
Integrated Approach to Environmental Data Management Systems,Nilgun B. Harmanciogammalu,9789401063678,Springer Netherlands,546.0,$99.00,Up and Running With DB2 for Linux (Ibm Redbooks),,9780738427676.0, Ibm; 1 edition (March 2003),336.0,,0
Writing Information Security Policies / Edition 1,Scott Barman,9781578702640,Pearson Technology Group 2,244.0,$30.72,PowerBuilder 5 Developer's Resource: Client/Server Programming for the Enterprise,Robin Schumacher,9780132711562.0," Prentice Hall Ptr (December 30, 1996)",672.0,$10.67,0
Computational Technologies: A First Course,"A. G. Churbanov,  Nadezhda M. Afanasyeva,  Victor S. Borisov",9783110359923,"De Gruyter, Walter, Inc.",236.0,$56.00,Pete Cassidy's Cookbook for Oracle SQL*Plus,,," Chef Pierre (October 1, 1995)",243.0,,0
Getting Started with Couchbase Server,MC Brown,9781449331061,"O'Reilly Media, Incorporated",90.0,$19.99,Quick Course in Microsoft Access 97 (Education/Training Edition),Joyce Cox,9781879399730.0, Online Press Inc. (January 1997),171.0,$4.00,0
Doing More with SAS/ASSIST 9.1,"Inc SAS Institute,  Sas Institute",9781590472064,SAS Institute Inc.,284.0,,Computational Engineering - Introduction to Numerical Methods,Michael Schäfer,9783540306856.0," Springer; 2006 edition (April 3, 2006)",321.0,$109.00,0
Inside ODBC: Developer's Guide to the Industry Standard for Database Connectivity,Kyle Geiger,9781556158155,Microsoft Press,512.0,,Oracle8 Database Design Using UML  Object Modeling,Paul Dorsey,9780078824746.0," Oracle Press (December 21, 1998)",496.0,,0
Access 2002 Development Unleashed,"Stephen Forte,  James Ralston,  Tom Howe",9780672321207,Pearson Education,835.0,,The Macintosh Bible Guide to FileMaker Pro: All You Need to Know to Manage Your Files Quickly and Efficiently,Charles Rubin,9780940235229.0, Peachpit Press Publications (May 1992),288.0,,0
Agile Data Science: Building Data Analytics Applications with Hadoop,Russell Jurney,9781449326265,"O'Reilly Media, Incorporated",178.0,$34.42,Microsoft Access 2000 Step by Step Courseware: Core Skills Student Guide (Eu-Step By Step Ilt),,9780735607026.0, Microsoft Pr (January 2000),192.0,,0
Reporting with Microsoft SQL Server 2012,"James Serra,  Bill Anton",9781782171720,Packt Publishing,142.0,$34.99,Teach Yourself Access 97 in 14 Days (Sams Teach Yourself),Paul Cassel,9780672309694.0, Sams Publishing; 4 Sub edition (February 1997),712.0,,0
Microsoft ADO.NET 4 Step by Step,Tim Patrick,9780735638884,Microsoft Press,440.0,$34.42,e-Government and Employment Services: A Case Study in Effectiveness (SpringerBriefs in Applied Sciences and Technology),Piercarlo Maggiolini,9783319020297.0," Springer; 2014 edition (December 28, 2014)",95.0,,0
Microsoft Office Access 2007: Illustrated Introductory / Edition 1,Lisa Friedrichsen,9781423905189,Cengage Learning,256.0,$1.99,The Guru's Guide to SQL Server Boxed Set,,9780321287502.0," Addison-Wesley Professional (October 22, 2004)",2400.0,,0
"Intelligent Information Processing and Web Mining: Proceedings of the International IIS: IIPWM'05 Conference held in Gdansk, Poland, June 13-16, 2005",Mieczyslaw A. Klopotek,9783540250562,Springer Berlin Heidelberg,684.0,$539.00,Inside dBase IV,,9781850581338.0," Sigma Press (May 17, 1989)",232.0,,0
Amazon Redshift: A Columnar Database SQL and Architecture (PagePerfect NOOK Book),"Tom Coffing,  David Cook",9781940540290,Coffing Publishing,619.0,$106.99,Microsoft Word 2000 Quick Access (Quick Access Reference Charts),,9780878913237.0," Research & Education Association (October 22, 1999)",4.0,,0
Clustering and Information Retrieval,Weili Wu,9781461379492,Springer US,330.0,$229.00,Oracle Database Administration Concepts & Implementation Made Simple,,9780977073900.0," Takveen, Inc. (July 15, 2005)",400.0,,0
Essential Guide to Object Monitors,"Karen Boucher,  Fima Katz",9780471319719,Wiley,272.0,,"Emerging Trends in Knowledge Discovery and Data Mining: PAKDD 2012 International Workshops: DMHM, GeoDoc, 3Clust, and DSDM, Kuala Lumpur, Malaysia, ... / Lecture Notes in Artificial Intelligence)",,9783642367779.0," Springer; 2013 edition (February 9, 2013)",157.0,,0
SQL/400: A Professional Programmer's Guide,"Tim Martyn,  Richard Johnson,  Tim Hartley",9780070407992,"McGraw-Hill Companies, The",499.0,,Individual-based Modeling and Ecology: (Princeton Series in Theoretical and Computational Biology),Volker Grimm,9780691096667.0," Princeton University Press (July 25, 2005)",448.0,,0
Metadata Fundamentals For All Librarians / Edition 1,Priscilla Caplan,9780838908471,ALA Editions,204.0,$49.73,Tera-Tom on Teradata Utilities V12/V13,,9780983336341.0," Coffing Publishing; 1st edition (August 1, 2011)",423.0,,0
Programming and Problem Solving with Delphi,Mitchell Kerman,9780201708448,Addison Wesley,650.0,,Introducing Microsoft WebMatrix,Laurence Moroney,9780735649705.0," Microsoft Press; 1 edition (May 21, 2011)",320.0,$26.23,0
Special Edition Using Microsoft Office Access 2003,Roger Jennings,9780789729521,Que,1502.0,$44.10,Learn Oracle 8i,,9781556227318.0," Wordware Publishing, Inc.; 1 edition (May 25, 2000)",474.0,,0
The Adaptive Web: Methods and Strategies of Web Personalization / Edition 1,Peter Brusilovski,9783540720782,Springer Berlin Heidelberg,766.0,$149.00,DB2 Cube Views: A Primer,,9780738499734.0, Ibm (September 2003),754.0,,0
"Database and Expert Systems Applications: 7th International Conference, DEXA '96, Zurich, Switzerland, September 9 - 13 , 1996. Proceedings",Roland Wagner,9783540616566,Springer Berlin Heidelberg,926.0,$169.00,Access 97: No Experience Required,Celeste Robinson,9780782121506.0, Sybex Inc (October 1997),496.0,,0
Instant Highcharts,Cyril Grandjean,9781849697552,Packt Publishing Pvt. Ltd.,,$14.99,dBASE IV 1.1 Programmer's Desktop Reference,Alan Simpson,9780895885395.0, Sybex Inc (June 1991),1050.0,,0
Oracle Quick Guides Part 2 - Oracle Database Design,Malcolm Coxall,9788494178368,Malcolm Coxall - Cornelio Books,96.0,$7.99,Microsoft® Access Version 2002 Inside Out,,9780735612839.0," Microsoft Press; 1st edition (January 5, 2002)",1152.0,$21.14,0
Microsoft SQL Server 2005 New Features (Database Series),Michael Otey,9780072227765,McGraw-Hill Osborne,275.0,$39.99,Scaling Apache Solr,,9781783981748.0," Packt Publishing - ebooks Account (August 4, 2014)",215.0,,0
CommVault Concepts & Design Strategies,Frank H Celauro,2940013971783,Frank H Celauro,573.0,$39.99,Oracle HTML DB Handbook (Oracle Press),,9780072257687.0," McGraw-Hill Education; 1 edition (March 20, 2006)",486.0,$55.00,0
"Visual Basic .NET Developer&#039;s Guide to ASP .NET, XML and ADO.NET","Jeffrey P. McManus,  Chris Kinsman",9780672321313,Addison-Wesley,9780672321313.0,$1.99,Learn Oracle 8i,,9781556227318.0," Wordware Publishing, Inc.; 1 edition (May 25, 2000)",474.0,,0
Camelot and Avalon: A Distributed Transaction Facility,Jeffrey L. Eppinger,9781558601857,Elsevier Science & Technology Books,424.0,,Client/Server Computing for Dummies,Doug Lowe,9780764500664.0, John Wiley & Sons Inc (Computers); 2 edition (March 1997),400.0,,0
"Advances in Spatial Databases: 2nd Symposium, SSD '91 Zurich, Switzerland, August 28-30, 1991 Proceedings",O. Gunther,9780387544144,"Springer-Verlag New York, LLC",471.0,,Apriendiendo Microsoft Access/Learning Microsoft Access (Spanish Edition),Jose Emmanuel Ulibarri,9789709364835.0," Porrua Editorial S.A. De C.V. (August 30, 2003)",101.0,,0
Access 97 Exam Prep,"Elizabeth Eisner Reding,  Lisa Friedrichsen,  Lisa Friedrichsen",9781576102312,Coriolis Group,432.0,,SQL Server T-SQL Comprehensive: version 2012,,9780988330047.0," AlphaPress; 1 edition (September 1, 2014)",414.0,,0
IBM Totalstorage Peer-to-Peer Virtual Tape Server Planning and Implementation Guide,Barry Kadleck,9780738426907,I B M,310.0,,Using MySQL on Linux,,9788176569514.0," BPB Publications (November 30, 2004)",300.0,,0
SQL for eServer i5 and iSeries,Kevin Forsythe,9781583470480,Mc Press,350.0,$55.27,Access 97 SECRETSÂ,"Cary N. Prague, James D. Foxall",9780764530432.0," Wiley (March 4, 1997)",1091.0,$23.49,0
SAP ABAP Command Reference,Dennis Barrett,9780759659124,AuthorHouse,224.0,$15.15,"Algorithm Theory - SWAT '92: Third Scandinavian Workshop on Algorithm Theory, Helsinki, Finland, July 8-10, 1992. Proceedings (Lecture Notes in Computer Science)",,9783540557067.0," Springer; 1992 edition (July 16, 1992)",436.0,$119.00,0
Oracle Database 12c SQL / Edition 1,Jason Price,9780071799355,McGraw-Hill Professional Publishing,688.0,$30.65,Oracle Security,,9781565924505.0," O'Reilly Media; 1 edition (October 11, 1998)",456.0,,0
"Data Warehousing and Knowledge Discovery: 9th International Conference, DaWaK 2007, Regensburg, Germany, September 3-7, 2007, Proceedings",Il Yeol Song,9783540745525,Springer Berlin Heidelberg,484.0,$129.00,Oracle Server Programming,,9780201877502.0, Addison-Wesley Pub (Sd) (August 2000),464.0,,0
FileMaker Pro 7 Advanced for Windows and Macintosh (Visual QuickPro Guide Series),"Cynthia L. Baron,  Daniel Peck",9780321199560,Peachpit Press,443.0,,Sams Teach Yourself Microsoft Access 2000 in 10 Minutes,Faithe Wempen,9780672314872.0," Sams Publishing; 1 edition (May 7, 1999)",256.0,$7.98,0
Coldfusion 5 Developer's Guide,Michael Buffington,9780072132250,"McGraw-Hill Companies, The",644.0,$56.30,OpenGL Development Cookbook,Muhammad Mobeen Movania,9781849695046.0," Packt Publishing (June 25, 2013)",326.0,,0
Marketing Analytics: Data-Driven Techniques with Microsoft Excel,Wayne L. Winston,9781118373439,Wiley,720.0,$35.89,"Joe Celko's Thinking in Sets: Auxiliary, Temporal, and Virtual Tables in SQL (The Morgan Kaufmann Series in Data Management Systems)",Joe Celko,9780123741370.0," Morgan Kaufmann; 1 edition (February 5, 2008)",384.0,$28.85,0
Microsoft Access 2000: Core and Expert Certification,"Nita Hewitt Rutkosky,  Meredith Flynn,  Nita Hewitt Rutkosky",9780763802400,EMC/Paradigm Publishing,436.0,,DB2 9 Exam 730 Practice Questions,Robert Wingate,9780557033188.0," Lulu.com (December 10, 2008)",168.0,,0
"SQL The Complete Reference, 3rd Edition / Edition 3","James Groff,  Paul Weinberg,  Andy Oppel",9780071592550,McGraw-Hill Professional Publishing,912.0,$38.94,Interactive Computing Series:  Microsoft Access 2000 Brief Edition,,9780072340754.0," McGraw-Hill Technology Education; 1 edition (May 7, 1999)",160.0,$3.21,0
Learn FileMaker Pro 7,"Jonathan Stars,  Janice Child",9781556220982,"Wordware Publishing, Inc.",515.0,,"Easy Oracle Automation: Oracle10g Automatic Storage, Memory and Diagnostic Features (Easy Oracle Series)",,9780974599366.0," Rampant Techpress (January 1, 2005)",200.0,,0
Distributed Data Bases: An Advanced Course,I. W. Draffan,9780521230919,Cambridge University Press,384.0,,Mastering Swift,,9781784392154.0," Packt Publishing - ebooks Account (August 31, 2015)",380.0,,0
The Semantic Web Explained: The Technology and Mathematics behind Web 3.0,"Peter Szeredi,  Gergely Luk?csy,  Tam?s Benk?",9780521700368,Cambridge University Press,496.0,$50.00,Access for Windows 95 for Busy People,,9780078821127.0," Mcgraw-Hill Osborne Media (January 1, 1996)",1996.0,,0
Access 2002 Desktop Developer's Handbook,"Paul Litwin,  Ken Getz,  Mike Gunderloy",9780782140095,Wiley,1439.0,,Disaster Recovery With DB2 Udb for Z/os,,9780738490922.0," Ibm (November 23, 2004)",524.0,,0
IBM Cognos TM1 The Official Guide,"Karsten Oehler,  Jochen Gruenes,  Christopher Ilacqua",9780071765695,McGraw-Hill Professional Publishing,800.0,$53.06,Mastering Snowboarding,"Hannah Teter, Tawnya Schultz",9781584889960.0," Human Kinetics; 1 edition (November 29, 2012)",216.0,,0
Clinical Data Management / Edition 2,Richard K. Rondel,9780471983293,Wiley,366.0,$287.00,Oracle SQL & PL/SQL Annotated Archives,"Kevin Loney, Rachel Carmichael",9780078825361.0," Osborne/McGraw-Hill (September 1, 1998)",585.0,,0
