Brand_A,Title_A,Price_A,Description_A,Model_Number_A,Ship_Weight_A,Dimensions_A,Brand_B,Title_B,Price_B,Description_B,Model_Number_B,Ship_Weight_B,Dimensions_B,Gold
StarTech,StarTech.com PEX1P 1 Port PCIe DP Parallel Adapter Card,32.88,This Parallel Adapter can be installed in a PCI Express PCIe slot allowing you to connect EPP ECP parallel peripherals to the computer even if the computer motherboard doesn t offer a parallel port.  This high performance SPP EPP ECP parallel card adds one DB25 parallel port perfect for connecting printers scanners CD-R RW drives memory card readers printers scanners bar code readers and more. Plus with the added convenience of plug and play capability installing the parallel adapter card is hassle-free,PEX1P,0.3,6.02 x 5.04 x 1.06 inches,HP,HP 94 Black Ink Cartridge in Retail Packaging C8765WN 140,22.59,,C8765WN#140,1 pounds,5.5 x 4.4 x 2.3 inches,0
COBRA,Cobra Mobile CB Radio With NightWatch Illuminated Display And SWR Antenna Calibration,150.0,The NightWatch series of CB radios continues Cobra s proud and unmatched tradition of enhancing safety and convenience for professional drivers. NightWatch technology fully illuminates the radio s function settings for easy viewing at night. The unique solid-state electro-luminescent backlighting is powered by a dedicated integrated circuit to maximize night vision while minimizing eye fatigue. A variable dimmer control adjusts to all lighting conditions. And all NightWatch CB radios incorporate Cobra s exclusive patented SoundTracker system to reduce static by up to 90,29-WXNWST,6.05,13.25 x 12.0 x 3.0 inches,iLuv,iLuv iCC822 Hard Smart Back Cover Case for 2nd Generation Apple iPad 2 WiFi 3G Model 16GB 32GB 64GB NEWEST Model Tan,18.23,,iCC822TAN,1 pounds,9.6 x 7.4 x 0.4 inches,0
LG,LG 42  ultra- slim 42LV5500,879.0,The LV5500 delivers LED picture quality along with a whole lot more. You can tap directly into instant entertainment with LG Smart TV and with TruMotion 120Hz refresh rate sports and action movies never looked better.  Note You must have a source of HD programming in order to take full advantage of the LG 42    Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities.,42LV5500,41.2,39.8 x 26.9 x 10.0 inches,Maxell,Maxell Onyx 16GB USB 2.0 Flash Drive,39.88,,503053,1 pounds,6.0 x 4.2 x 0.2 inches,0
,Dart Plastic Vented Lids 1000ct,21.97,,12JL,4.8,18.63 x 13.5 x 7.5 inches,db,10 LED Wireless IP Camera with 10 Meter Night Vision and 3.6mm Lens 270 Viewing Angle with Two Way Audio Monitoring AGC - Color Black,63.88,,,1.3 pounds,,0
StarTech,StarTech.com DVIDSMM15 15ft DVI-D Digital Video Cable,19.88,This 15ft single-link DVI-D Digital Video Cable offers a high-quality connection that allows you to get the most out of your high-end digital video card and flat-panel digital LCD monitor. With DVI-D technology no digital-to-analog conversion is necessary so the signal is delivered faster and stronger than a standard monitor cable signal. The plug and play-compatible all-digital connection is also ideal for connecting laptop computers to digital projectors for crystal-clear presentations.,DVIDSMM15,0.9,10.575 x 4.275 x 0.9 inches,Seagate,Seagate Barracuda 500 GB 7200RPM SATA NCQ 16 MB Cache 3.5-Inch Internal Desktop Hard Drive ST3500641AS-RK-Retail Kit,54.99,Seagate 500GB Internal SATA 16MB Cache Hard Drive. The blazingly fast amazingly easy way to store and work with massive amounts of data. With their 3Gb sec data rate Serial ATA interface and Native Command Queuing NCQ technology these highly advanced drives improve desktop performance.,ST3500641AS-RK,2 pounds,,0
,Pendaflex 3 1 2  Expansion File Pocket Manila Red Fiber 25 Per Box,29.97,The Pendaflex Standard Expanding File Pocket has a double-thick front that folds down for easy access. Rip-proof tape reinforced gusset tops with a red fiber with Manila lined back. Manufacturer s lifetime guarantee. Contains 10 percent post-consumer recycled content.,1526EOX,5.348,,Sony,Sony VMC20FR AV Cable,3.99,The Sony VMC-20FR Composite A V Cable allows you to watch high quality digital video directly from your compatible Handycam camcorder. It easily attaches from your camcorder s mini AV port to your television s composite video port. Its high grade construction provides improved signal quality up to 6 away,20FR,1 pounds,8.6 x 3.0 x 1.4 inches,0
Cables Unlimited,Cables Unlimited 3 SVGA Video Cable HDB15 Male to Male With 3.5mm Audio,11.88,Our premium SVGA monitor cables with 3.5mm audio connections are ideal for connecting your high-resolution monitor to your PC. Constructed from high-quality double-shielded 28AWG coaxial conductors for the RGB signals 28AWG for the H-sync signal and 28 AWG cable for maximum durability these cables feature superior signal integrity design for minimal signal distortion loss and ghosting.,PCM-2240-03,0.45,7.5 x 5.5 x 0.5 inches,Syba,Syba CL-SPK20068 Self Powered Portable Black Mini Speakers Recharge by USB CL-SPK20068,18.88,,CL-SPK20068,1 pounds,7.5 x 5.0 x 2.8 inches,0
Franklin,Webster s Spelling Corrector Plus NCS101,16.82,Far more than a spelling corrector  Webster s Corrector Plus provides an electronic spell checker displaying 16 characters with rolodex databank calculator and six word games. Will spell correct phonetically for over 110 000 words. The six built in games are Hangman User Hangman Anagrams User Anagrams Jumble and Word Builder. The Rolodex Databank has password protection and a memory gauge. And there s calculator with built-in metric and currency converters.,NCS101,0.3,4.13 x 2.75 x 0.25 inches,Toshiba,Toshiba NB505-N508BN 10.1-Inch Netbook Brown,264.76,Leave your laptop at home. Tell your tablet or smartphone to step back. Because now you can enjoy a better Internet experience on the run thanks to the stylish award-winning Toshiba mini NB505 netbook-a value-rich companion PC offering a smart comfortdriven design and exclusive conveniences for light on-the-go computing. It turns heads with a stylish design in a spectrum of fashionable colors-brown blue lime green orange and turquoise. And thanks to excellent high-speed connectivity the talented Intel Atom processor plus up to eight-hour battery life rating this budget-friendly best-in-class PC puts you in touch with your favorite people sites networks and media most everywhere you go-without compromising your freedom of expression. It also gives you the reliability compatibility and simplicity you want with Windows 7. Easy to use and small enough to throw in a purse or bag it comes with an ample 10.1 diagonal display for surfing the web and more and provides Toshiba Smart Features to enhance your mobile life-like a generous full-sized keyboard and TouchPad to ease input. Whether eyeing a first second or even third PC grab the netbook that fits both your pocketbook and your ever-expanding mobile life-Toshiba s mini NB505.,PLL50U-01900C,4.4 pounds,10.3 x 7.5 x 1.4 inches,0
Zagg,Zagg InvisibleSHIELD for iPad 2,39.99,The Zagg InvisibleSHIELD for iPad 2 protects your iPad 2 while reducing the appearance of fingerprint smudges and smears.,APPIPADTWOLE,0.3,11.5 x 9.5 x 0.2 inches,CaseCrown,CaseCrown Vertical Multi Pocket Messenger Bag Black for the Apple iPad and iPad 2,32.18,,,12 ounces,11.8 x 9.5 x 2.0 inches,0
rooCASE,rooCASE 2-Pack Capacitive Stylus for iPad 2 Tablet,19.99,,218564,1.0,4.5 x 0.5 x 0.2 inches,Iogear,IOGEAR 50-in-1 USB 2.0 Pocket Flash Memory Card Reader Writer GFR210 Silver,13.99,,GFR210,1 pounds,2.4 x 2.4 x 0.5 inches,0
National Products Ltd.,National Brand Heavyweight Reinforced 11  Filler Paper 100 Sheets,7.47,Stay organized with National Brand Heavyweight Reinforced College Rule 11  Filler Paper. this 20-lb paper features pre-punched holes for use in standard ring binders.,20122,1.041,,Kodak,Kodak EasyShare C183 14MP Digital Camera w 3x Optical Zoom 3.0 inch LCD Black,79.99,,,1 pounds,,0
,Pendaflex 2  Reinforced Hanging File Folder Standard Green 25 Box,24.94,Pendaflex 2  Reinforced Hanging File Folders are built tough to manage big loads. The patented polylaminate reinforcement makes this folder 10 times stronger.,4152X2,4.135,,Pioneer,Pioneer TS-SW3001S2 12-Inch Shallow Subwoofer with 1500 Watts Max Power,,12-Inch Shallow Subwoofer with 1500 Watts Max Power,TS-SW3001S2,16 pounds,18.0 x 14.4 x 4.8 inches,0
Da-Lite,Da-Lite Da-Glas Standard Rear Projection Screen - 50 x 50 AV Format,1631.99,,27628,223.0,,HP,HP Laserjet 128A Yellow Cartridge in Retail Packaging CE322A,55.7,,CE322A,2 pounds,14.4 x 4.3 x 3.9 inches,0
Powermat,Three Position PowerMat with Powercube,79.54,This is the charging station you always dreamed of one cord one mat one place to charge all your handheld devices. The Powermat 3X mat uses magnetic induction and Powermat proprietary technology to charge your handheld devices quickly efficiently and wirelessly. Attach Powermat receivers to your favorite devices either the Powercube or a dedicated receiver and place it on the Powermat surface to start charging.,PMM-3P-B1,1.45,9.36 x 3.75 x 0.63 inches,Avery,New-Avery 5429 - Erasable ID Labels 7 8 x 2-7 8 White 80 Pack - AVE5429,5.88,,,1 pounds,7.2 x 4.6 x 0.4 inches,0
Belkin,Belkin F2N028-06-GLD Gold Series Monitor Replacement Cable,7.88,The Belkin F2N028-06-GLD gold series monitor replacement cable is designed to interface any PC compatible computer to a VGA or SVGA monitor with HDDB15 female connectors. Featuring 24K gold plated corrosion-proof connectors for maximum conductivity.,F2N028-06-GLD,0.35,9.0 x 4.725 x 1.8 inches,Sony,Sony VCT-50AV Remote Control Tripod for use with Compatible Sony Camcorders,51.33,,VCT-50AV,4 pounds,19.6 x 5.4 x 5.2 inches,0
Lexmark,Lexmark 18C2249 36XL 37XL High-Yield Ink 500 Page-Yield 2 Pack Black,66.99,Designed to work flawlessly for clear and sharp results. Reliable and dependable so that you can count on it when you need it most. Integrates seamlessly with your printer reducing downtime.,18C2249,0.32,,Sony,Sony MDR-AS35W Sports Headphones Lightweight with Powerful Bass,20.48,,MDR-AS35W,1 pounds,8.3 x 6.8 x 1.5 inches,0
Case Logic,Case Logic 13.3  Black Neoprene Notebook Sleeve,20.0,,PLS-13 BLACK,0.9,13.5 x 10.25 x 1.75 inches,Dell,Dell Primary Battery - Notebook battery - 1 x lithium ion 9-cell 85 Wh,61.55,,Primary Battery,2 pounds,,0
TRENDnet,TRENDnet TU2-ETG USB to Gigabit Ethernet Adapter - USB - 1 x RJ-45  - 10 100 1000Base-T,34.66,The TRENDnet TU2-ETG USB to Gigabit Ethernet Adapter allows you to instantly connect to a 10 100 1000Mbps network from a USB enabled desktop or Notebook PC. Compliant with USB 2.0 and backwards compatible with the USB 1.0 and 1.1 you can share files and printers and also gain access to broadband Internet to explore valuable resources on the web.,TU2-ETG,0.4,7.6 x 5.1 x 0.59 inches,Crazyondigital,LCD Full Range Fm Transmitter and Charger for Microsoft Zune HD 16 32 GB,17.98,,,8 ounces,,0
VEHO,Veho VCCA002WPC Waterproof Case for Muvi MuviTurin,29.98,Would you like to get really wet with your Muvi The VCC-A004 waterproof case allows you to take your Muvi underwater.,VCCA002WPC,0.4,10.0 x 8.0 x 1.0 inches,House of Doolittle,New-House of Doolittle 6653 - 60-Day Wall Planner Laminated 32 x 21 1 2 Blue White Yellow Silver - HOD6653,,,,13.2 pounds,,0
Dixie,Dixie Sage 8-1 2 Inch Paper Plates 125ct,21.97,,SXP9SCDX,4.17,8.5 x 8.5 x 6.0 inches,Adobe,Adobe Production Premium CS 5.5 Software Suite for Mac Upsell From Apple Final Cut Pro,849.95,,,2.8 pounds,,0
,Kodak ESP 3250 All-in-One Printer Value Bundle,58.0,With the Kodak ESP 3250 All-in-One Printer you can print vivid color documents and lab-quality photos at home for much less than what you re paying now   all thanks to Kodak s low-cost high-quality pigment ink cartridges. Get the bright colors and sharp text you expect from Kodak for just a fraction of the price. Print copy and scan in seconds with the Kodak ESP 3250 All-in-One Printer.,,,,Seagate,Seagate STAN500100 Momentus XT 500 GB Solid State Hybrid Hard Drive,129.99,,STAN500100,6.4 ounces,,0
Acer,Acer Iconia Tab with Wi-Fi 10.1  Touchscreen Tablet PC Featuring Android 3.0 Honeycomb Operating System Aluminum Metallic - 32GB,498.0,Smaller than a magazine the Iconia Tab A Series sports a 10.1  thin so it s easy to use and great for carrying. Enjoy a whole new touch experience,A500-10S32u,3.25,12.0 x 8.4 x 2.4 inches,Sparco,Magnetic Marker Board Erasers,5.85,,,8 ounces,,0
JWin,jWIN Mega Bass Pro Headphones,37.88,jWIN s Mega Bass Pro Headphones are premium quality headphones to satisfy any level of music listener. Features include electronically mastered drivers for full and balanced sound expertly crafted ear pads for exceptional comfort and precise adjustable headband for comfortable fit. They are designed to best compliment any digital audio device with a 3.5mm jack.,IHP605BLK,1.5,8.9 x 8.1 x 3.4 inches,BenQ,BenQ projector MS612ST,,,9H.J4177.14E,7.7 pounds,14.6 x 11.4 x 5.5 inches,0
Whistler,Whistler RLC-360 GPS Module,62.88,The Whistler RLC-360 GPS Module integrates with the Whistler Pro 3600 radar detector and enhances the Pro 3600 with many GPS based features. With the Whistler RLC-360 module the Pro 3600 will be enhanced with a nationwide database of speed and red light camera locations and will provide alerts as you approach these devices. These traffic cameras are constantly being added and the RLC-360 can be updated via the Internet using the included USB cable. The addition of the RLC-360 module also activates other features of the Pro 3600 including the ability to display your vehicle s current speed and to automatically activate   and set filter modes based upon the vehicle s speed.,RLC-360,0.28,1.57 x 1.57 x 0.61 inches,HP,HP Photo Value Pack Custom 57 Series,22.49,,Q7926AN#140,2 pounds,7.8 x 4.5 x 3.1 inches,0
Nokia,Nokia Travel Charger,20.53,Affordable and lightweight this rapid travel sized compact wall charger can keep your Nokia battery powered without taking up a lot of space. Just plug it into any handy outlet and begin charging.,279044,0.2,9.0 x 4.0 x 2.5 inches,Avery,Avery-Style Legal Side Tab Dividers 25-Tab Blank,,,,14.4 ounces,,0
Night Owl,Night Owl Optics APOLLO-45 4-Channel H.264 500GB DVR Kit,338.0,The Night Owl Optics APOLLO-45 4-Channel H.264 500GB DVR Kit comes with a pre-installed 500GB SATA HD. You can receive motion activated email alerts and is viewable over smartphones PCs and tablet PCs. It connects directly to your TV or monitor. Includes power adapter for cameras and DVR 60 of cable per camera RCA cable Ethernet cable mouse remote control install card security stickers and support material.,APOLLO-45,6.5,11.6 x 8.5 x 1.8 inches,Amzer,Amzer Super Clear Screen Protector with Cleaning Cloth for HTC Inspire 4G,4.71,,AMZ90450,4 ounces,,0
Safco Products,Safco Roung Black Speckle Steel Bubble Wastebasket 6 gal,24.97,Round wastebasket featuring  bubble design.,9740NC,3.0,12.5 x 12.0 x 12.0 inches,Jensen,Jensen NAV102 GPS Navigation System,197.67,,NAV102,3 pounds,13.9 x 9.3 x 2.5 inches,0
,Marware Eco-Vue for iPad,54.99,The Marware Eco-Vue opens like a book and the elastic strap keeps the folio closed while the foldover tab inside keeps the iPad in place. The Eco-Vue also features a foldaway display stand.,602956006572,1.0,10.5 x 8.0 x 0.9 inches,Atdec,Wall Mount 24IN Visidec Focus Direct Holds Up To 8KG Retail Box,43.99,,VF-WD,1 pounds,4.2 x 4.0 x 4.0 inches,0
Cables Unlimited,Cables Unlimited - 1 Port DB9 Serial Neos 9820 Chipset PCI I O Card,20.88,This easy to install and configure PCI card adds one extra high-speed serial port to any PC. It is the most convenient way of connecting PCs to external modems serial printers Palms mice point-of-sale devices digital cameras and more.,IOC-2000,0.2,17.32 x 14.57 x 13.89 inches,Bankers Box,New-Bankers Box 1231201 - Super Stor Drawer Steel Plus Storage Box Legal Kraft Green 6 Carton - FEL1231201,284.0,,,66.4 pounds,38.0 x 25.5 x 9.2 inches,0
Sharpie,Sharpie Permanent Markers Fine Point - Black - 12 Count,8.24,The Sharpie fine tip permanent marker produces thinner detailed lines on most hard-to-mark surfaces. Quick-drying ink that is waterproof smear proof and fade-resistant makes marker perfect for home and work.,30001WM,0.3,,Panter Company,Panter Company MAGLHBK - Slap-Stick Magnetic Label Holders Side Load 4-1 4 x 2-1 2 Black 10 Pack,,,,12.3 ounces,,0
Ape Case,Ape Case AC165 Digital Camera Case,12.85,The AC165 Ape Case for digital cameras is a heavy-duty super-padded gorilla-strength case designed to hold your digital camera and much more.,AC165,0.81,8.0 x 5.0 x 3.5 inches,Xerox,XEROX 113R00656 Print cartridge for xerox phaser 4500 black,134.11,,113R00656,5 pounds,15.0 x 9.0 x 9.0 inches,0
CENTON,Centon 8GB SDHC Memory Card,17.49,The Centon 8GB SDHC Memory Card is a dependable and easy storage solution that fits any multimedia device with SDHC compatibility.,RC8GBSDHC4,0.05,1.23 x 0.92 x 0.08 inches,Apple,Apple iPod nano 8 GB Orange 6th Generation NEWEST MODEL,134.54,Redesigned for music and Multi-Touch iPod nano is smaller and lighter than ever. You can clip it to your sleeve jacket or running shorts and keep your favorite songs at your fingertips - along with the Genius feature a built-in FM radio pedometer and more. And the anodized aluminum finish in six bright colors makes this new design even more brilliant. Built-in clip Built-in FM radio with Live Pause Built-in pedometer Up to 24 hours of music playback.,MC691LL/A,1 pounds,5.0 x 5.0 x 1.0 inches,0
Encore,Encore Mavis Beacon Keyboarding Kidz,19.98,Encore Mavis Beacon Keyboarding Kidz is perfect for children and tweens who are either learning to touch type or want a fun way to improve their keyboarding skills.,20151,0.15,8.0 x 5.5 x 1.5 inches,SIIG,USB 2.0 Bay Media Card Reader,16.82,,JU-MR0012-S1,1 pounds,8.7 x 6.9 x 2.1 inches,0
,Smead Folders Front Interior Pocket Straight End Tab Letter Manila 50 Box,45.94,Protect files and documents with Smead Front Interior Pocket Folders. These convenient file pockets hold letter size or smaller documents. The pocket is open on the top and inside edge for easy filing and sealed on the outer edge for security. Safely store x-rays photos and more with Smead Front Interior Pocket Folders.,24117,3.103,,Westcott,Westcott 15179 - Kleenearth Scissors 8 Length 3-1 4 Cut 2 Pack,,,,13.8 ounces,,0
Casio,Casio Pouch Style Leather Carrying Case For The Exilim S And Z Series Digital Cameras - 2.75  D,14.98,,EX-CASE2,0.15,3.75 x 2.75 x 1.5 inches,Acase,Acase Premium Series Leather Slimline Carrying Case for Apple iPad 3G tablet Wifi model 16GB 32GB 64GB Black,7.65,,,6.4 ounces,,0
CyberPower,CyberPower 900 Joules 6-Outlet Surge Protector,13.88,The CyberPower 615 offers basic surge suppression for small electronics with 900 joule MOV power protection. Guarding against lightning induced spikes surges and utility company line disturbances your equipment will have a first-line of defense against AC power fluctuations. This surge suppressor is ideal for TVs stereos CD players and other small electronic devices. The suppressor is also equipped with EMI RFI filtering that blocks unwanted line noise from all connected electronics.,615,1.15,13.5 x 5.75 x 1.75 inches,Comprehensive,S-Video 4 pin female to RCA Male bi-directional adapter,18.29,,,3 pounds,,0
Cables Unlimited,Cables Unlimited SATA II 3Gbps to eSATA Cable with Straight Connectors,9.82,Connect eSATA external drives and enclosures to SATA II 3Gbps enabled systems with the Cables Unlimited SATA II 3Gbps to eSATA Cable with Straight Connectors. These cables are constructed of ultra high quality materials and shielded for perfect impedance and data protection. Cables Unlimited SATA II 3Gbps to eSATA Cable With Straight Connectors are the smart way to hook up your external SATA enclosure.,FLT-6600-39,0.9,7.5 x 5.0 x 1.0 inches,Smead,New-Smead 56030 - Self-Tab Card Guides Blank 1 3 Tab Manila 4 x 6 100 Box - SMD56030,24.0,,,3.2 pounds,,0
Microsoft,Microsoft Wireless Mobile Mouse 4000 SGKomen Pink,20.0,Whether it s at home the gym campus the office or a quick stop for email and coffee the Microsoft Wireless Mobile Mouse 4000 goes wherever you go.,D5D-00052,0.5,8.0 x 5.63 x 2.76 inches,Cisco,Cisco-Linksys WRT54G Wireless-G Router,72.27,LINKSYS WRT54G - Wireless-G is the emerging 54 Mbps wireless networking standard that s almost five times faster than the widely deployed Wireless-B 802.11b products found in homes businesses and public wireless hotspots around the country. The best part is since they share the same 2.4GHz radio band Wireless-G devices talk to existing 11 Mbps Wireless-B equipment. Operates as a DHCP Server NAT technology to protect against Internet intruders Supports VPN pass-through Easy configuration with web browser based configuration utility,WRT54G,2 pounds,4.4 x 3.8 x 1.1 inches,0
Buddy Products,Buddy Products Dr. Pocket Steel 3-Pocket Wall File Black,51.94,Keep important projects neat and orderly with the Buddy Products Dr. Pocket Steel 3-Pocket Wall File. Its durable textured steel file pockets are built to stand up to active use. You can attach it to any door or wall to add convenient storage where you need it most. The Buddy Products Dr. Pocket Steel 3-Pocket Wall File includes mounting screws.,52104,7.0,,Flip Video,Flip Video Action Tripod,7.11,Action Tri-Pod stand for FLIP Video,AAT1B,1 pounds,7.0 x 7.0 x 2.2 inches,0
Epson,Epson S041378 Photographic Papers,59.88,EPSON Premium Glossy Photo Paper offers the highest gloss level of any Epson resin coated photographic paper. Producing vivid life-like images that rival those of traditional silver halide prints the ultra glossy finish coupled with a 10 mil thickness and extremely wide color gamut make this paper a favorite among discerning photographers. Its instant drying and non-cockling characteristics make use handling and display of the finished output trouble-free. It creates highly saturated prints by offering maximum ink coverage and high D-Max for true photographic reproductions. This paper can also be easily laminated to provide protection from light and moisture.,S041378,2.7,11.7 x 3.38 x 3.38 inches,Sparco,Book Rings,7.93,,,14.2 ounces,,0
Humminbird,Humminbird 778c HD Color Fishing System,499.46,The Humminbird 778c HD Color Fishing System features a 5  high definition color screen. This fishfinder is GPS-ready with a 16-channel GPS receiver. You can also select which type of fish you would like to identify.,407930-1,4.2,12.3 x 10.0 x 8.8 inches,BlackBerry,Blackberry WHITE Vertical Pocket in Pouch Carry Case Slim Protective Cover for AT T Blackberry Torch 9800 Comes with FREE Universal Phone Stand,29.95,,,1 ounces,,0
RCA,RCA 42  Class LCD 1080p 60Hz HDTV 42LA45RQ,429.0,Enjoy the full-HD experience with the terrific RCA 42  1080p LCD HDTV. Contact your local cable or satellite TV service provider for details on how to upgrade.,42LA45RQ,46.9,43.7 x 30.0 x 10.1 inches,TDK,TDK Systems LTO ULTRIUM 2 200 400GB-TAPE CART D2405-LTO2AX,30.8,,D2405-LTO2AX,1 pounds,4.5 x 4.3 x 1.1 inches,0
Dymo,Dymo File Folder Labels 2-up,10.88,Dymo 30277 Labels are ideal for both hanging and interior file folders as well as file pockets classification folders and expansion folders. Paper labels direct from the roll for simple use. You can print labels 2-up or in a batch.  Each roll contains 260 self-adhesive white labels measuring 9 16 14 x 87 mm .,30277,0.15,2.6 x 2.5 x 1.4 inches,Sony,Sony Clie PEG-NZ90 Handheld,,Description The Palm PoweredTM PEG-NZ90 CLI TM handheld pushes the envelope of handheld computing featuring the Palm OS v. 5.0.1 as well as an ARM-compliant 200 MHz CPU for enhanced overall performance and exceptional multimedia experience.,PEG-NZ90,4 pounds,,0
StarTech,StarTech.com SLSATAF20 20in Slimline SATA Male to SATA Cable,9.88,The StarTech.com SLSATAF20 20in Slimline SATA Male to SATA Cable features one SATA 7-pin female data connection and one LP4 power connection on one end and a slimline Serial ATA female connection on the other - allowing you to connect a drive with a male slimline SATA port to a computer motherboard that does not have a slimline connection available. It Supports full SATA 2.0 data transfer speeds of up to 300 MBps and a new and improved architecture this innovative adapter cable provides you with the connections needed to simplify the migration to slimline SATA equipped drives.,SLSATAF20,0.09,7.0 x 2.3 x 0.99 inches,Epson,Epson S041637 19inx13in 260Gsm Velvet Fine Art Paper,44.49,Museum quality acid-free base to preserve fine art and photos.100 cotton rag for archivability. Bright white surface for excellent color reproduction. Enhanced 1440 dpi printing for high-quality output. Dries instantly.,S041637,2.8 pounds,19.5 x 13.5 x 0.8 inches,0
Draper,Draper Matte White Salara Plug and Play Electric Screen - NTSC 7 diagonal,624.25,,136007,36.0,,Da-Lite,Da-Lite Compact-4 Height Adjustable Workstation,223.99,,,58 pounds,34.5 x 25.5 x 18.0 inches,0
Xantech,Xantech 283Dmw Designer Blink Emitter Single Mini Wire,11.88,The Xantech Designer Blink Emitter comes with a clear adhesive film and two pieces of 0.5  double-sided clear adhesive tape.,283DMW,0.0313,5.0 x 3.0 x 0.25 inches,General Electric,GE Cordless Phone Nimh 3.6V 700mAh Battery 76413,9.07,,76413,1 pounds,4.7 x 3.5 x 0.7 inches,0
Lexmark,Lexmark E450H11A Toner 11000 Page-Yield Black,248.27,Lexmark E450H11A High Yield Black Toner Cartridge,E450H11A,2.29,,SanDisk,SanDisk microSD to SD Memory Card Adapter,1.5,,,1 pounds,,0
,Black n Red Casebound Notebook Ruled White 96 Sheets Pad,8.27,Ideal for permanent records. Strong durable hard cover. High-quality 24-lb. white woven paper ensuring both sides can be used. Section sewn for durability. Red ribbon page marker. Red spine.,D66174,1.615,,Accessory Genie,ReVIVE Series DoubleUP High-Powered Dual USB Home and Car Charger For HTC Motorola Samsung LG and more Smartphones,15.99,,,1.6 ounces,,0
Symantec,PC Tools Spyware Doctor 2011 1year User 3 PCs for Pc,17.82,Symantec PC Tools Spyware Doctor 2011 offers powerful tools to combat spyware. It defends your PC against malware attacks with multiple techniques using proactive reactive and automated protection to stop threats at every entry point.,21072828,0.15,8.0 x 5.04 x 1.03 inches,Elite,PowerGain CineTension2 Series Tension Electric Motorized Screen - 84 Diagonal Size 92 Diagonal,835.0,,,39.4 pounds,82.5 x 64.0 x 3.8 inches,0
Belkin,Belkin 12 Y Audio Cable,4.87,This Belkin Y Audio Cable connects multimedia devices to your PC s sound card. You can also use it to easily connect mini-stereo components to stereo equipment. This Belkin Y Audio Cable is ideal for devices such as stereo speakers and CD-ROMs.,F8V235-12,0.25,6.75 x 4.5 x 2.0 inches,Nikon,Nikon Coolpix S5100 12 MP Digital Camera with 5x Optical Vibration Reduction VR Zoom and 2.7-Inch LCD Blue,,The Nikon Coolpix S5100 digital camera is slim beauty that s ready to take on the night in style The Nikon Coolpix S5100 has five advanced technologies for beautiful shots even at night. Plus with fast start-up time rapid AF focusing and quick shot-to-shot turnaround time the COOLPIX S5100 keeps you ready at all times to preserve those special moments. A single press of a button of the Nikon Coolpix S5100 digital camera lets you begin recording 720p high-definition movies with ease and speed that ensures you capture the moment. Order the Nikon Coolpix S5100 digital camera today,S580 Blue,2 pounds,,0
Case Logic,Case Logic Universal MP3 Sport Case- Medium,11.99,,120579,,4.0 x 3.5 x 0.75 inches,Skinit,Skinit Kindle Skin Fits Latest Generation 6 Display Kindle Boston Red Sox,,,SKNMLBBRS01AKNDL3,1.6 ounces,,0
Clarion,Clarion Sirius Satellite Radio Receiver Adapter,49.99,Upgrade your entertainment with the Clarion Sirius Satellite Radio Receiver Adapter. It allows you to display and control Sirius channels from any 2005 and up satellite radio-ready Clarion head unit head unit.,CLASC1,1.88,11.3 x 8.25 x 3.0 inches,Epson,Epson 78 Light Cyan Ink Cartridge T078520,11.67,MU EPSON T078520 CLARIA LT.CYAN INK,T078520,1 pounds,4.3 x 4.3 x 0.8 inches,0
,BIC Triumph 730R 0.5mm Needle Point Roller Pen Black 4 Ct. 2-Pack,11.28,The BIC Triumph 730R 0.5mm Needle Point Roller Pen combines style and elegance in a smooth-writing refillable roller. The contemporary barrel design lends this pen a professional look. The The BIC Triumph 730R 0.5mm Needle Point Roller Pen features an ultra smooth writing system for effortless writing,,,,Nikon,Nikon COOLPIX L120 14.1 MP Digital Camera with 21x NIKKOR Wide-Angle Optical Zoom Lens and 3-Inch LCD Red,299.95,,L120 Red,3 pounds,4.4 x 3.1 x 3.1 inches,0
POST-IT,Post-it Notes Original Notes Canary Yellow,45.0,Remind yourself of everything with Post-it Notes Original Notes. These self-sticking paper notes are the perfect way to keep important dates organized. Post-it Notes Original Notes make the perfect reminder notepads by sticking themselves to nearly any surface. As an added bonus 50 cents from each of these packs of Post-it Notes will be donated to City of Hope breast cancer research.,659YW,3.19,,Comprehensive,Comprehensive RCA-75C-P Premium True 75Ohm RCA Plug Crimp Type for CVC-59P Plenum,,,,3 pounds,,0
Brother,Brother TX2411 P-Touch TX Laminated Tape,34.88,TX Series laminated tape features standard adhesive designed for flat surfaces like office paper file folders and binders. Lamination resists water grease or grime. Use in hot and cold environments. Use lettering tape with Brother PT-30 35 8000 and PC machines. Tape cartridge yields 50 .,TX2411,0.36,5.18 x 3.6 x 1.35 inches,Kingston,Kingston Datatraveler 160 - 32 GB USB 2.0 Flash Drive DT160 32GB,52.9,,DT160/32GB,1 pounds,5.0 x 4.0 x 1.0 inches,0
