Name_A,Votes_A,Rating_A,Phone_A,Address_A,Zipcode_A,Cuisine_A,Name_B,Votes_B,Rating_B,Phone_B,Address_B,Zipcode_B,Cuisine_B,Gold
Texadelphia,102,3.4,(214) 265-8044,"5500 Greenville Avenue, Suite 600, Dallas",75206,Sandwich,Texadelphia,71,4.0,(214) 265-8044,5500 Greenville AveSte 600,75206,Sandwiches,1
Grand Lux Cafe,323,3.7,(972) 385-3114,"Galleria Dallas, 13420 Dallas Pkwy, Level One, Dallas",75240,American,Grand Lux Cafe,298,3.5,(972) 385-3114,13420 N Dallas Pkwy,75240,Desserts,1
Monsieur Marcel,83,4.2,(323) 939-7792,"6333 W 3rd St, Los Angeles",90036,"American, French, Sandwich",Monsieur Marcel,466,4.0,(323) 939-7792,Farmers Market6333 W 3rd St,90036,Specialty Food,1
Fork Chicago,83,3.5,(773) 751-1500,"4600 N. Lincoln Avenue, Chicago",60625,New American,Fork,709,4.0,(773) 751-1500,4600 N Lincoln Ave,60625,American (New),1
Monsoon Siam 2,22,3.3,Not Available,"2045 Atwood Ave, Madison",53704,Thai,Monsoon Siam,82,4.0,(608) 284-9282,2045 Atwood AveSte 109,53704,Thai,1
Cafe Pacific,202,3.7,(214) 526-1170,"24 Highland Park Village, Dallas",75205,"Seafood, Steakhouse, American",Cafe Pacific,82,4.0,(214) 526-1170,24 Highland Park Village,75205,Seafood,1
Rascal,17,3.2,(323) 933-3229,"801 S La Brea Ave, Los Angeles",90036,Sandwich,Rascal,440,4.0,(323) 933-3229,801 S LA Brea Ave,90036,"American (New),Florists,Dive Bars,Bikes,Trainers,Mexican",1
Irish Pub,8,2.9,(608) 256-6071,"317 State St Ste A, Madison",53703,Irish,Irish Pub,14,3.5,(608) 256-6071,317 State St,53703,Pubs,1
Southport Grocery & Cafe,190,4.2,(773) 665-0100,"3552 N. Southport Avenue, Chicago",60657,"American, Cafe",Southport Grocery & Cafe,678,4.0,(773) 665-0100,3552 N Southport Ave,60657,"Grocery,Coffee & Tea,Pet Services",1
Red Hot & Blue,190,3.4,(214) 368-7427,"9810 N Central Expressway, Suite 600, Dallas",75231,"BBQ, Burger, Seafood",Red Hot & Blue,183,3.5,(214) 368-7427,9810 N Central ExpySte 600,75231,Barbeque,1
Bread Winners,1254,4.0,(214) 754-4940,"3301 McKinney Avenue, Dallas",75204,"American, Bakery",Bread Winners Cafe & Bakery,820,4.0,(214) 754-4940,3301 McKinney Ave,75204,American (New),1
Jade Garden,38,3.0,(608) 260-9890,"1109 S Park St, Madison",53715,Chinese,Jade Garden,31,3.0,(608) 260-9890,1109 S Park St,53715,Chinese,1
LA Rose Cafe,11,3.3,(323) 662-4024,"4749 Fountain Ave, Los Angeles",90029,International,LA Rose Cafe,534,4.5,(323) 662-4024,4749 Fountain Ave,90029,Filipino,1
Hometown Bar-B-Que,23,3.3,(347) 294-4644,"454 Van Brunt Street, Brooklyn",11231,BBQ,Hometown Bar-B-Que,395,4.0,(347) 294-4644,454 Van Brunt St,11231,Barbeque,1
Poppy + Rose,6,2.9,(213) 995-7799,"765 Wall St, Los Angeles",90014,Healthy Food,Poppy + Rose,470,4.0,(213) 995-7799,765 Wall St,90014,"Breakfast & Brunch,Venues & Event Spaces",1
Noodles in the Pot,143,3.8,(773) 975-6177,"2453 N. Halsted Street, Chicago",60614,Thai,Noodles In the Pot,456,4.0,(773) 975-6177,2453 N Halsted St,60614,Thai,1
A La Brasa,17,3.0,(608) 251-1700,"15 N Broom St, Madison",53703,Mexican,A La Brasa,44,4.5,(608) 251-1700,15 N Broom St,53703,Latin American,1
Genwa Korean BBQ,152,4.2,(323) 549-0760,"5115 Wilshire Blvd #A, Los Angeles",90036,"BBQ, Korean",Genwa Korean BBQ,1950,4.5,(323) 549-0760,5115 Wilshire Blvd,90036,Korean,1
The Grey Dog,20,3.1,(212) 966-1060,"244 Mulberry Street, New York",10012,American,The Grey Dog,284,4.0,(212) 966-1060,244 Mulberry St,10012,Coffee & Tea,1
Sushi Muramoto,506,4.1,(608) 441-1090,"546 N Midvale Blvd, Madison",53705,"Japanese, Sushi",Sushi Muramoto,162,4.0,(608) 441-1090,546 N Midvale Blvd,53705,Sushi Bars,1
Cafe Madrid,274,3.6,(214) 528-1731,"4501 Travis Street, Dallas",75205,"Spanish, Tapas",Cafe Madrid,177,3.5,(214) 528-1731,4501 Travis St,75205,Spanish,1
Rising Sons,74,3.6,(608) 661-4334,"617 State St, Madison",53703,"Asian, Thai",Rising Sons Deli,59,3.0,(608) 661-4334,617 State St,53703,Thai,1
Library Bar,79,3.7,(213) 614-0053,"630 W 6th St Ste 116A, Los Angeles",90017,Burger,Library Bar,1386,4.0,(213) 614-0053,630 W 6th StSte 116-A,90017,Lounges,1
Fat Sal’s,14,3.2,(855) 682-4373,"1300 North Highland Avenue, Los Angeles",90028,"Sandwich, California, Deli",Fat Sal’s,789,4.0,(855) 682-4373,1300 N Highland Ave,90028,Sandwiches,1
La Paella,67,3.7,(323) 951-0745,"476 S San Vicente Blvd, Los Angeles",90048,"Spanish, Tapas",LA Paella,421,4.0,(323) 951-0745,476 S San Vicente Blvd,90048,Spanish,1
Liberty Burger,200,3.9,(972) 239-2100,"Forestwood Center, 5211 Forest Lane, Dallas",75244,"Burger, American",Liberty Burger,235,4.0,(972) 239-2100,5211 Forest Ln,75244,Burgers,1
Rubirosa,149,4.2,(212) 965-0500,"235 Mulberry Street, New York",10012,"Italian, Pizza",Rubirosa,784,4.0,(212) 965-0500,235 Mulberry St,10012,Italian,1
Pera Turkish Kitchen,100,3.7,(972) 267-4444,"17479 Preston Road, Suite, Dallas",75252,"Mediterranean, Turkish, Middle Eastern",Pera Turkish Kitchen,209,4.5,(972) 267-4444,17479 Preston Rd,75252,Mediterranean,1
Mott Street,12,3.2,(773) 687-9977,"1401 N. Ashland Avenue, Chicago",60622,"Asian, New American",Mott St,259,4.0,(773) 687-9977,1401 N Ashland Ave,60622,Asian Fusion,1
Sapori Trattoria,263,4.0,(773) 832-9999,"2701 N. Halsted Street, Chicago",60614,Italian,Sapori Trattoria,1307,4.5,(312) 967-9358,2701 N Halsted St,60614,Italian,1
Lekka,71,4.0,(972) 735-8642,"17606 Preston Road, Dallas",75252,"Mediterranean, Sandwich",Lekka,93,4.0,(972) 735-8642,17606 Preston Rd,75252,Cafes,1
Osteria Papavero,170,3.7,(608) 255-8376,"128 E Wilson St, Madison",53703,Italian,Osteria Papavero,103,4.0,(608) 255-8376,128 E Wilson St,53703,Italian,1
Crema Cafe,99,3.8,(608) 224-1150,"4124 Monona Dr, Madison",53716,"Breakfast, Coffee and Tea",Crema Cafe,127,4.0,(608) 224-1150,4124 Monona Dr,53716,Breakfast & Brunch,1
Ada Street,109,4.5,(773) 697-7069,"1664 N. Ada Street, Chicago",60642,New American,Ada Street,340,4.5,(773) 697-7069,1664 N Ada St,60642,Bars,1
Quaker Steak & Lube,208,3.5,(608) 831-5823,2259 Deming Way,53562,"American, Burger, Steakhouse",Quaker Steak & Lube,91,3.5,(608) 831-5823,2259 Deming Way,53562,American (Traditional),1
Riko Peruvian Cuisine,18,3.2,(212) 643-7555,"409 8th Avenue, New York",10001,"Peruvian, Latin American, Seafood",Riko Peruvian Cuisine,217,4.0,(212) 643-7555,409 8th Ave,10001,Peruvian,1
Brickhouse BBQ,239,3.4,(608) 257-7675,"408 West Gorham St., Madison",53703,"American, BBQ",Brickhouse BBQ,159,3.0,(608) 257-7675,408 W Gorham St,53703,Barbeque,1
The Grey Dog's Coffee,83,3.8,(212) 229-2345,"242 West 16th Street, New York, NY",10011,American,The Grey Dog,598,4.0,(212) 229-2345,242 W 16th St,10011,Breakfast & Brunch,1
E Bar Tex Mex,38,3.5,(214) 824-3227,"1901 N Haskell Avenue, Suite 120, Dallas",75204,Tex-Mex,E Bar Tex Mex,239,4.5,(214) 824-3227,1901 N Haskell AveSte 120,75204,Mexican,1
Kitchen,131,3.7,(323) 664-3663,"4348 Fountain Ave, Los Angeles",90029,"American, California",The Kitchen,1002,4.0,(323) 664-3663,4348 Fountain Ave,90029,American (New),1
Root & Bone,27,3.3,(646) 682-7080,"200 E 3rd Street, New York",10009,"Southern, Cafe",Root & Bone,554,4.0,(646) 682-7076,200 E 3rd St,10009,Southern,1
Pepe Giallo,103,3.7,(212) 242-6055,"253 10th Avenue, New York, NY",10001,Italian,Pepe Giallo,323,4.0,(212) 242-6055,253 10th Ave,10001,Italian,1
Galli Restaurant,48,3.5,(212) 966-9288,"45 Mercer Street, New York, NY",10013,"Italian, Cafe",Galli,434,4.0,(212) 966-9288,45 Mercer St,10013,Italian,1
Asian Kitchen,56,3.3,(608) 255-0571,"449 State St Ste E, Madison",53703,"Asian, Chinese, Vegetarian",Asian Kitchen,50,3.0,(608) 255-0571,449 State St,53703,Chinese,1
Happy Wok,30,3.3,(608) 241-8166,"17 Eastpark Ct, Madison",53718,Chinese,Happy Wok,8,4.0,(608) 241-8166,17 Eastpark Ct,53718,Chinese,1
Spiegel,9,2.9,(212) 228-2894,"26 1st Avenue, New York",10009,"American, Cafe",Spiegel,124,4.0,(212) 228-2894,26 1st Ave,10009,American (New),1
Tacos Baja Ensenada,52,4.8,(323) 887-1980,"5385 Whittier Blvd, Los Angeles",90022,Mexican,Tacos Baja Ensenada,754,4.5,(323) 887-1980,5385 Whittier Blvd,90022,Mexican,1
Balzem,6,3.0,(646) 837-7033,"202 Mott Street, New York",10012,"Mediterranean, Tapas",Balzem,119,4.0,(646) 837-7033,202 Mott St,10012,Mediterranean,1
Crostini Sandwiches,34,3.4,(608) 241-4284,"231 North Street, Madison",53704,"Italian, Sandwich",Crostini Sandwiches,39,4.0,(608) 241-4284,231 North St,53704,Sandwiches,1
Thai Lotus Kitchen,123,3.7,(214) 520-9385,"3851 Cedar Springs Road, Dallas",75219,"Asian, Thai",Thai Lotus Kitchen,101,4.0,(214) 520-9385,3851 Cedar Springs RdSte D,75219,Thai,1
Ha Long Bay,1012,4.9,(608) 255-2868,"1353 Williamson St., Madison",53703,"Asian, Thai, Vietnamese",Ha Long Bay Vietnamese & Thai Bistro,326,4.0,(608) 255-2868,1353 Williamson St,53703,Vietnamese,1
Volare,694,3.8,(312) 410-9900,"201 E. Grand Avenue, Chicago",60611,Italian,Volare Ristorante Italiano,1131,4.0,(312) 410-9900,201 E Grand Ave,60611,Italian,1
Maracas Cocina Mexicana,234,3.8,(214) 748-7140,2914 Main Street,75226,"Mexican, Tex-Mex",Maracas,126,4.0,(214) 748-7140,2914 Main St,75226,Mexican,1
Queens Comfort,106,4.2,(718) 728-2350,"40-09 30th Avenue, Queens",11103,Southern,Queens Comfort,1018,4.0,(718) 728-2350,40-09 30th Ave,11103,Breakfast & Brunch,1
Beyond Sushi,29,3.4,(646) 861-2889,"229 E 14th Street, New York",10003,"Sushi, Vegetarian",Beyond Sushi,638,4.5,(646) 861-2889,229 E 14th St,10003,Vegetarian,1
Bite Cafe,150,4.1,(773) 395-2483,"1039 N. Western Avenue, Chicago",60622,New American,Bite Cafe,676,4.0,(773) 395-2483,1035 N Western Ave,60622,American (New),1
Gale Street Inn,286,4.0,(773) 725-1300,4914 N. Milwaukee Avenue,60630,"American, BBQ, Steakhouse",Gale Street Inn,396,4.0,(773) 725-1300,4914 N Milwaukee Ave,60630,American (Traditional),1
Frasca Pizzeria and Wine Bar,191,4.0,(773) 248-5222,"3358 N. Paulina Street, Chicago",60657,"Italian, Pizza",Frasca,549,4.0,(773) 248-5222,3358 N Paulina St,60657,Wine Bars,1
Little Katana,119,3.5,(214) 443-9600,"4527 Travis Street, Dallas",75205,"Asian, Japanese, Korean, Sushi",Little Katana,152,4.0,(214) 443-9600,4527 Travis St,75205,Sushi Bars,1
Next Door Brewing Company,11,3.0,(608) 729-3683,"2439 Atwood Avenue, Madison",53704,Bar Food,Next Door Brewing Company,91,3.5,(608) 729-3683,2439 Atwood Ave,53704,Breweries,1
Brocach Irish Pub,208,3.6,(608) 255-2015,"7 W Main St, Madison",53703,"Bar Food, Irish",Brocach,175,3.5,(608) 255-2015,7 W Main St,53703,Irish,1
Silverlake Ramen,21,3.4,(323) 660-8100,"2927 W Sunset Blvd, Los Angeles",90026,"Asian, Japanese",Silverlake Ramen,1263,4.0,(323) 660-8100,2927 W Sunset Blvd,90026,Ramen,1
Eat This Cafe,40,3.6,(323) 999-2003,"6547 Santa Monica Blvd, Los Angeles",90038,"Sandwich, Vegetarian, Healthy Food",Eat This Cafe,415,4.0,(323) 999-2003,6547 Santa Monica Blvd,90038,"Breakfast & Brunch,Performing Arts",1
Smith and Mills,86,3.9,(212) 219-8568,"71 N Moore Street, New York",10013,American,Smith and Mills,213,4.0,(212) 226-2515,71 N Moore St,10013,Lounges,1
Spacca Napoli,545,3.9,(773) 878-2420,"1769 W. Sunnyside Avenue, Chicago",60640,"Pizza, Italian",Spacca Napoli,973,4.0,(773) 878-2420,1769 W Sunnyside Ave,60640,Pizza,1
Freebirds,595,3.7,(214) 265-9992,"5500 Greenville Avenue, Dallas",75206,Tex-Mex,Freebirds World Burrito,137,4.0,(214) 265-9992,5500 Greenville AveSte 209,75206,Mexican,1
Royal China,429,3.7,(214) 361-1771,"6025 Royal Lane, Suite 201, Dallas",75230,"Asian, Chinese",Royal China,403,4.0,(214) 361-1771,6025 Royal LnSte 201,75230,Chinese,1
Ginger Thai,257,4.0,(214) 887-6175,"6434 E Mockingbird Lane, Suite 111, Dallas",75214,Thai,Ginger Thai Cuisine,70,3.5,(214) 887-6175,6434 E Mockingbird LnSte 111,75214,Thai,1
Flat Top Grill,195,3.5,(608) 236-0500,"538 N Midvale Blvd, Madison",53705,"Vegetarian, Fusion",Flat Top Grill,95,3.0,(608) 236-0500,Hilldale Shopping Center538 N Midvale Blvd,53705,Gluten-Free,1
Buddakan,1493,3.9,(212) 989-6699,"75 9th Avenue, New York",10011,"Chinese, Fusion, Asian",Buddakan,2585,4.0,(212) 989-6699,75 9th Ave,10011,Chinese,1
Cocina Real,25,3.3,(608) 831-0528,2518 Allen Blvd,53562,Mexican,Cocina Real,14,3.5,(608) 831-0528,2518 Allen Blvd,53562,Mexican,1
Brooklyn Bagel & Coffee Company,156,3.8,(718) 204-0141,"35-05 Broadway, Queens",11106,Bagels,Monument Lane,247,4.0,(212) 255-0155,103 Greenwich Ave,10014,American (New),0
L. WoodsTap & Pine Lodge,227,4.0,(847) 677-3350,"7110 N. Lincoln Avenue, Chicago",60712,"American, BBQ",Acadia,271,4.0,(312) 360-9500,1639 S Wabash Ave,60616,American (New),0
Metro Diner,149,4.1,(212) 866-0800,"2641 Broadway, New York",10025,"Diner, American",Fraboni’s Italian Specialties & Delicatessen,21,3.0,(608) 256-0546,822 Regent St,53715,Italian,0
Aroma Coffee & Tea,696,4.1,(818) 508-7377,4360 Tujunga Ave,91604,"Coffee and Tea, Desserts",Masque Dallas,3,4.5,(469) 573-3244,2533 McKinney Ave,75201,Cocktail Bars,0
20 Feet Seafood Joint,112,3.8,(972) 707-7442,"1160 Peavy Road, Dallas",75218,Seafood,Maria’s Pizza,28,4.0,(608) 835-5455,134 S Main St,53575,Pizza,0
Maysville,52,4.0,(646) 490-8240,"17 West 26th Street, New York",10010,American,Wako Donkasu,382,4.0,(213) 387-9256,2904 W Olympic Blvd,90006,Korean,0
The Spotted Pig,2125,3.8,(212) 620-0393,"314 W 11th Street, New York",10014,Burger,The Nodding Donkey Greenville,96,3.5,(214) 347-7182,5600 SMU BlvdSte 120,75206,American (New),0
Mason's on Main,30,3.1,(608) 291-0631,113 South Main St,53575,"American, Seafood, Steakhouse",The Nodding Donkey Greenville,96,3.5,(214) 347-7182,5600 SMU BlvdSte 120,75206,American (New),0
Tam's Egg Roll,69,3.4,(214) 373-9691,"7722 Forest Lane, Dallas",75230,"Asian, Chinese",Lotus,393,4.0,(213) 478-0090,3742 S Flower St,90007,Hookah Bars,0
Sheffield's,104,3.7,(773) 281-4989,"3258 N. Sheffield Avenue, Chicago",60657,BBQ,Plata’s Restaurant at Bridges Golf Course,1,4.0,(608) 244-1822,2702 Shopko Dr,53704,Bars,0
La Pizza & La Pasta - Eataly,52,3.9,(212) 539-0205,"Eataly, 200 5th Avenue, New York",10010,"Italian, Pizza",The Tradewinds Social Club,32,4.0,(214) 337-9075,2843 W Davis St,75211,Dive Bars,0
Best Thai,63,3.4,(214) 373-8113,"5959 Royal Lane, Dallas",75230,Thai,Mapo Kkak Doo Gee Restaurant,209,4.0,(213) 736-6668,3611 W 6th St,90020,Korean,0
Michael's Frozen Custard,7,2.9,(608) 222-4110,"3826 Atwood Ave, Madison",53714,"American, Burger, Desserts",Saigon Sandwich Madison,13,4.5,(608) 515-8564,273 N Charter St,53715,Food Trucks,0
The Hampton Social,11,3.2,(312) 464-0500,"353 W. Hubbard Street, Chicago",60654,"Seafood, American",Sushi Muramoto,162,4.0,(608) 441-1090,546 N Midvale Blvd,53705,Sushi Bars,0
Bub City,63,3.6,(312) 610-4200,"435 N. Clark Street, Chicago",60654,"American, BBQ, Seafood",Cooper’s Craft & Kitchen,227,4.0,(646) 606-2384,87 2nd Ave,10003,Bars,0
Sophia's Bakery & Cafe,89,4.1,(608) 259-1506,"831 E Johnson St, Madison",53703,Breakfast,Sunroom Cafe,123,3.5,(608) 255-1555,638 State St,53703,Breakfast & Brunch,0
Plaka Mediterranean Grill,125,4.0,(718) 505-0515,"75-61 31st Avenue, Queens",11370,"Greek, Mediterranean",Torteria Insurgentes,58,4.5,(214) 366-2624,3701 W Northwest HwySte 310,75220,Mexican,0
Crave Fishbar,33,3.6,(646) 895-9585,"945 2nd Avenue, New York",10022,Seafood,Bludso’s Bar & Que,801,4.0,(323) 931-2583,609 N La Brea Ave,90036,Barbeque,0
EN Japanese Brasserie,157,3.8,(212) 647-9196,"435 Hudson Street, New York",10014,"Japanese, Sushi",Smoky Jon’s #1 BBQ,160,4.0,(608) 249-7427,2310 Packers Ave,53704,Barbeque,0
Gelato Bar,59,4.6,(818) 487-1717,4342 Tujunga Ave,91604,"Desserts, Ice Cream",Gigi’s Bakery & Café,372,4.0,(213) 483-6152,2200 W Temple St,90026,Bakeries,0
Villa Blanca Restaurant,194,3.5,(310) 859-7600,9601 Brighton Way,90210,"Asian, Italian, Mediterranean",Monte’s Grill & Pub,22,3.5,(608) 845-9669,608A W Verona Ave,53593,"American (Traditional),Hotels",0
Applewood,279,3.8,(718) 788-1014,"501 11th Street, Brooklyn",11215,New American,Howard Wang’s Uptown,161,3.5,(214) 954-9558,3223 Lemmon AveSte 103,75204,Cantonese,0
Klassik Tavern,74,3.9,(608) 845-6471,410 w verona ave,53593,"American, Sandwich, Steakhouse",Ohana Poké Co,33,4.0,(323) 953-2820,2852 W Sunset Blvd,90026,Hawaiian,0
Nan Xiang Xiao Long Bao,152,4.6,(718) 321-3838,"38-12 Prince Street, Queens",11354,Chinese,Malaparte,142,4.0,(212) 255-2122,753 Washington St,10014,Italian,0
Flub A Dub Chubs,117,4.0,(773) 857-6500,"3021 N. Broadway Street, Chicago",60657,"American, Burger",Dairyland Family Restaurant,14,3.0,(608) 222-9232,716 Cottage Grove Rd,53716,American (New),0
BonChon Chicken,74,4.0,(212) 221-3339,"207 W 38th Street, New York",10018,"Korean, BBQ",Gentleman’s,252,4.5,(310) 837-8401,10002 National Blvd,90034,Butcher,0
Kenichi,184,3.3,(214) 871-8883,"2400 Victory Park Lane, Dallas",75219,"Asian, Japanese, Sushi",Highland Park Cafeteria,70,3.5,(214) 324-5000,1200 N Buckner Blvd,75218,Southern,0
Renga-Tei,151,4.5,(847) 675-5177,3956 W. Touhy Avenue,60712,Japanese,Nabeeya,209,4.0,(213) 622-5750,766 S Santee St,90014,Sushi Bars,0
Umami Burger,227,4.4,(323) 469-3100,"1520 N. Cahuenga Blvd #7, Los Angeles",90028,"American, Burger",Mia’s Tex-Mex Restaurant,488,4.0,(214) 526-1020,4322 Lemmon Ave,75219,Tex-Mex,0
Taza Grill,85,3.2,(972) 934-9767,"12817 Preston Road, Dallas",75230,"Greek, Lebanese, Mediterranean",Brothers Sandwich Shop,78,4.5,(213) 383-9900,3274 W 6th St,90020,Sandwiches,0
Original Thai,84,4.1,(818) 506-0789,11363 Riverside Dr,91602,Thai,HomeTown Buffet,22,2.5,(608) 244-3632,1745 Parkside Dr,53704,Buffets,0
El Taco Grande,153,3.7,(630) 406-8415,6 N. River Street,60510,Mexican,Blind Weasel,227,4.0,(323) 549-9488,850 S La Brea Ave,90036,Gastropubs,0
Brocach Irish Pub,208,3.6,(608) 255-2015,"7 W Main St, Madison",53703,"Bar Food, Irish",Surawon,128,4.0,(213) 383-7317,2833 W Olympic Blvd,90006,Korean,0
Jake Melnick's Corner Tap,255,4.0,(312) 266-0400,"41 E. Superior Street, Chicago",60611,"American, BBQ, Bar Food",Sapp Coffee Shop,544,4.5,(323) 665-1035,5183 Hollywood Blvd,90027,Thai,0
Nico Osteria - Thomson Hotels Chicago,51,3.7,(312) 994-7100,"Thomson Hotels Chicago, 1015 N. Rush Street",60611,"Italian, Seafood",Qariah Lebanese Restaurant & Lounge,115,3.5,(214) 826-4444,1811 Greenville AveSte 145,75206,Middle Eastern,0
Little Italy Pizza,44,3.8,(212) 362-8822,"2047 Broadway, New York",10023,"Italian, Pizza",The Green Table,407,4.0,(212) 741-6623,Chelsea Market75 9th Ave,10011,Vegetarian,0
Sura,135,3.7,(212) 665-8888,"2656 Broadway, New York",10025,Thai,Bodhi Thai,45,4.5,(312) 492-8424,1800 S Jefferson,60616,Thai,0
RIstorante Saint Ambroeus,176,3.7,(212) 570-2211,"1000 Madison Avenue, New York",10021,"Cafe, Italian",Park Tavern,140,3.5,(312) 243-4276,1645 W Jackson Blvd,60612,"American (New),American (Traditional),American (New),American (New),Gastropubs",0
Dotty Dumpling's Dowry,728,4.0,(608) 259-0000,"317 N Frances St, Madison",53703,"American, Burger",Shake Shack,1971,4.0,(646) 747-8770,366 Columbus Ave,10024,Burgers,0
David Burke Kitchen,105,3.6,(212) 201-9119,"23 Grand Street, New York",10013,American,Toby’s Supper Club,58,4.0,(608) 222-6913,3717 S Dutch Mill Rd,53718,American (Traditional),0
Epicerie Boulud,41,3.3,(212) 595-9606,"1900 Broadway, New York",10023,"French, Desserts, Ice Cream, Sandwich",Thirteen XIII Soju Bar,58,4.5,(323) 272-3432,4121 W Olympic Blvd,90019,Bars,0
Trailercakes Cupcakes,42,3.5,(214) 789-1642,"3001 Knox Street, Suite 101",75205,Desserts,The Knuckle Down Saloon,12,4.5,(608) 222-7800,2513 Seiferth Rd,53716,Pubs,0
Thai Market,168,4.1,(212) 280-4575,"960 Amsterdam Avenue, New York",10025,Thai,Mia Figlia,189,4.0,(773) 792-8300,5304 W Devon Ave,60646,Italian,0
Mama's Secret Bakery & Cafe,24,3.4,(323) 424-3482,"8314 W. 3rd Street, Los Angeles",90048,"Breakfast, Mediterranean, Turkish",Duke Of Perth,478,4.0,(773) 477-1741,2913 N Clark St,60657,Pubs,0
Sombrero,73,2.2,(212) 586-4853,"303 West 48th Street, New York",10036,"Taco, Mexican",Scarpetta,1200,4.0,(212) 691-0555,355 W 14th St,10014,Italian,0
Three of Cups,82,3.6,(212) 388-0059,"83 1st Avenue, New York",10003,"Italian, Pizza",Cubana Socíal,327,4.0,(718) 782-3334,70 N 6th St,11249,Cuban,0
Bob's Big Boy,125,3.6,(818) 772-2627,8876 Corbin Ave,91324,Burger,KFC,6,1.0,(608) 222-6771,604 Cottage Grove Road,53716,Fast Food,0
Westway Diner,118,3.5,(212) 582-7661,"614 9th Avenue, New York",10036,"Diner, American",Taco Borracho,136,3.5,(469) 547-2047,300 N Akard St,75201,Mexican,0
Little Italy Pizzeria,111,3.6,(212) 730-7575,"55 W 45th Street, New York",10036,Pizza,Nish Nush,314,4.5,(212) 964-1318,88 Reade St,10013,Middle Eastern,0
Luna Park,185,3.7,(323) 934-2110,"672 S La Brea Ave, Los Angeles",90036,American,Culver’s,10,3.5,(608) 268-0211,4401 Cottage Grove Rd,53716,Ice Cream & Frozen Yogurt,0
E Bar Tex Mex,38,3.5,(214) 824-3227,"1901 N Haskell Avenue, Suite 120, Dallas",75204,Tex-Mex,Lillie’s Victorian Bar & Restaurant,604,4.0,(212) 957-4530,249 W 49th St,10019,Lounges,0
Spring Garden Restaurant,34,2.9,(608) 437-7470,520 Springdale St,53572,American,Piccoli Trattoria,263,4.5,(718) 788-0066,522 6th Ave,11215,"Italian,Italian",0
Salamone's Italian Pizzeria,70,3.5,(920) 563-9217,1245 Madison Ave,53538,"Italian, Pizza",Ondal 2,344,4.0,(323) 933-3228,4566 W Washington Blvd,90016,Korean,0
Per Se,700,4.1,(212) 823-9335,"Time Warner Center, 10 Columbus Circle, 4th Floor, New York",10019,French,ISA Japanese Restaurant,129,4.0,(323) 879-9536,916 S La Brea Ave,90036,Sushi Bars,0
Burrito Drive,130,3.6,(608) 260-8586,"310 S Brearly St, Madison",53703,"Mexican, Tex-Mex",Locanda Verde,1113,4.0,(212) 925-3797,377 Greenwich St,10013,Italian,0
Cafe Pacific,202,3.7,(214) 526-1170,"24 Highland Park Village, Dallas",75205,"Seafood, Steakhouse, American",Govinda’s Vegetarian,90,4.5,(718) 855-6714,305 Schermerhorn St,11217,Vegetarian,0
Forlini's Restaurant,304,4.2,(212) 349-6779,"93 Baxter Street, New York",10013,Italian,Carroll Place,299,4.0,(212) 260-1700,157 Bleecker St,10012,Gastropubs,0
Mudville 9,45,3.4,(212) 964-9464,"126 Chambers Street, New York",10007,"American, Burger, Bar Food, Sandwich",Shawarma Garden,103,4.0,(773) 904-8897,1951 W Division St,60622,Middle Eastern,0
Tertulia,126,3.8,(646) 559-9909,"359 Sixth Avenue, New York",10014,Spanish,Ladonia Cafe,10,5.0,(917) 754-3397,Mifflin and Pinckney,53703,Vegan,0
Bavarian Lodge,273,4.1,(630) 241-4701,1800 Ogden Avenue,60532,"Burger, German, Bar Food",Dune,170,4.5,(323) 486-7073,3143 Glendale Blvd,90039,Falafel,0
Posto,267,3.8,(212) 716-1200,"310 2nd Avenue, New York",10003,Pizza,Franki’s Pizza & Pasta,71,4.0,(469) 335-0345,11722 Marsh Ln,75229,Italian,0
Stephan Pyles,429,3.5,(214) 580-7000,"1807 Ross Avenue, Suite 200, Dallas",75201,"New American, Southwestern",Smithfield,278,4.0,(212) 929-9677,138 W 25th St,10001,Pubs,0
Bread Winners,1254,4.0,(214) 754-4940,"3301 McKinney Avenue, Dallas",75204,"American, Bakery",Flaming Wok,30,3.5,(608) 240-1085,4237 Lien RdSte H,53704,Chinese,0
Fearing's - The Ritz-Carlton,329,3.5,(214) 922-4848,"The Ritz-Carlton, 2121 McKinney Avenue, Dallas",75201,New American,Library Mall,4,5.0,(608) 263-1884,728 State St,53706,Food Stands,0
Chip's Old Fashioned Hamburgers,26,3.1,(469) 334-0785,6115 La Vista Drive,75214,"American, Burger",I Panini Di Ambra,225,4.5,(323) 463-1200,5633 Hollywood Blvd,90028,Bakeries,0
Tacos Delta,111,3.8,(323) 664-2848,"3806 W Sunset Blvd, Los Angeles",90026,"Mexican, Tex-Mex",Madison’s,72,3.5,(608) 229-0900,119 King St,53703,"American (New),Fish & Chips,Gastropubs,Lounges,Tapas Bars,Asian Fusion",0
Tom's Restaurant,306,3.8,(718) 636-9738,"782 Washington Avenue, Brooklyn",11238,"American, Diner",Sumo Sushi & Hibachi Grill,72,4.5,(773) 477-8510,2936 N Broadway,60657,Sushi Bars,0
Alfredo's Pizza,87,4.1,(972) 307-1678,"4043 Trinity Mills Road, Dallas",75287,"Italian, Pizza",La Oaxaqueña,137,4.0,(773) 545-8585,3382 N Milwaukee Ave,60641,Mexican,0
